profile_id	family	lapse_a	mix_shape	mix_epsilon	affine_final	screen_area	theta_affine	a_eff_affine	shear_frobenius	twist_frobenius	area_identity_residual	f01_exact_rate_residual
G68_F01_AM	F01	-0.25	ZERO	0.0	0.7559289460184511	0.5714285714285755	2.6457513110646014	1.3228756555323007	0.0	0.0	4.440892098500626e-16	4.440892098500626e-16
G68_F01_A0	F01	0.0	ZERO	0.0	0.75	0.562500000000001	2.6666666666666665	1.3333333333333333	0.0	0.0	0.0	0.0
G68_F01_AP	F01	0.25	ZERO	0.0	0.7442084075352483	0.5538461538461585	2.6874192494328564	1.3437096247164282	0.0	0.0	0.0	1.1102230246251565e-15
G68_F02_AM_P05	F02	-0.25	PERSISTENT	0.05	0.7563132905147648	0.5718409131109997	2.6434975968654406	1.3217487984327203	0.0006428958787078251	5.3569179321594135e-34	0.0	NA
G68_F02_AM_P20	F02	-0.25	PERSISTENT	0.2	0.762010950215268	0.5779682642176792	2.610789626543321	1.3053948132716604	0.00978959111548136	2.73218773580643e-33	8.881784197001252e-16	NA
G68_F02_AM_T05	F02	-0.25	TAPERED	0.05	0.7559303993762726	0.5714278539706003	2.645766937068797	1.3228834685343984	8.961432978037915e-06	2.461432639104964e-34	0.0	NA
G68_F02_AM_T20	F02	-0.25	TAPERED	0.2	0.7559521880478527	0.5714170649101566	2.646001272409198	1.323000636204599	0.0001433980490797006	1.0867441629255374e-33	0.0	NA
G68_F02_AM_S05	F02	-0.25	SIGN_CHANGING	0.05	0.756154529892478	0.5715399196107455	2.6425900215807996	1.3212950107903998	0.00040157215174558636	1.047976993679647e-34	4.440892098500626e-16	NA
G68_F02_AM_S20	F02	-0.25	SIGN_CHANGING	0.2	0.7595195686309149	0.573198554701621	2.5968561375682393	1.2984280687841196	0.006151053458835864	2.1108490918379894e-33	8.881784197001252e-16	NA
G68_F02_A0_P05	F02	0.0	PERSISTENT	0.05	0.7503074231016471	0.5628294210235621	2.664950669410107	1.3324753347050535	0.0004407999011569708	3.6918580386480964e-34	0.0	NA
G68_F02_A0_P20	F02	0.0	PERSISTENT	0.2	0.7548728317083486	0.567730697970178	2.6398520172651896	1.3199260086325948	0.006788837015250018	6.085714115581301e-34	0.0	NA
G68_F02_A0_T05	F02	0.0	TAPERED	0.05	0.7500012800637667	0.5624985388101353	2.6666808336371135	1.3333404168185568	9.50352482742478e-06	8.033652158183691e-35	0.0	NA
G68_F02_A0_T20	F02	0.0	TAPERED	0.2	0.7500204715118558	0.562476604385221	2.666893294242299	1.3334466471211495	0.0001520667864591078	5.036407201858913e-34	4.440892098500626e-16	NA
G68_F02_A0_S05	F02	0.0	SIGN_CHANGING	0.05	0.7501823279530846	0.5625811306990124	2.6641502905270027	1.3320751452635013	0.0002801713534987464	5.263823529167567e-34	4.440892098500626e-16	NA
G68_F02_A0_S20	F02	0.0	SIGN_CHANGING	0.2	0.7529066009066248	0.5637917514597306	2.6274211133634555	1.3137105566817278	0.004339766354293643	1.7874125374434587e-34	8.881784197001252e-16	NA
G68_F02_AP_P05	F02	0.25	PERSISTENT	0.05	0.7444630607298629	0.5541181809742052	2.6860379286767935	1.3430189643383967	0.00032672175005620186	3.7271009197807244e-35	0.0	NA
G68_F02_AP_P20	F02	0.25	PERSISTENT	0.2	0.7482491889544478	0.5581687615825315	2.6657395458089095	1.3328697729044547	0.005067687773760073	2.553446482062084e-34	4.440892098500626e-16	NA
G68_F02_AP_T05	F02	0.25	TAPERED	0.05	0.744209567110395	0.5538441411018092	2.687432169407984	1.343716084703992	9.895389372780281e-06	4.5403054659153075e-34	0.0	NA
G68_F02_AP_T20	F02	0.25	TAPERED	0.2	0.744226952961725	0.5538139413651805	2.6876259330872276	1.3438129665436138	0.00015833360424819497	2.4590221590274965e-34	4.440892098500626e-16	NA
G68_F02_AP_S05	F02	0.25	SIGN_CHANGING	0.05	0.7443623432113906	0.553908368615725	2.6853043675128245	1.3426521837564123	0.00021607127517498268	1.0213785928248335e-34	4.440892098500626e-16	NA
G68_F02_AP_S20	F02	0.25	SIGN_CHANGING	0.2	0.7466647122622336	0.5548377009012346	2.65426756625849	1.327133783129245	0.003369809603016084	1.276723241031042e-35	4.440892098500626e-16	NA
