catch_id	mutation_or_false_claim	required_rejection
F01	identify quotient diameter with physical X_max by name alone	FAIL
F02	call an attained compact maximum an unattained asymptote	FAIL
F03	treat endpoint clock-depth difference as a symmetric nonnegative distance	FAIL
F04	let one absolute scalar encode all isotropic centerless pair depths	FAIL
F05	drop angular dependence from noncollinear composition	FAIL
F06	choose one minimizing path at a cut locus without a selector	FAIL
F07	erase stationary twist from directed null-path transport	FAIL
F08	interpret a metric-null path as physical signal transmission under copresence	FAIL
F09	promote a one-dimensional projective law to general observer composition	FAIL
F10	insert X_max as the projective scale and then claim X_max was derived	FAIL
F11	call a scalar first variation a field-valued closure equation	FAIL
F12	call a supremum schema a functional before its arrow domain is supplied	FAIL
F13	use strong local CSN as active metric equivalence	FAIL
F14	promote comparison-branch phi to a selected independent native scalar	FAIL
F15	claim c_E and G_obs alone determine a length or density	FAIL
F16	splice stationary orbit distance with a different branch's asymptote	FAIL
F17	ignore nonsmooth envelope behavior at multiple extrema or geodesics	FAIL
F18	claim no bridge can exist outside the frozen five-family universe	FAIL
F19	promote working bootstrap to a local optimizer or equation	FAIL
F20	bank without independent replay and fresh adversarial review	FAIL
