premise_id	premise	status	use_in_audit	open_or_dropped_scope
P01	founded reciprocal pair and additive log depth	DERIVED	active algebraic foundation	physical pair/path assignment remains open
P02	phi action diag(exp(-phi),exp(phi))	DERIVED	active pair action	complete angular/mixing extension remains open
P03	stationary unique-K R_x_S3 family	DERIVED_CONDITIONAL_CONFIGURATION	bounded exact path control	not selected as realized universe
P04	stationary orbit metric q	DERIVED_CONDITIONAL_SAME_BRANCH	branchwise distance control	not yet physical universal observer separation
P05	copresence	WORKING_INTERPRETIVE_FRAME	separates metric-null geometry from signal ontology	no instantaneous-transmission law asserted
P06	strong local CSN	CHALLENGED_OWNER_POSTULATE_NOT_DERIVED	inactive	not used to identify metrics or remove scale
P07	c_E and G_obs	OBSERVED_ANCHORS_RETAINED	c_E retained symbolically; G_obs unused	complete placement and scale closure open
P08	X_max	WORKING_GLOBAL_OBSERVER_PAIR_MAXIMUM_SEPARATION	target type only	observer domain pairing functional value and attainment open
P09	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY_ONLY	response gate only	no local equation optimizer or fixed point imported
P10	complete action source boundary mass	OPEN	prohibited from insertion	all complete closure objects open
P11	time_live_and_nonstationary_space	OPEN_DROPPED_FROM_EXACT_PATH_CALCULATION	listed blind spot	no universal verdict from stationary branch
P12	unregistered_singular_nonlocal_functionals	OPEN_DROPPED	listed blind spot	finite registered census only
