item	status	role	forbidden_promotion
smooth_Lorentz_metric_and_complete_coframe	SUPPLIED	metric_evaluator_arena	selected_physical_history
regular_2plus2_chart	SUPPLIED	local_coordinate_and_coframe_typing	global_cover_or_unique_split
N_A_Q_beta_S	SUPPLIED	complete_metric_values	fitted_or_dynamically_selected_functions
D_positive	CHOSE_BOUNDED_REGULAR_STRATUM	t_is_temporal_in_declared_chart	universal_metric_requirement
P_positive	CHOSE_BOUNDED_OBSERVER_STRATUM	fixed_spatial_coordinate_observer_is_timelike	all_observers_or_global_congruence
null_branch_and_endpoint_covectors	QUERY_SUPPLIED	incidence_and_frequency_input	universal_positional_protocol_or_branch_population
spatial_momentum_conservation	DERIVED_CONDITIONAL	time_only_spatially_homogeneous_specialization_only	general_spatially_varying_history
completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	T_B_to_Phi_readout_after_pullback	metric_derived_or_canon
screen_coordinate_covariance	DERIVED_TARGET	passive_basis_independence	physical_screen_selection
Hamilton_Jacobi_incidence	STANDARD_GEOMETRIC_EVALUATOR	null_ray_kinematics	native_action_or_dynamics
screen_Jacobi_transport	OMITTED_SEPARATE_CHANNEL	G188_owns_finite_transverse_transport	collapsed_into_scalar_clock_chord
Xmax_transfer_observations_action_source_matter	OMITTED	outside_bounded_question	construction_input_or_inference

