id	status	statement
S01	DERIVED_CONDITIONAL	complete_coframe_null_equation_has_exact_future_and_past_cotangent_roots_on_D_positive
S02	DERIVED_CONDITIONAL	fixed_coordinate_observer_is_timelike_on_P_positive_and_measures_W_equals_minus_p_t_over_P
S03	DERIVED_CONDITIONAL	Q_enters_q2_through_H_inverse
S04	DERIVED_CONDITIONAL	s_x_enters_Pi_and_s_t_enters_observer_lapse_and_coordinate_energy
S05	DERIVED_CONDITIONAL	r_AB_equals_W_A_over_W_B_and_delta_AB_equals_minus_log_r_AB_on_supplied_null_correspondence
S06	DERIVED_CONDITIONAL	positive_affine_normalization_cancels
S07	DERIVED_CONDITIONAL	Hamilton_Jacobi_incidence_velocity_comes_from_same_future_energy_root
S08	DERIVED_CONDITIONAL	passive_screen_coordinate_changes_leave_the_clock_chord_invariant
S09	DERIVED_CONDITIONAL	transverse_off_limit_recovers_G220_exactly
S10	DERIVED_CONDITIONAL	same_correspondence_completed_clock_leg_T_B_equals_r_AB
S11	OPEN	null_or_other_physical_protocol_population
S12	OPEN	full_rank_two_pair_plane_and_finite_screen_Jacobi_transport
S13	OPEN	spatially_varying_history_branch_aggregation_global_completion_and_Xmax
S14	FORBIDDEN_PROMOTION	no_fit_transfer_action_source_matter_bootstrap_mass_or_signalling_inference
