item	status	use	guard
F1--F4	FOUNDED_OR_DECLARED	reciprocal representation and primary metric	no value law presumed
W1	WORKING_FOUNDATIONAL_CLARIFICATION	completed-pair reciprocal readout	not canon or history selection
W4	WORKING_POSIT	one metric owns clocks rulers free fall and null cone	no second cone or field equation
G220 signed clock arrow	DERIVED_CONDITIONAL	r_AB on one supplied regular null incidence	not universal populated query
G266 Gamma and Xi	DERIVED_CONDITIONAL	canonical even and odd determinant-one kernel channels	complete ambient scalar class not claimed
chi=tanh(delta)	CHOSE_PROVISIONAL_DERIVED_AFTER_CHOICE	normalized dimensionless pair position	not proper length or numerical Xmax
M=sech(delta)	SUPPLIED_PROVISIONAL_CANDIDATE	candidate physical mutual-clock projection	not derived unique adopted canon or directional redshift
finite real delta	PINNED_BY_BOUNDED_REGIME	regular right-semicircle state	infinite endpoint treated only as limit
same-correspondence reversal	PINNED_BY_THEORY	delta maps to minus delta	causal return is a different query
positive normalized even competitors	FREE_AND_EXPLORED	non-uniqueness controls	not alternative adopted UDT laws
dimensionful distance attachment	OMITTED_OPEN	none	must not be inferred from M or chi
observations fits source action matter Xmax	OMITTED	none	must not enter result
protected packages	OMITTED	none	must not inspect or cite
