batch_id	lane_class	current_path	destination	atomic_family_id	git_blob_oid	sha256	artifact_content_edit	exact_future_pointer_plan
B01_ACTIVE_MACRO_SYMPY_QUARTET	ACTIVE	verify_center_escape.py	research/macro/verify_center_escape.py	F_SAFE_VERIFY_CENTER_ESCAPE	867cddbad61287219658912e3523c9dbbe2cc7e9	ef0a29e58d7132d908ac94869d0c94ee1d65caceea13c42bdf9e7019eb998aa5	NONE_BYTE_IDENTICAL_GIT_MV_ONLY	CURRENT_ARTIFACT_PATHS.tsv current_path+status;MIGRATION_LEDGER.tsv append;research/macro/ROOT_INVENTORY.tsv current_path
B01_ACTIVE_MACRO_SYMPY_QUARTET	ACTIVE	verify_center_nogo.py	research/macro/verify_center_nogo.py	F_SAFE_VERIFY_CENTER_NOGO	a86c2554959ccb5478fd2043a0030d8a9caa2530	206d51e2d7a44ea567a49ae8da114e5a9e801e970a96b21b4e6393376abf88d0	NONE_BYTE_IDENTICAL_GIT_MV_ONLY	CURRENT_ARTIFACT_PATHS.tsv current_path+status;MIGRATION_LEDGER.tsv append;research/macro/ROOT_INVENTORY.tsv current_path
B01_ACTIVE_MACRO_SYMPY_QUARTET	ACTIVE	verify_eos_dS_window.py	research/macro/verify_eos_dS_window.py	F_SAFE_VERIFY_EOS_DS_WINDOW	9cb1f6917debc40700d99eaebb1f4c927d1b8293	719fd2f4f70fc72dee2d129d57515957adf82a0ed962986453500ac5752ac58d	NONE_BYTE_IDENTICAL_GIT_MV_ONLY	CURRENT_ARTIFACT_PATHS.tsv current_path+status;MIGRATION_LEDGER.tsv append;research/macro/ROOT_INVENTORY.tsv current_path
B01_ACTIVE_MACRO_SYMPY_QUARTET	ACTIVE	verify_wrl_canon.py	research/macro/verify_wrl_canon.py	F_SAFE_VERIFY_WRL_CANON	e5f2b5760326b7eefa7f7dc0339118b8bd327deb	b5e6b5b79a1f743962d94820d9e5e14e0315fec0873962158bc5bdc5190877fc	NONE_BYTE_IDENTICAL_GIT_MV_ONLY	CURRENT_ARTIFACT_PATHS.tsv current_path+status;MIGRATION_LEDGER.tsv append;research/macro/ROOT_INVENTORY.tsv current_path
B02_LEGACY_STANDALONE_ALGEBRA_A	LEGACY	cascade_bv10_E2_period.py	archive/pre_2026-07-01/cascade_bv10_E2_period.py	F_SAFE_CASCADE_BV10_E2_PERIOD	40f28324cfba532d571d02a43fc18bdc4d4cd923	540361e0c65db785c613f20573535e18b28bb2aa5c26ef77b6819766c8cb6cbb	NONE_BYTE_IDENTICAL_GIT_MV_ONLY	CURRENT_ARTIFACT_PATHS.tsv current_path+status;MIGRATION_LEDGER.tsv append
B02_LEGACY_STANDALONE_ALGEBRA_A	LEGACY	cascade_bv10_E2_symbolic.py	archive/pre_2026-07-01/cascade_bv10_E2_symbolic.py	F_SAFE_CASCADE_BV10_E2_SYMBOLIC	df81795d831f33fd416c053d9e0a28de36acff12	05ad093aede87253d8fb617c8daba0667c8618ad09e993279011e8af27e55323	NONE_BYTE_IDENTICAL_GIT_MV_ONLY	CURRENT_ARTIFACT_PATHS.tsv current_path+status;MIGRATION_LEDGER.tsv append
B02_LEGACY_STANDALONE_ALGEBRA_A	LEGACY	cascade_bv10_E3_bottom.py	archive/pre_2026-07-01/cascade_bv10_E3_bottom.py	F_SAFE_CASCADE_BV10_E3_BOTTOM	bc08f8d5e8a2be9e7e6a87da6b725e799208450e	75e44153d4203325a2318ec671cbe70426a63f23a59c7ebe2761ab918ce7229f	NONE_BYTE_IDENTICAL_GIT_MV_ONLY	CURRENT_ARTIFACT_PATHS.tsv current_path+status;MIGRATION_LEDGER.tsv append
B02_LEGACY_STANDALONE_ALGEBRA_A	LEGACY	cascade_bv10_cas.py	archive/pre_2026-07-01/cascade_bv10_cas.py	F_SAFE_CASCADE_BV10_CAS	ceb68bad8537c1a0f9e832004fc6c2f392489dea	faa2c28e66e74cb0ab24933c2ace41c3237054147641c4deeefaa89ef36cee01	NONE_BYTE_IDENTICAL_GIT_MV_ONLY	CURRENT_ARTIFACT_PATHS.tsv current_path+status;MIGRATION_LEDGER.tsv append
B02_LEGACY_STANDALONE_ALGEBRA_A	LEGACY	cascade_bv11_v4_cas.py	archive/pre_2026-07-01/cascade_bv11_v4_cas.py	F_SAFE_CASCADE_BV11_V4_CAS	63c3efa684066049b3742daa9b07766b9908ffb4	8dfcfded3cd4c51b0a1d0551a24655a7a37fdb1f815008dda2180b5a376a3e07	NONE_BYTE_IDENTICAL_GIT_MV_ONLY	CURRENT_ARTIFACT_PATHS.tsv current_path+status;MIGRATION_LEDGER.tsv append
B02_LEGACY_STANDALONE_ALGEBRA_A	LEGACY	cascade_bv13_w1_classes.py	archive/pre_2026-07-01/cascade_bv13_w1_classes.py	F_SAFE_CASCADE_BV13_W1_CLASSES	7cda722ad5042857db379a5166c1362de77bc538	d8921243fddf979d906fd3f68cb7cdf2a40cab26bed5612f0a8aa2dd8a9cebbf	NONE_BYTE_IDENTICAL_GIT_MV_ONLY	CURRENT_ARTIFACT_PATHS.tsv current_path+status;MIGRATION_LEDGER.tsv append
