candidate_path	line	evidence_type	raw_target	resolved_target	status	load_bearing	detail
cascade_bv10_cas.py	4	TEXT_REFERENCE	cell_solver_universe_T3.py	cell_solver_universe_T3.py	RESOLVED_TRACKED	NO_INFORMATIONAL	-
cascade_bv10_reshoot.py	0	REQUIRED_COMPANION	cascade_stageC_lib.py	cascade_stageC_lib.py	NOT_FROZEN_OR_MANIFEST	YES	imports retained root solver libraries and generates a root-relative NPY
cascade_bv10_reshoot.py	0	REQUIRED_COMPANION	cell_solver_universe_T3.py	cell_solver_universe_T3.py	NOT_FROZEN_OR_MANIFEST	YES	imports retained root solver libraries and generates a root-relative NPY
cascade_bv10_reshoot.py	9	PYTHON_IMPORT	cell_solver_universe_T3	cell_solver_universe_T3.py	TRACKED_COMPANION	YES	AST import closure
cascade_bv10_reshoot.py	10	PYTHON_IMPORT	cascade_stageC_lib	cascade_stageC_lib.py	TRACKED_COMPANION	YES	AST import closure
cascade_bv10_reshoot.py	97	RUNTIME_FILE_PATH	bv10_reshoot_results.npy	bv10_reshoot_results.npy	DYNAMIC	YES	np.save
cascade_bv11_lib.py	0	REQUIRED_COMPANION	cell_solver_universe_T3.py	cell_solver_universe_T3.py	NOT_FROZEN_OR_MANIFEST	YES	unprefixed bv11_lib import, hard-coded root module load, and producer/output closure are unresolved
cascade_bv11_lib.py	16	TEXT_REFERENCE	cell_solver_universe_T3.py	cell_solver_universe_T3.py	RESOLVED_TRACKED	NO_INFORMATIONAL	-
cascade_bv11_v1_root.py	0	REQUIRED_COMPANION	cell_solver_universe_T3.py	cell_solver_universe_T3.py	NOT_FROZEN_OR_MANIFEST	YES	unprefixed bv11_lib import, hard-coded root module load, and producer/output closure are unresolved
cascade_bv11_v1_root.py	5	PYTHON_IMPORT	bv11_lib	cascade_bv11_lib.py	CANDIDATE_ALIAS	YES	AST import closure
cascade_bv11_v1_root.py	48	RUNTIME_FILE_PATH	bv11_fundamental_traj.npz	bv11_fundamental_traj.npz	MISSING_OR_GENERATED	YES	np.savez
cascade_bv11_v1_root.py	50	RUNTIME_FILE_PATH	{'dstar': dstar, 'astar': astar, 'suite100k': d100, 'suite200k': {k: d200[k] for k in d200 if k not in ()}, 'shots': L.SHOTS['n']}	{'dstar': dstar, 'astar': astar, 'suite100k': d100, 'suite200k': {k: d200[k] for k in d200 if k not in ()}, 'shots': L.SHOTS['n']}	DYNAMIC	YES	json.dump
cascade_bv11_v1_root.py	52	RUNTIME_FILE_PATH	bv11_root.json	bv11_root.json	MISSING_OR_GENERATED	YES	open
cascade_bv11_v1_tolcheck.py	0	REQUIRED_COMPANION	cell_solver_universe_T3.py	cell_solver_universe_T3.py	NOT_FROZEN_OR_MANIFEST	YES	unprefixed bv11_lib import, hard-coded root module load, and producer/output closure are unresolved
cascade_bv11_v1_tolcheck.py	5	PYTHON_IMPORT	bv11_lib	cascade_bv11_lib.py	CANDIDATE_ALIAS	YES	AST import closure
cascade_bv11_v2_desert.py	0	REQUIRED_COMPANION	cell_solver_universe_T3.py	cell_solver_universe_T3.py	NOT_FROZEN_OR_MANIFEST	YES	unprefixed bv11_lib import, hard-coded root module load, and producer/output closure are unresolved
cascade_bv11_v2_desert.py	5	PYTHON_IMPORT	bv11_lib	cascade_bv11_lib.py	CANDIDATE_ALIAS	YES	AST import closure
cascade_bv11_v3_cap.py	0	REQUIRED_COMPANION	cell_solver_universe_T3.py	cell_solver_universe_T3.py	NOT_FROZEN_OR_MANIFEST	YES	unprefixed bv11_lib import, hard-coded root module load, and producer/output closure are unresolved
cascade_bv11_v3_cap.py	68	RUNTIME_FILE_PATH	bv11_fundamental_traj.npz	bv11_fundamental_traj.npz	MISSING_OR_GENERATED	YES	np.load
cascade_bv13_su_trans.py	9	RUNTIME_FILE_PATH	bv13_bg.npz	bv13_bg.npz	MISSING_OR_GENERATED	YES	np.load
cascade_bv13_su_trans.py	10	RUNTIME_FILE_PATH	bv13_bg.json	bv13_bg.json	MISSING_OR_GENERATED	YES	open
cascade_bv13_su_trans.py	10	RUNTIME_FILE_PATH	open('bv13_bg.json')	open('bv13_bg.json')	DYNAMIC	YES	json.load
cascade_bv13_vhat_probe.py	11	RUNTIME_FILE_PATH	bv13_bg.npz	bv13_bg.npz	MISSING_OR_GENERATED	YES	np.load
cascade_bv13_vhat_probe.py	12	RUNTIME_FILE_PATH	bv13_bg.json	bv13_bg.json	MISSING_OR_GENERATED	YES	open
cascade_bv13_vhat_probe.py	12	RUNTIME_FILE_PATH	open('bv13_bg.json')	open('bv13_bg.json')	DYNAMIC	YES	json.load
cascade_bv14_counts.py	0	REQUIRED_COMPANION	cascade_bv14_lib.py	cascade_bv14_lib.py	NOT_FROZEN_OR_MANIFEST	YES	unprefixed bv14_lib import and dynamic SCR ledger/output paths
cascade_bv14_counts.py	77	RUNTIME_FILE_PATH	SCR	SCR	DYNAMIC	YES	os.path.join
cascade_bv14_counts.py	77	RUNTIME_FILE_PATH	os.path.join(SCR, f'bv14_counts_{tag}.json')	os.path.join(SCR, f'bv14_counts_{tag}.json')	DYNAMIC	YES	open
cascade_bv14_counts.py	78	RUNTIME_FILE_PATH	out	out	DYNAMIC	YES	json.dump
