candidate_path	original_path	destination	primary_owner	lane_class	artifact_type	git_blob_oid	sha256	atomic_family_id	disposition	proposed_batch_id	operational_inbound_count	forensic_inbound_count	forensic_inbound_sources	outbound_imports	runtime_paths	generated_outputs	required_companions	frozen_companions	unresolved_runtime_paths	test_scope	frontier_or_control	future_exact_pointer_changes	ruling_basis
cascade_bv10_E2_period.py	cascade_bv10_E2_period.py	archive/pre_2026-07-01/cascade_bv10_E2_period.py	LEGACY_FROZEN	LEGACY	PYTHON	40f28324cfba532d571d02a43fc18bdc4d4cd923	540361e0c65db785c613f20573535e18b28bb2aa5c26ef77b6819766c8cb6cbb	F_SAFE_CASCADE_BV10_E2_PERIOD	SAFE_BYTE_IDENTICAL	B02_LEGACY_STANDALONE_ALGEBRA_A	0	6	reorganization_r0/DEPENDENCY_MAP.tsv;reorganization_r0/ROOT_FILE_INVENTORY.tsv;reorganization_r1a/postmove_census/DEPENDENCY_MAP.tsv;reorganization_r1a/postmove_census/ROOT_FILE_INVENTORY.tsv;reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv;reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	CURRENT_ARTIFACT_PATHS.tsv current_path+status;MIGRATION_LEDGER.tsv append	standalone external-library/stdout-only script; no operational inbound, local runtime path, generated output, test glob, frontier target, or required companion
cascade_bv10_E2_symbolic.py	cascade_bv10_E2_symbolic.py	archive/pre_2026-07-01/cascade_bv10_E2_symbolic.py	LEGACY_FROZEN	LEGACY	PYTHON	df81795d831f33fd416c053d9e0a28de36acff12	05ad093aede87253d8fb617c8daba0667c8618ad09e993279011e8af27e55323	F_SAFE_CASCADE_BV10_E2_SYMBOLIC	SAFE_BYTE_IDENTICAL	B02_LEGACY_STANDALONE_ALGEBRA_A	0	6	reorganization_r0/DEPENDENCY_MAP.tsv;reorganization_r0/ROOT_FILE_INVENTORY.tsv;reorganization_r1a/postmove_census/DEPENDENCY_MAP.tsv;reorganization_r1a/postmove_census/ROOT_FILE_INVENTORY.tsv;reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv;reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	CURRENT_ARTIFACT_PATHS.tsv current_path+status;MIGRATION_LEDGER.tsv append	standalone external-library/stdout-only script; no operational inbound, local runtime path, generated output, test glob, frontier target, or required companion
cascade_bv10_E3_bottom.py	cascade_bv10_E3_bottom.py	archive/pre_2026-07-01/cascade_bv10_E3_bottom.py	LEGACY_FROZEN	LEGACY	PYTHON	bc08f8d5e8a2be9e7e6a87da6b725e799208450e	75e44153d4203325a2318ec671cbe70426a63f23a59c7ebe2761ab918ce7229f	F_SAFE_CASCADE_BV10_E3_BOTTOM	SAFE_BYTE_IDENTICAL	B02_LEGACY_STANDALONE_ALGEBRA_A	0	6	reorganization_r0/DEPENDENCY_MAP.tsv;reorganization_r0/ROOT_FILE_INVENTORY.tsv;reorganization_r1a/postmove_census/DEPENDENCY_MAP.tsv;reorganization_r1a/postmove_census/ROOT_FILE_INVENTORY.tsv;reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv;reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	CURRENT_ARTIFACT_PATHS.tsv current_path+status;MIGRATION_LEDGER.tsv append	standalone external-library/stdout-only script; no operational inbound, local runtime path, generated output, test glob, frontier target, or required companion
cascade_bv10_cas.py	cascade_bv10_cas.py	archive/pre_2026-07-01/cascade_bv10_cas.py	LEGACY_FROZEN	LEGACY	PYTHON	ceb68bad8537c1a0f9e832004fc6c2f392489dea	faa2c28e66e74cb0ab24933c2ace41c3237054147641c4deeefaa89ef36cee01	F_SAFE_CASCADE_BV10_CAS	SAFE_BYTE_IDENTICAL	B02_LEGACY_STANDALONE_ALGEBRA_A	0	6	reorganization_r0/DEPENDENCY_MAP.tsv;reorganization_r0/ROOT_FILE_INVENTORY.tsv;reorganization_r1a/postmove_census/DEPENDENCY_MAP.tsv;reorganization_r1a/postmove_census/ROOT_FILE_INVENTORY.tsv;reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv;reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	CURRENT_ARTIFACT_PATHS.tsv current_path+status;MIGRATION_LEDGER.tsv append	standalone external-library/stdout-only script; no operational inbound, local runtime path, generated output, test glob, frontier target, or required companion
cascade_bv10_reshoot.py	cascade_bv10_reshoot.py	archive/pre_2026-07-01/cascade_bv10_reshoot.py	LEGACY_FROZEN	LEGACY	PYTHON	9df1bfe408287b724a8dd90f30ac808d6ec1574a	f612d3d897e100c91083025c3fa3bad879fa585434a1f844a6f2bd96e35af553	F_BV10_RESHOOT_RUNTIME	BLOCKED_IMMUTABLE_COMPANION	-	0	8	reorganization_r0/DEPENDENCY_MAP.tsv;reorganization_r0/DEPENDENCY_SUMMARY.md;reorganization_r0/ROOT_FILE_INVENTORY.tsv;reorganization_r1a/postmove_census/DEPENDENCY_MAP.tsv;reorganization_r1a/postmove_census/DEPENDENCY_SUMMARY.md;reorganization_r1a/postmove_census/ROOT_FILE_INVENTORY.tsv;reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv;reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	cascade_stageC_lib->cascade_stageC_lib.py;cell_solver_universe_T3->cell_solver_universe_T3.py	bv10_reshoot_results.npy[DYNAMIC]	bv10_reshoot_results.npy	cell_solver_universe_T3.py;cascade_stageC_lib.py	NONE	NONE	NONE	NONE	-	imports retained root solver libraries and generates a root-relative NPY
cascade_bv11_lib.py	cascade_bv11_lib.py	archive/pre_2026-07-01/cascade_bv11_lib.py	LEGACY_FROZEN	LEGACY	PYTHON	9907b6aac706f61ffdaa322fee799f80e54e97db	14262525248ca85576165367ed47368d178a3c3c35a91166876ad87513ccd739	F_BV11_RUNTIME	BLOCKED_RUNTIME_OR_MISSING_INPUT	-	0	6	reorganization_r0/DEPENDENCY_MAP.tsv;reorganization_r0/ROOT_FILE_INVENTORY.tsv;reorganization_r1a/postmove_census/DEPENDENCY_MAP.tsv;reorganization_r1a/postmove_census/ROOT_FILE_INVENTORY.tsv;reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv;reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NONE	NONE	bv11_fundamental_traj.npz;bv11_root.json	cell_solver_universe_T3.py	NONE	bv11_lib;absolute root cell_solver path	NONE	NONE	-	unprefixed bv11_lib import, hard-coded root module load, and producer/output closure are unresolved
cascade_bv11_v1_root.py	cascade_bv11_v1_root.py	archive/pre_2026-07-01/cascade_bv11_v1_root.py	LEGACY_FROZEN	LEGACY	PYTHON	aba7d333ee5cc56bbeeb320cb934d3ea32981ebd	1e5ac995119d1a23cc14c7b5222f5e7bf36583148226344ff8cd985f0c7e460a	F_BV11_RUNTIME	BLOCKED_RUNTIME_OR_MISSING_INPUT	-	0	8	reorganization_r0/DEPENDENCY_MAP.tsv;reorganization_r0/DEPENDENCY_SUMMARY.md;reorganization_r0/ROOT_FILE_INVENTORY.tsv;reorganization_r1a/postmove_census/DEPENDENCY_MAP.tsv;reorganization_r1a/postmove_census/DEPENDENCY_SUMMARY.md;reorganization_r1a/postmove_census/ROOT_FILE_INVENTORY.tsv;reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv;reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	bv11_lib->cascade_bv11_lib.py	bv11_fundamental_traj.npz[MISSING_OR_GENERATED];bv11_root.json[MISSING_OR_GENERATED];{'dstar': dstar, 'astar': astar, 'suite100k': d100, 'suite200k': {k: d200[k] for k in d200 if k not in ()}, 'shots': L.SHOTS['n']}[DYNAMIC]	bv11_fundamental_traj.npz;bv11_root.json	cell_solver_universe_T3.py	NONE	bv11_lib;absolute root cell_solver path	NONE	NONE	-	unprefixed bv11_lib import, hard-coded root module load, and producer/output closure are unresolved
cascade_bv11_v1_tolcheck.py	cascade_bv11_v1_tolcheck.py	archive/pre_2026-07-01/cascade_bv11_v1_tolcheck.py	LEGACY_FROZEN	LEGACY	PYTHON	7df72574f1c2c6321c426de3cc67abc3dbdf3449	e58f3c5cc58ae719dadc15edfb68132cfabc38d193218304b5e9714833c918cb	F_BV11_RUNTIME	BLOCKED_RUNTIME_OR_MISSING_INPUT	-	0	6	reorganization_r0/DEPENDENCY_MAP.tsv;reorganization_r0/ROOT_FILE_INVENTORY.tsv;reorganization_r1a/postmove_census/DEPENDENCY_MAP.tsv;reorganization_r1a/postmove_census/ROOT_FILE_INVENTORY.tsv;reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv;reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	bv11_lib->cascade_bv11_lib.py	NONE	bv11_fundamental_traj.npz;bv11_root.json	cell_solver_universe_T3.py	NONE	bv11_lib;absolute root cell_solver path	NONE	NONE	-	unprefixed bv11_lib import, hard-coded root module load, and producer/output closure are unresolved
cascade_bv11_v2_desert.py	cascade_bv11_v2_desert.py	archive/pre_2026-07-01/cascade_bv11_v2_desert.py	LEGACY_FROZEN	LEGACY	PYTHON	d524505be97eea7e646e2ecbd395aa900af95c16	b6eb3e37a57b772bc6065ec83148a464596d03616b937723763f01e489fc7cef	F_BV11_RUNTIME	BLOCKED_RUNTIME_OR_MISSING_INPUT	-	0	6	reorganization_r0/DEPENDENCY_MAP.tsv;reorganization_r0/ROOT_FILE_INVENTORY.tsv;reorganization_r1a/postmove_census/DEPENDENCY_MAP.tsv;reorganization_r1a/postmove_census/ROOT_FILE_INVENTORY.tsv;reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv;reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	bv11_lib->cascade_bv11_lib.py	NONE	bv11_fundamental_traj.npz;bv11_root.json	cell_solver_universe_T3.py	NONE	bv11_lib;absolute root cell_solver path	NONE	NONE	-	unprefixed bv11_lib import, hard-coded root module load, and producer/output closure are unresolved
cascade_bv11_v3_cap.py	cascade_bv11_v3_cap.py	archive/pre_2026-07-01/cascade_bv11_v3_cap.py	LEGACY_FROZEN	LEGACY	PYTHON	8d2a6eb1585aff1b7f3459672be7d8abe0dd332d	12cce7b855ea84a2a77c1695f4e7e755cc4482896a3e9a110c176879d8329f70	F_BV11_RUNTIME	BLOCKED_RUNTIME_OR_MISSING_INPUT	-	0	6	reorganization_r0/DEPENDENCY_MAP.tsv;reorganization_r0/ROOT_FILE_INVENTORY.tsv;reorganization_r1a/postmove_census/DEPENDENCY_MAP.tsv;reorganization_r1a/postmove_census/ROOT_FILE_INVENTORY.tsv;reorganization_r1b/base_forensic_census/DEPENDENCY_MAP.tsv;reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NONE	bv11_fundamental_traj.npz[MISSING_OR_GENERATED]	bv11_fundamental_traj.npz;bv11_root.json	cell_solver_universe_T3.py	NONE	bv11_lib;absolute root cell_solver path	NONE	NONE	-	unprefixed bv11_lib import, hard-coded root module load, and producer/output closure are unresolved
