row_id	object_or_claim	arena	closure_candidate	pairing_branch	census_branch	jet_layer	parity_status	provenance	status	checks
C01	phi_s 0-jet seam trace	W-1D	all	NONE (banked seam package)	n/a	N=2	ODD (eps_phi=-1 DEFINITIONAL, C-2026-07-30-1 L3)	banked seam locus (0d0d575)	essential slot at fold; free at glue/open-end	TW3_fold_essential_dphi_zero
C02	rho_s 0-jet seam trace	W-1D	all	NONE	n/a	N=2	EVEN (banked fold-JC mirror jets)	banked	B-argument; survives at crease	S0d_parity_jet_kill_even
C03	phi'_s 1-jet trace	W-1D	all	NONE	n/a	N=2	EVEN under fold	banked (pi_phi arg; q-carrier)	momentum argument ONLY — excluded from B by the R6 cut	TW2d_R6_unpaired_jet_cut_N2
C04	rho'_s 1-jet trace (the D-b datum)	W-1D	all	NONE	n/a	N=2	ODD under fold (killed at crease)	banked (pi_rho arg)	momentum argument ONLY — excluded from B by the R6 cut	TW2d_R6_unpaired_jet_cut_N2; S0d_parity_jet_kill_even
C05	q = Z rho_s^2 phi'_s (flux)	W-1D	all	NONE	n/a	N=2	even composite	banked weld/flux-seal chain	per-candidate status: see V-rows	TW3_openend_q_is_Q_germ
C06	Q_s = c_E e^{-phi_s} anchored trace	W-1D	all	NONE	n/a	N=2	trivial character	anchored rule p=q (Stage-2/3, recomputed)	the ONLY legal phi_s-dependence of B	S0e_anchored_wall_rule_p_eq_q; TW2a_anchored_variation_chain_rule
C07	seam functional Bfrak(Q_s,rho_s)	W-1D	all	NONE	n/a	N=2	trivial character	THE 07-18 OPEN object (D-a; M19/S24) — PARAMETRIZED not invented (F-B2)	general form = TW2 rows	TW2a; TW2b_deltaB_at_seam_is_first_germ
C08	0-jet wall traces Q_w, f0_w, bh0_w	W-REG	all	all 5 carried	BASE	N=2	eps_phi=-1 DEFINITIONAL; f/bh SUPPLIED (definite per realized outcome under R-A; else free)	Stage-2 alphabet rows 5/9/10 + V8 supplied-slot resolution	B-arguments (parity-surviving subset per candidate)	S0f_wall_directions_trivial_character; S0d_*
C09	1-jet wall traces p1_w, f1_w, h1_w	W-REG	all	all 5	BASE	N=2	complementary parity kill	Stage-3 TC3 momenta args	excluded from B at N=2 (R6 cut, weight-robust)	TW2d; TW2e_cut_weight_robust
C10	moduli m + K4 invariants as wall args	W-REG	all	all 5	BASE spectators / BR-M live	N=2	eps_lambda=eps_kmod=-1 (P2-cond.; R-A discharges); k10/C per branch/class	Stage-2 rows 11-14; Route P; angular completion	B-arguments; trivial-character factoring	S0f
C11	N3 wall m-jet slots	W-REG	all	P3 / varied fork	BR-M	moduli 1-jet layer	character-typed pointwise	Route D N3 (J05 leg recomputed)	slot exists; B(m'_w)-dependence cut at the moduli-jet layer (same R6 cut)	TW2f_J05_moduli_wall_slot_identity
C12	corner slots	W-REG	all	P3	both	codim-2	n/a	Stage-3 TC3 corners	TYPED-ONLY (absent from one-parameter presentation)	guard (cited)
C13	completion label c-frak as B-argument	W-REG	all	all	both	N=2	discrete	Stage-1 census row 18; R3/R15	additive c-dependence variationally INERT at N=2 (R15 auto-honest for inert content); germ-level c-dependence typed	TW2c_higher_germ_inert_b_0
C14	2-jet traces / 3rd-jet momenta	W-REG	all	all	both	N=4	per-jet parity table (TC3)	Stage-3 TC3 N=4 census	TYPED layer — 1-jet germ content of B ACTIVATES there; NOT RUN	guard (cited)
P01	general B at N=2: one trivial-character function of parity-surviving 0-jet traces per wall stratum; phi only through Q; no 1-jet args	both	all	structure branch-INDEPENDENT (W_F != 0)	BASE exhaustive; BR-M typed	N=2 exhaustive	stamps in-row	derived TW2	PARAMETRIZED	TW2a-TW2f
P02	active content = first germ (B_Q, B_rho)(c_E, rho_s) ONLY; all higher germ content inert AT THE REALIZED SEAM GERM / per realized configuration [AM-V2: germ-LOCAL — active content 3(rho_1-rho_s)^2 at a different realized trace, credited AMV2a/AMV2b] (gloss softened: primitive-nonuniqueness-like, NOT the exact form of banked BDY-TD momentum-shifting total-derivative freedom)	W-1D	all	NONE	n/a	N=2	n/a	derived	THEOREM (zero-residual)	TW2b; TW2c_*; TW4_nonuniqueness_*; AMV2a; AMV2b
V01	FOLD required-B space	W-1D	fold	NONE	n/a	N=2	eps_phi=-1 defn; rho even banked	derived	NONEMPTY (witness B=0); EFFECTIVELY UNIQUE at the realized seam germ / per realized configuration [AM-V2]: Q-germ INERT (essential dphi=0), rho-germ FORCED 0 (R6 C^1 + parity vs natural BC) — POSTURE-CONDITIONAL: given the quotient posture [AM-V1]; D-b: rho'_s=0 reproduced; q=OUTPUT	TW3_fold_Q_germ_inert; TW3_fold_R6_forces_rho_germ_zero; TW3_fold_consistency_K4d; TW4_witness_fold_B0; AMV1; AMV2a
V02	MIRROR-WALL theorem (W-REG): for mirror-compatible members every even-field momentum vanishes kinematically at the wall; odd-field variation essential-zero => effective wall response FORCED TRIVIAL at N=2; pairing-branch-independent (W_F(wall)=1); DOUBLY PROVEN (even-invariant construction + verifier's strictly-more-general SYMMETRIZATION proof, credited)	W-REG	fold/mirror wall	all 5 (weight drops)	BASE	N=2	mirror-compatibility stamp LOAD-BEARING (witnessed x2)	derived	THEOREM (zero-residual)	TW3_WREG_mirror_momentum_kill_f/h; TW3_WREG_mirror_compat_load_bearing; TW3_pairing_weight_drops_at_mirror_wall; AMV3a-AMV3d
V03	PARTNER required-B space	W-1D	partner	NONE	n/a	N=2	n/a	derived	= the GERM-FLAT stratum (B_Q=B_rho=0 at seam germ); WE continuity reproduced; D-b: rho'_s FREE; q continuous data-determined	TW3_partner_WE_*; TW3_partner_rhop_free
V04	GLUE+B required-B space	W-1D	glue+B	NONE	n/a	N=2	n/a	derived + banked jump (weld :30-32)	NONEMPTY (witness (q/2)rho); FIRST GERM UNIQUELY PINNED: B_rho=q/2 (K6c reproduced) AND flux seal [pi_phi]=0 <=> B_Q=0 (NEW exact equivalence); higher content inert at the realized seam germ => effectively UNIQUE at N=2 at the realized seam germ / per realized configuration [AM-V2]	TW3_glue_reproduces_K6c; TW3_glue_flux_seal_iff_Q_flat; TW4_witness_glue_*; AMV2a; AMV2b
V05	OPEN-END required-B space	W-1D	open-end	NONE	n/a	N=2	n/a	derived	FREE 2-germ-function FAMILY; outputs q=-c_E*B_Q and rho'_s=-B_rho/4; realizes ANY (q,rho'_s) pair; banked q=0-under-no-choice = the germ-flat stratum ONLY	TW3_openend_germ_laws; TW3_openend_q_is_Q_germ; TW3_openend_consistency_K6d_*; TW4_openend_germ_plane_realizes_any_output
V06	COMPOSITE verdict OW2: FAMILY with exact wall-moduli; no candidate emptied, none unique-selected; B's N=2 active content is candidate-RELATIVE data not a discriminator; the discriminating datum = the POSTURE (quotient/two-sided/open), not a B-value; deeper selective content (N=4, R9, J07/J11) TYPED OPEN	both	all	uniform (proven via W_F != 0)	both	N=2 exhaustive / N=4 typed	full stamps	derived	VERDICT	all TW3/TW4 rows
Q01	q-datum status per candidate: fold=OUTPUT; partner=continuous/data-determined; glue(banked)=continuous iff B_Q-germ=0 (forced by banked seal); open-end: q=-c_E*B_Q (0 iff germ-flat)	W-1D	per-candidate	NONE	n/a	N=2	n/a	derived	MAP FACTS	TW3_openend_*; TW3_glue_flux_seal_iff_Q_flat
