class_id	class	free_extension_parameters	path_functor	endpoint_collapse_on_full_holonomy_control	physical_selection	outcome
E01	FOUNDED_TWO_CHANNEL_SUBGROUP	0	BASE_PAIR_REPRESENTATION_COMPOSES_GIVEN_DEPTH_NOT_COMPLETE_FUNCTOR	NOT_APPLICABLE_INCOMPLETE_FOUR_SLOT_ACTION	NOT_SELECTED	FOUNDED_BASE_ONLY_NOT_COMPLETE_PHYSICAL_FUNCTOR
E02	GENERAL_TRIANGULAR_COMPLETE_COFRAME_EXTENSION	7	AVAILABLE_CONDITIONAL_GIVEN_MEMBER_DEPTH_TYPED_PATH	OBSTRUCTED_ON_FULL_HOLONOMY_CONTROL_ONLY	NOT_SELECTED	SEVEN_PARAMETER_POINTWISE_CLASS_PATHWISE_AVAILABLE_NOT_SELECTED
E03	DETERMINANT_ONE_EXTENSION	6	AVAILABLE_CONDITIONAL_GIVEN_MEMBER_DEPTH_TYPED_PATH	OBSTRUCTED_ON_FULL_HOLONOMY_CONTROL_ONLY	NOT_SELECTED	SIX_PARAMETER_DETERMINANT_ONE_CLASS_PATHWISE_AVAILABLE_NOT_SELECTED
E04	TRANSVERSE_METRIC_INVARIANT_EXTENSION	4	AVAILABLE_CONDITIONAL_GIVEN_MEMBER_DEPTH_TYPED_PATH	OBSTRUCTED_ON_FULL_HOLONOMY_CONTROL_ONLY	NOT_SELECTED	FOUR_PARAMETER_MIXING_CLASS_PATHWISE_AVAILABLE_NOT_SELECTED
E05	NO_BASE_ANGULAR_MIXING_EXTENSION	3	AVAILABLE_CONDITIONAL_GIVEN_MEMBER_DEPTH_TYPED_PATH	OBSTRUCTED_ON_FULL_HOLONOMY_CONTROL_ONLY	NOT_SELECTED	THREE_PARAMETER_ANGULAR_CLASS_PATHWISE_AVAILABLE_NOT_SELECTED
E06	DIRECT_SUM_SPECTATOR_EXTENSION	0	AVAILABLE_CONDITIONAL_GIVEN_MEMBER_DEPTH_TYPED_PATH	OBSTRUCTED_ON_FULL_HOLONOMY_CONTROL_ONLY	NOT_SELECTED	EXACT_SPECTATOR_WITNESS_PATHWISE_AVAILABLE_UNDER_EXTRA_PREMISES_NOT_SELECTED
E07	RECIPROCAL_ANGULAR_COUNTERFAMILY	1	AVAILABLE_CONDITIONAL_GIVEN_MEMBER_DEPTH_TYPED_PATH	OBSTRUCTED_ON_FULL_HOLONOMY_CONTROL_ONLY	NOT_SELECTED	EXACT_ANGULAR_NONUNIQUENESS_COUNTERFAMILY_NOT_SELECTED
E08	SHIFT_MIXING_COUNTERFAMILY	1	AVAILABLE_CONDITIONAL_GIVEN_MEMBER_DEPTH_TYPED_PATH	OBSTRUCTED_ON_FULL_HOLONOMY_CONTROL_ONLY	NOT_SELECTED	EXACT_SHIFT_NONUNIQUENESS_COUNTERFAMILY_NOT_SELECTED
E09	PHYSICAL_METRIC_READING	7	AVAILABLE_CONDITIONAL_GIVEN_MEMBER_DEPTH_TYPED_PATH	OBSTRUCTED_ON_FULL_HOLONOMY_CONTROL_ONLY	NOT_SELECTED	PHYSICAL_METRIC_READING_RETAINS_SEVEN_PARAMETER_OPEN_SELECTION
E10	CONFORMAL_CLASS_READING	6	AVAILABLE_CONDITIONAL_GIVEN_MEMBER_DEPTH_TYPED_PATH	OBSTRUCTED_ON_FULL_HOLONOMY_CONTROL_ONLY	INACTIVE	CONFORMAL_READING_INACTIVE_AND_RETAINS_SIX_PARAMETER_AMBIGUITY
E11	LOCAL_LORENTZ_QUOTIENT	-	AVAILABLE_CONDITIONAL_GIVEN_EXTENSION_MEMBER_DEPTH_TYPED_PATH	OPEN_DEPENDS_ON_SELECTED_EXTENSION_AND_GLOBAL_COMPLETION	NOT_SELECTED	LOCAL_LORENTZ_PHYSICAL_OPERATION_DESCENT_OPEN
E12	PROFILE_PATH_BOUNDARY_GLOBAL_EXTENSION	-	AVAILABLE_CONDITIONAL_GIVEN_EXTENSION_MEMBER_DEPTH_TYPED_PATH	OPEN_DEPENDS_ON_SELECTED_EXTENSION_AND_GLOBAL_COMPLETION	NOT_SELECTED	GLOBAL_PHYSICAL_COMPARISON_FUNCTOR_OPEN
