premise_id	premise	status	use	open_scope
P01	founded reciprocal base generator H=diag(-1,+1)	DERIVED	fixed base block	physical pair/path assignment open
P02	general triangular complete-coframe extension class	DERIVED_CLASSIFICATION	full seven-parameter pointwise universe	chart and global descent open
P03	spectator extension	DERIVED_EXACT_WITNESS	retained one row	not preferred or physically selected
P04	angular and shift counterfamilies	DERIVED_EXACT_COUNTERMODELS	retain nonuniqueness	parameters and physical roles open
P05	stationary Killing clock depth	DERIVED_CONDITIONAL	conditional signed-depth control	stationarity and physical observer domain open
P06	typed path groupoid	DERIVED_GIVEN_INPUTS	composition control	physical path semantics open
P07	full_so_1_3_holonomy_twisted_branch	OBSERVED_DERIVED_CONDITIONAL_CONTROL	endpoint-descent stress test	off_shell branch not selected universe
P08	copresence	WORKING_INTERPRETIVE_FRAME	prevents signal-ontology promotion	no transmission law asserted
P09	strong_local_CSN	CHALLENGED_OWNER_POSTULATE_NOT_DERIVED	inactive	E10 remains counterfactual
P10	Xmax	WORKING_GLOBAL_OBSERVER_PAIR_SCHEMA	type gate only	functional value and asymptotic bridge open
P11	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY_ONLY	response gate only	no optimizer equation or fixed point imported
P12	action_source_boundary_mass	OPEN	excluded	complete physics remains open
