catch_id	false_promotion_or_corruption	required_result
F01	omit_or_duplicate_an_extension_class	FAIL
F02	omit_a_gate_or_class_gate_cell	FAIL
F03	call_E01_a_complete_four_slot_action	FAIL
F04	call_E02_unique	FAIL
F05	call_determinant_one_sufficient_for_uniqueness	FAIL
F06	call_transverse_invariance_sufficient_for_spectator	FAIL
F07	call_no_mixing_sufficient_for_spectator	FAIL
F08	promote_E06_to_unconditional_physical_selection	FAIL
F09	drop_E07_angular_counterfamily	FAIL
F10	drop_E08_shift_counterfamily	FAIL
F11	activate_E10_strong_CSN_branch	FAIL
F12	call_chart_extension_Lorentz_descended_before_E11	FAIL
F13	call_pointwise_extension_globally_complete_before_E12	FAIL
F14	claim_path_composition_selects_generator_parameters	FAIL
F15	claim_path_label_is_physical_ontology	FAIL
F16	claim_endpoint_collapse_without_holonomy_centralization	FAIL
F17	claim_full_so_1_3_holonomy_centralizes_founded_extension	FAIL
F18	promote_control_holonomy_obstruction_to_all_UDT_metrics	FAIL
F19	splice_stationary_clock_from_one_branch_with_extension_from_another	FAIL
F20	call_all_pairs_clock_cocycle_a_selected_response_target	FAIL
F21	derive_Xmax_from_pointwise_extension_class	FAIL
F22	promote_bootstrap_to_local_equation	FAIL
F23	use_c_E_and_G_obs_as_sufficient_length_or_density_closure	FAIL
F24	bank_without_no_production_read_independence_and_fresh_review	FAIL
