id	class	free_extension_parameters	registered_status	registered_premises
E01	FOUNDED_TWO_CHANNEL_SUBGROUP	0	DERIVED	Reciprocal-c;dual_Reciprocity;regular_additive_composition;sign_and_unit_convention
E02	GENERAL_TRIANGULAR_COMPLETE_COFRAME_EXTENSION	7	DERIVED_CLASSIFICATION	fixed_E01_base_generator;registered_positive_triangular_chart
E03	DETERMINANT_ONE_EXTENSION	6	DERIVED_CLASSIFICATION	E02;complete_coframe_determinant_one
E04	TRANSVERSE_METRIC_INVARIANT_EXTENSION	4	DERIVED_CLASSIFICATION	E02;unchanged_positive_angular_metric_in_triangular_section
E05	NO_BASE_ANGULAR_MIXING_EXTENSION	3	DERIVED_CLASSIFICATION	E02;zero_metric_cross_block
E06	DIRECT_SUM_SPECTATOR_EXTENSION	0	DERIVED_EXACT_WITNESS	E02;transverse_metric_invariance;no_base-angular_mixing
E07	RECIPROCAL_ANGULAR_COUNTERFAMILY	1	DERIVED_EXACT_COUNTERMODEL	E03;aligned_diagonal_angular_axes
E08	SHIFT_MIXING_COUNTERFAMILY	1	DERIVED_EXACT_COUNTERMODEL	E03;one_lower_base-angular_generator
E09	PHYSICAL_METRIC_READING	7	OPEN_SELECTION	E02;common_scale_physical
E10	CONFORMAL_CLASS_READING	6	CONDITIONAL_OPEN_SELECTION	E03;strong_local_CSN_supplied
E11	LOCAL_LORENTZ_QUOTIENT	-	OPEN	coframe_representatives_modulo_local_Lorentz
E12	PROFILE_PATH_BOUNDARY_GLOBAL_EXTENSION	-	OPEN	physical_observer_pair_assignment;phi_profile;connection;finite_cell_completion
