gate_id	gate	pass_condition
C01	source_freeze	20_of_20_sources_match_blob_and_sha256
C02	class_coverage	12_of_12_classes_exactly_once
C03	matrix_coverage	144_of_144_class_gate_cells
C04	generator_rank	seven_extension_and_seven_metric_response_directions_exact
C05	path_functor	arbitrary_X_composition_reconstructed_exactly
C06	centralizer	full_so_1_3_centralizer_dimension_one_and_no_founded_extension_solution
C07	independent	no_production_read_semantic_and_fraction_reconstruction
C08	catches	24_of_24_actual_output_mutations_rejected
C09	fresh_adversary	source_first_verdict_recorded
C10	repository	frozen_navigation_tests_dirty_metadata_pass
