class_id	gate_id	status	reason
E01	G01	NOT_APPLICABLE	founded_pair_is_two_channel_not_complete_four_slot_action
E01	G02	DERIVED	founded_base_subgroup_is_fixed
E01	G03	OPEN	chart_level_extension_has_no_selected_local_Lorentz_independent_physical_operation
E01	G04	OPEN	no_extension_class_supplies_one_intrinsic_same_branch_clock_and_founded_ruler
E01	G05	OPEN	physical_observer_objects_and_event_pairing_are_not_selected
E01	G06	OPEN	extension_class_does_not_assign_metric_native_signed_depth_to_physical_arrows
E01	G07	AVAILABLE_CONDITIONAL	founded_base_representation_composes_given_additive_depth_but_is_not_a_complete_functor
E01	G08	OPEN	path_retention_endpoint_collapse_or_quotient_is_not_selected
E01	G09	OPEN	finite_cell_boundary_and_global_descent_are_not_supplied
E01	G10	OPEN	no_extension_class_supplies_the_operational_pair_functional_or_asymptotic_Xmax_join
E01	G11	OPEN	all_pairs_clock_map_has_rank_but_no_native_target_or_compatibility_equality
E01	G12	NOT_SELECTED	at_least_one_prior_gate_is_open_and_no_active_premise_selects_this_class
E02	G01	CLASSIFIED_FAMILY	complete_pointwise_family_exists_with_residual_parameters
E02	G02	CLASSIFIED_FAMILY	residual_member_parameters_are_not_selected
E02	G03	OPEN	chart_level_extension_has_no_selected_local_Lorentz_independent_physical_operation
E02	G04	OPEN	no_extension_class_supplies_one_intrinsic_same_branch_clock_and_founded_ruler
E02	G05	OPEN	physical_observer_objects_and_event_pairing_are_not_selected
E02	G06	OPEN	extension_class_does_not_assign_metric_native_signed_depth_to_physical_arrows
E02	G07	AVAILABLE_CONDITIONAL	any_supplied_constant_extension_generator_and_additive_depth_compose_on_typed_path_arrows
E02	G08	OPEN	path_retention_endpoint_collapse_or_quotient_is_not_selected
E02	G09	OPEN	finite_cell_boundary_and_global_descent_are_not_supplied
E02	G10	OPEN	no_extension_class_supplies_the_operational_pair_functional_or_asymptotic_Xmax_join
E02	G11	OPEN	all_pairs_clock_map_has_rank_but_no_native_target_or_compatibility_equality
E02	G12	NOT_SELECTED	at_least_one_prior_gate_is_open_and_no_active_premise_selects_this_class
E03	G01	CLASSIFIED_FAMILY	complete_pointwise_family_exists_with_residual_parameters
E03	G02	CLASSIFIED_FAMILY	residual_member_parameters_are_not_selected
E03	G03	OPEN	chart_level_extension_has_no_selected_local_Lorentz_independent_physical_operation
E03	G04	OPEN	no_extension_class_supplies_one_intrinsic_same_branch_clock_and_founded_ruler
E03	G05	OPEN	physical_observer_objects_and_event_pairing_are_not_selected
E03	G06	OPEN	extension_class_does_not_assign_metric_native_signed_depth_to_physical_arrows
E03	G07	AVAILABLE_CONDITIONAL	any_supplied_constant_extension_generator_and_additive_depth_compose_on_typed_path_arrows
E03	G08	OPEN	path_retention_endpoint_collapse_or_quotient_is_not_selected
E03	G09	OPEN	finite_cell_boundary_and_global_descent_are_not_supplied
E03	G10	OPEN	no_extension_class_supplies_the_operational_pair_functional_or_asymptotic_Xmax_join
E03	G11	OPEN	all_pairs_clock_map_has_rank_but_no_native_target_or_compatibility_equality
E03	G12	NOT_SELECTED	at_least_one_prior_gate_is_open_and_no_active_premise_selects_this_class
E04	G01	CLASSIFIED_FAMILY	complete_pointwise_family_exists_with_residual_parameters
E04	G02	CLASSIFIED_FAMILY	residual_member_parameters_are_not_selected
E04	G03	OPEN	chart_level_extension_has_no_selected_local_Lorentz_independent_physical_operation
E04	G04	OPEN	no_extension_class_supplies_one_intrinsic_same_branch_clock_and_founded_ruler
E04	G05	OPEN	physical_observer_objects_and_event_pairing_are_not_selected
E04	G06	OPEN	extension_class_does_not_assign_metric_native_signed_depth_to_physical_arrows
E04	G07	AVAILABLE_CONDITIONAL	any_supplied_constant_extension_generator_and_additive_depth_compose_on_typed_path_arrows
E04	G08	OPEN	path_retention_endpoint_collapse_or_quotient_is_not_selected
E04	G09	OPEN	finite_cell_boundary_and_global_descent_are_not_supplied
E04	G10	OPEN	no_extension_class_supplies_the_operational_pair_functional_or_asymptotic_Xmax_join
E04	G11	OPEN	all_pairs_clock_map_has_rank_but_no_native_target_or_compatibility_equality
E04	G12	NOT_SELECTED	at_least_one_prior_gate_is_open_and_no_active_premise_selects_this_class
E05	G01	CLASSIFIED_FAMILY	complete_pointwise_family_exists_with_residual_parameters
E05	G02	CLASSIFIED_FAMILY	residual_member_parameters_are_not_selected
E05	G03	OPEN	chart_level_extension_has_no_selected_local_Lorentz_independent_physical_operation
E05	G04	OPEN	no_extension_class_supplies_one_intrinsic_same_branch_clock_and_founded_ruler
E05	G05	OPEN	physical_observer_objects_and_event_pairing_are_not_selected
E05	G06	OPEN	extension_class_does_not_assign_metric_native_signed_depth_to_physical_arrows
E05	G07	AVAILABLE_CONDITIONAL	any_supplied_constant_extension_generator_and_additive_depth_compose_on_typed_path_arrows
E05	G08	OPEN	path_retention_endpoint_collapse_or_quotient_is_not_selected
E05	G09	OPEN	finite_cell_boundary_and_global_descent_are_not_supplied
E05	G10	OPEN	no_extension_class_supplies_the_operational_pair_functional_or_asymptotic_Xmax_join
E05	G11	OPEN	all_pairs_clock_map_has_rank_but_no_native_target_or_compatibility_equality
E05	G12	NOT_SELECTED	at_least_one_prior_gate_is_open_and_no_active_premise_selects_this_class
E06	G01	EXACT_WITNESS	complete_spectator_member_exists_under_two_extra_premises
E06	G02	AVAILABLE_CONDITIONAL	unique_only_given_transverse_invariance_and_no_mixing
E06	G03	OPEN	chart_level_extension_has_no_selected_local_Lorentz_independent_physical_operation
E06	G04	OPEN	no_extension_class_supplies_one_intrinsic_same_branch_clock_and_founded_ruler
E06	G05	OPEN	physical_observer_objects_and_event_pairing_are_not_selected
E06	G06	OPEN	extension_class_does_not_assign_metric_native_signed_depth_to_physical_arrows
E06	G07	AVAILABLE_CONDITIONAL	any_supplied_constant_extension_generator_and_additive_depth_compose_on_typed_path_arrows
E06	G08	OPEN	path_retention_endpoint_collapse_or_quotient_is_not_selected
E06	G09	OPEN	finite_cell_boundary_and_global_descent_are_not_supplied
E06	G10	OPEN	no_extension_class_supplies_the_operational_pair_functional_or_asymptotic_Xmax_join
E06	G11	OPEN	all_pairs_clock_map_has_rank_but_no_native_target_or_compatibility_equality
E06	G12	NOT_SELECTED	at_least_one_prior_gate_is_open_and_no_active_premise_selects_this_class
E07	G01	EXACT_COUNTERMODEL	complete_non_spectator_family_exists
E07	G02	CLASSIFIED_FAMILY	residual_member_parameters_are_not_selected
E07	G03	OPEN	chart_level_extension_has_no_selected_local_Lorentz_independent_physical_operation
E07	G04	OPEN	no_extension_class_supplies_one_intrinsic_same_branch_clock_and_founded_ruler
E07	G05	OPEN	physical_observer_objects_and_event_pairing_are_not_selected
E07	G06	OPEN	extension_class_does_not_assign_metric_native_signed_depth_to_physical_arrows
E07	G07	AVAILABLE_CONDITIONAL	any_supplied_constant_extension_generator_and_additive_depth_compose_on_typed_path_arrows
E07	G08	OPEN	path_retention_endpoint_collapse_or_quotient_is_not_selected
E07	G09	OPEN	finite_cell_boundary_and_global_descent_are_not_supplied
E07	G10	OPEN	no_extension_class_supplies_the_operational_pair_functional_or_asymptotic_Xmax_join
E07	G11	OPEN	all_pairs_clock_map_has_rank_but_no_native_target_or_compatibility_equality
E07	G12	NOT_SELECTED	at_least_one_prior_gate_is_open_and_no_active_premise_selects_this_class
E08	G01	EXACT_COUNTERMODEL	complete_non_spectator_family_exists
E08	G02	CLASSIFIED_FAMILY	residual_member_parameters_are_not_selected
E08	G03	OPEN	chart_level_extension_has_no_selected_local_Lorentz_independent_physical_operation
E08	G04	OPEN	no_extension_class_supplies_one_intrinsic_same_branch_clock_and_founded_ruler
E08	G05	OPEN	physical_observer_objects_and_event_pairing_are_not_selected
E08	G06	OPEN	extension_class_does_not_assign_metric_native_signed_depth_to_physical_arrows
E08	G07	AVAILABLE_CONDITIONAL	any_supplied_constant_extension_generator_and_additive_depth_compose_on_typed_path_arrows
