class_id	gate_id	status
E01	G01	NOT_APPLICABLE
E01	G02	DERIVED
E01	G03	OPEN
E01	G04	OPEN
E01	G05	OPEN
E01	G06	OPEN
E01	G07	AVAILABLE_CONDITIONAL
E01	G08	OPEN
E01	G09	OPEN
E01	G10	OPEN
E01	G11	OPEN
E01	G12	NOT_SELECTED
E02	G01	CLASSIFIED_FAMILY
E02	G02	CLASSIFIED_FAMILY
E02	G03	OPEN
E02	G04	OPEN
E02	G05	OPEN
E02	G06	OPEN
E02	G07	AVAILABLE_CONDITIONAL
E02	G08	OPEN
E02	G09	OPEN
E02	G10	OPEN
E02	G11	OPEN
E02	G12	NOT_SELECTED
E03	G01	CLASSIFIED_FAMILY
E03	G02	CLASSIFIED_FAMILY
E03	G03	OPEN
E03	G04	OPEN
E03	G05	OPEN
E03	G06	OPEN
E03	G07	AVAILABLE_CONDITIONAL
E03	G08	OPEN
E03	G09	OPEN
E03	G10	OPEN
E03	G11	OPEN
E03	G12	NOT_SELECTED
E04	G01	CLASSIFIED_FAMILY
E04	G02	CLASSIFIED_FAMILY
E04	G03	OPEN
E04	G04	OPEN
E04	G05	OPEN
E04	G06	OPEN
E04	G07	AVAILABLE_CONDITIONAL
E04	G08	OPEN
E04	G09	OPEN
E04	G10	OPEN
E04	G11	OPEN
E04	G12	NOT_SELECTED
E05	G01	CLASSIFIED_FAMILY
E05	G02	CLASSIFIED_FAMILY
E05	G03	OPEN
E05	G04	OPEN
E05	G05	OPEN
E05	G06	OPEN
E05	G07	AVAILABLE_CONDITIONAL
E05	G08	OPEN
E05	G09	OPEN
E05	G10	OPEN
E05	G11	OPEN
E05	G12	NOT_SELECTED
E06	G01	EXACT_WITNESS
E06	G02	AVAILABLE_CONDITIONAL
E06	G03	OPEN
E06	G04	OPEN
E06	G05	OPEN
E06	G06	OPEN
E06	G07	AVAILABLE_CONDITIONAL
E06	G08	OPEN
E06	G09	OPEN
E06	G10	OPEN
E06	G11	OPEN
E06	G12	NOT_SELECTED
E07	G01	EXACT_COUNTERMODEL
E07	G02	CLASSIFIED_FAMILY
E07	G03	OPEN
E07	G04	OPEN
E07	G05	OPEN
E07	G06	OPEN
E07	G07	AVAILABLE_CONDITIONAL
E07	G08	OPEN
E07	G09	OPEN
E07	G10	OPEN
E07	G11	OPEN
E07	G12	NOT_SELECTED
E08	G01	EXACT_COUNTERMODEL
E08	G02	CLASSIFIED_FAMILY
E08	G03	OPEN
E08	G04	OPEN
E08	G05	OPEN
E08	G06	OPEN
E08	G07	AVAILABLE_CONDITIONAL
E08	G08	OPEN
E08	G09	OPEN
E08	G10	OPEN
E08	G11	OPEN
E08	G12	NOT_SELECTED
E09	G01	CLASSIFIED_FAMILY
E09	G02	CLASSIFIED_FAMILY
E09	G03	OPEN
E09	G04	OPEN
E09	G05	OPEN
E09	G06	OPEN
E09	G07	AVAILABLE_CONDITIONAL
E09	G08	OPEN
E09	G09	OPEN
E09	G10	OPEN
E09	G11	OPEN
E09	G12	NOT_SELECTED
E10	G01	CLASSIFIED_FAMILY
E10	G02	CLASSIFIED_FAMILY
E10	G03	INACTIVE_PREMISE
E10	G04	OPEN
E10	G05	OPEN
E10	G06	OPEN
E10	G07	AVAILABLE_CONDITIONAL
E10	G08	OPEN
E10	G09	OPEN
E10	G10	OPEN
E10	G11	OPEN
E10	G12	INACTIVE_PREMISE
E11	G01	NOT_APPLICABLE
E11	G02	OPEN
E11	G03	OPEN
E11	G04	OPEN
E11	G05	OPEN
E11	G06	OPEN
E11	G07	AVAILABLE_CONDITIONAL
E11	G08	OPEN
E11	G09	OPEN
E11	G10	OPEN
E11	G11	OPEN
E11	G12	NOT_SELECTED
E12	G01	NOT_APPLICABLE
E12	G02	OPEN
E12	G03	OPEN
E12	G04	OPEN
E12	G05	OPEN
E12	G06	OPEN
E12	G07	AVAILABLE_CONDITIONAL
E12	G08	OPEN
E12	G09	OPEN
E12	G10	OPEN
E12	G11	OPEN
E12	G12	NOT_SELECTED
