guard_id	term	controlling_status	open_scope	forbidden_regression	controlling_source
G01	founded_phi_identity	DERIVED_ADDITIVE_LOG_DEPTH_OF_RECIPROCAL_PAIR	physical observer/path assignment; realized profile; complete 4D extension	undefined placeholder; independent native scalar	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md
G02	founded_phi_action	DERIVED_PHI_MAPS_TO_DIAG_EXP_MINUS_PHI_EXP_PLUS_PHI	angular and mixing extension	inverse exponential pair reopened	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
G03	independent_phi_atlases	CHOSE_COMPARISON_CONFIGURATION	useful enlarged solution-space controls	native field ownership inferred from atlas independence	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md
G04	strong_local_CSN	CHALLENGED_OWNER_POSTULATE_NOT_DERIVED	explicitly reauthorized counterfactual branch only	active gauge equivalence or primary rank subtraction	udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv
G05	common_factor_cancellation	DERIVED_ALGEBRAIC_RATIO_INVARIANCE	physical status of common factor	local conformal gauge inferred from cancellation	udt_common_scale_neutrality_provenance_audit_2026-07-24/AUDIT_REPORT.md
G06	c_E_and_G_obs	OBSERVED_ANCHORS_RETAINED	complete native placement and absolute size closure	scale-free physical metric asserted as current fact	udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv
G07	generic_metric_configuration_rank	GENERIC_F4_6_MOD_COORDINATE_PRESENTATION	UDT reduction and dynamics	propagating modes or selected native field census	udt_global_functional_dof_constraint_rank_audit_2026-07-26/LOCAL_PRESENTATION_RANK.tsv
G08	complete_4D_phi_extension	OPEN_SELECTION_WITH_EXACT_EXTENSION_CLASS	angular generator; mixing; descent; global continuation	direct-sum spectator extension called unique unconditionally	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
G09	S2_carrier	POSIT	carrier emergence or replacement	native carrier derived from celestial fiber or Hopf quotient	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md
G10	C2_Bach_action	UNIQUE_CONDITIONAL_ONLY_IF_PRE_SCALE_STRONG_CSN_RETAINED	physical applicability	unconditional native action priority	udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv
G11	EH_action	CONDITIONAL_NOT_SELECTED	native minimality and variation domain	GR familiarity used as derivation	udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv
G12	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY	complete response; mass-volume-density feedback; fixed point	local equation or optimizer invented	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv
G13	Maxwell_like_geometry	CONDITIONAL_TORIC_F_EQUALS_dS_AND_dF_EQUALS_ZERO	U1 selection; action; source; current; charge; normalization	full native Maxwell system claimed	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md
G14	Xmax	WORKING_GLOBAL_OBSERVER_PAIR_MAXIMUM_SEPARATION	pairing functional; value; mass-density modulation	edge radius center or derived numerical constant	udt_xmax_observer_separation_audit_2026-07-24/STATUS_LEDGER.tsv
G15	static_Hopfion	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	carrier emergence; infinite volume; time-live persistence; unconditional mass	unconditional particle stability or matter emergence	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md
G16	complete_native_action_source_boundary_mass	OPEN	all complete closure objects	conditional geometry promoted to complete physics	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv
