semantic_term	candidate_paths	controlling_rule	audit_method
FOUNDED_PHI	70	G01;G02	literal_casefolded_token_family_plus_path_disposition
INDEPENDENT_PHI	4	G03	literal_casefolded_token_family_plus_path_disposition
PHI_OPENNESS	2	G01;G03;G08	literal_casefolded_token_family_plus_path_disposition
STRONG_LOCAL_CSN	39	G04;G05	literal_casefolded_token_family_plus_path_disposition
SCALE_FREE	24	G04;G05;G06	literal_casefolded_token_family_plus_path_disposition
GENERIC_DOF	29	G07;G08	literal_casefolded_token_family_plus_path_disposition
CARRIER	30	G09;G15	literal_casefolded_token_family_plus_path_disposition
ACTION	96	G10;G11;G16	literal_casefolded_token_family_plus_path_disposition
BOOTSTRAP	338	G12	literal_casefolded_token_family_plus_path_disposition
MAXWELL	30	G13	literal_casefolded_token_family_plus_path_disposition
XMAX	220	G14	literal_casefolded_token_family_plus_path_disposition
MASS_SOURCE_BOUNDARY	80	G15;G16	literal_casefolded_token_family_plus_path_disposition
