source_id	path	bytes	sha256
S01	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	11418	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003
S02	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	5790	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783
S03	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	2002	7a4fba1c6f9d02eb7ca12ac953d04e1c04e2b7271598dc99e51db5baeddedb08
S04	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AFFECTED_RESULT_CORRECTION_PLAN.tsv	3533	2b685b2fc36f40c7b5e40e60e0bfd0b13b262322ec1f5a291fed227ead977e32
S05	udt_common_scale_neutrality_provenance_audit_2026-07-24/AUDIT_REPORT.md	6559	98e8fd166e8257e4ad4e40695d05b198c6fc4c1342e39bcfeb013c230a14321d
S06	udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv	3555	18076d2145bfb954b7a998c71de1f0eedad919c63c59ec75dcbf408a4432e0c6
S07	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv	3260	54f055a4800e0650e17f2a5ec842ed3a7b97fd13ef6b7a124d0c29a640c6e4dd
S08	udt_xmax_observer_separation_audit_2026-07-24/STATUS_LEDGER.tsv	2558	a0b72c9456c93bd00e5da7fa75a783b49663e6edbc2b71d2eeaebda59bdf7f32
S09	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	10290	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea
S10	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	8676	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd
S11	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	16110	4e1178a7993a6f3f3e94713df27d0ab8c140b96ef613c5fa09099af72941cb8b
S12	udt_global_functional_dof_constraint_rank_audit_2026-07-26/AUDIT_REPORT.md	4934	469898adf9654048840f39d97dd9bd5a7b6ef410e0d9ff715db402b41bcba714
S13	udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	2135	f3da3be908f19b2d81e5cf79167f75b069ac406b3bc6f30a690494a2b4924b68
S14	udt_global_functional_dof_constraint_rank_audit_2026-07-26/REALIZATION_BRANCH_RANK.tsv	1961	d2971a6058abdf9d1222037054edf32bee3eee7ad7b7951828a22ece2f614351
S15	udt_complete_metric_solution_space_map_2026-07-21/OFFSHELL_CONFIGURATION_BRANCHES.tsv	2025	a89e97b18662be8a4bd30e5ba9d89c904b44a8851f2fe3d411f9e2e2e327224a
S16	AGENTS.md	15222	d602c3acbbe137f09ad1a6a8fa536c96535699db98a95b3f275fb4280a715757
S17	LIVE.md	102245	6686a790ec32ca9fe42de5927858c44a1801c38cc5ad955cdabd98321dc1324e
S18	HANDOFF.md	54086	7edd92d43e14f9dfeddcf6885f42644bdaddfd9cf3cf5b81091fa76989551a57
S19	INDEX.md	29666	e4563cced47a11527de63b9d0a3a82b0b658be27d5c61927601818fdec495798
S20	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	64408	fb2f2e17f6d4ec7d3b263afdcbbd810ac0d4b6f5cbe56b75cb2d3da2397c6a1c
