candidate_id	path	selection_sources	base_blob
C0001	AGENTS.md	CURRENT_CONTROL;PRIOR_399_ACTIVE_CENSUS	973cfe03644203a6eb37eec162c3a4b76755a772
C0002	CANON.md	PRIOR_399_ACTIVE_CENSUS	a67e518b623c8715679b26d5736c7409e3ffcae3
C0003	CLAUDE.md	PRIOR_399_ACTIVE_CENSUS	d4b22bd7c8a69706e3ef1ba6fec3c27bf1d74956
C0004	HANDOFF.md	CURRENT_CONTROL;PRIOR_399_ACTIVE_CENSUS	073b8a5b7ff78135baef0499834521854588a06e
C0005	INDEX.md	CURRENT_CONTROL;PRIOR_399_ACTIVE_CENSUS	b762ab7da792943d1a842b0cacb5c67cdeba7182
C0006	LIVE.md	CURRENT_CONTROL;PRIOR_399_ACTIVE_CENSUS	7ea1595a50c153164aa10fcc4871127eda5ae5ba
C0007	MEMORY.md	CURRENT_CONTROL;PRIOR_399_ACTIVE_CENSUS	2dd5709c124f01470b2de89275fb96376a853ac1
C0008	NEGATIVES_REGISTRY.md	PRIOR_399_ACTIVE_CENSUS	71c7cae1f659c40636537db211311f8bdb972025
C0009	README.md	CURRENT_CONTROL;PRIOR_399_ACTIVE_CENSUS	657ec2dc148293f59d4a43207845b66bc7283026
C0010	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	PRIOR_399_ACTIVE_CENSUS	7c59d775e473df5ea0b59ec0c20312ac7fccfbee
C0011	UDT_NATIVE_ACTION_COLD_PACKET.md	PRIOR_399_ACTIVE_CENSUS	dbe0292e446291cdc620abfb261447cb9f7d969f
C0012	UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	PRIOR_399_ACTIVE_CENSUS	beaf9c20e607b9160ee466a31c43a329a2b13db5
C0013	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	PRIOR_399_ACTIVE_CENSUS	a8d29384a514f9d3be588dad1818c4c614dc6d70
C0014	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	PRIOR_399_ACTIVE_CENSUS	1e06e446121e902280eda16e269e4742814d48ba
C0015	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	CURRENT_CONTROL;PRIOR_399_ACTIVE_CENSUS	aa385f53b5e24af4495707ff85efa7b72160a96f
C0016	angular_derivative_weight_selector_2026-07-20/AUDIT_REPORT.md	PRIOR_399_ACTIVE_CENSUS	ddd5b965f7c637bf558005bf07f97cb5afeb93c4
C0017	angular_derivative_weight_selector_2026-07-20/STATUS_LEDGER.tsv	PRIOR_399_ACTIVE_CENSUS	f99f808a46a78280cfb12031de3d58693afd551f
C0018	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	PRIOR_399_ACTIVE_CENSUS	4104ed440be3efa52456bad89baef710e99ffa67
C0019	angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	PRIOR_399_ACTIVE_CENSUS	80b0ce7857cd2936b7f32f55aeee9dac5a0a5e83
C0020	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	PRIOR_399_ACTIVE_CENSUS	c9d732f0a1104a04bbcf945abf76ae86d12b1b89
C0021	asymptotic_boundary_lineage_audit_2026-07-19/STATUS_LEDGER.tsv	PRIOR_399_ACTIVE_CENSUS	fd2c981e9c7280fbfea5e751a2c11dcea5f54aef
C0022	bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md	PRIOR_399_ACTIVE_CENSUS	1b97a1a941f6ba4b4ee154e5b4377a649a08ba47
C0023	bootstrap_csn_phi_angular_selector_2026-07-19/STATUS_LEDGER.tsv	PRIOR_399_ACTIVE_CENSUS	d169c0ab5ed6d85d0e1bf7732dd2f11d6e65dbef
C0024	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	PRIOR_399_ACTIVE_CENSUS	6d4fd032d53821ec6c3fdec8a36a9e9ba80a8a5d
C0025	boundary_bootstrap_representative_selector_audit_2026-07-19/STATUS_LEDGER.tsv	PRIOR_399_ACTIVE_CENSUS	42f3d307b73d797b3f4d85dfe357acfc1c49a4b5
