# STAMP: P4 Route A Stage 1 TA1 census. Contract = PREREGISTRATION.md (frozen first). NOTHING here is chosen: every fork is typed BOTH ways (F-A2); no candidate response, action, or modulus value is selected (F-A1).
# STAMP: footing = Route B bank (7-param E02 X=[[H,0],[C,K]], H=diag(-1,1); two-scalar seat lam=(a+d)/2, k_mod=(d-a)/2; EXACT Klein-four residual chart quotient K4; L1/L2 MODULUS-CARRIED). The MAP's "E07 k = lambda" seat equation is REFUTED (Route B T4) and is NOT used.
# STAMP: base-data field names (c_E, alpha, f, b/q_B) follow the registered stationary family census (Route C TC1, quoting the 07-28 plane-audit registration); on non-stationary arenas the general census replaces them by full coframe data (row 14).
object	classification	tag	source_citation	consequences_of_each_fork_option
phi_depth_field (equivalently u=e^{-2phi}; the founded additive-log depth)	VARIED-FIELD	DERIVED	G01/G02 (CURRENT_SCIENTIFIC_PREMISES.tsv); udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md; joint EXACT_DERIVATION.md sec.1	primary varied direction; tangent slot = delta_phi; the u-presentation is a Category-A chart equivalence (registered u=e^{-2phi}), not a second field; response MUST carry an R_phi component (requirement 2)
phi_anchor_zero_point (E(0)=I anchoring; constant shift phi->phi+s)	SUPPLIED-STRUCTURE (convention; shift absorbable)	THEORY	joint EXACT_DERIVATION.md sec.3; checks D3_shift_is_left_group_translation, D3_anchor_absorption	shift acts by left group translation absorbed into c_E: the response is forced shift-EQUIVARIANT (F-RA4); no absolute zero-point may enter any component (doing so = smuggled anchor, F-A2 flag)
c_E_anchor (observed clock calibration in Q=c_E e^{-phi})	SUPPLIED-STRUCTURE (observed calibration; conditionality: enters readout pairing only) + OPEN-FORK(constant-as-registered vs promoted-to-field)	OBSERVED (G06); fork OPEN	G06 registry row; Route C TC1 census (CHOSE-constant); joint sec.3	FORK (i) constant (registered): no response component; appears only through the anchor-absorption equivariance | FORK (ii) promoted to field: adds an unregistered DOF + a response component slot; NOT registered anywhere banked -- typed only, flagged, not chosen
alpha_twist (twist datum of the registered family; L8 seat)	OPEN-FORK(active-varied-DOF vs frozen-supplied-constant)	OPEN (L8)	MAP sec.3 L8; Route C TC1 (alpha CHOSE-constant); twist-adjacent observations cited as OBSERVATIONS ONLY: (obs-1) selector theorem 2026-07-28: certificate selects span(K,V) uniquely at alpha!=0, at alpha=0 iff bu+f^2 nonconstant (grok bank 46c35f4 arc); (obs-2) joint EXACT_DERIVATION.md sec.5: the twist-off member retains stationary norm depth while losing the twist-selected ruler line	FORK (i) active: response gains an R_alpha component; the plane-decisiveness observations become response-relevant structure | FORK (ii) frozen constant: alpha is supplied structure, its selection deferred to global completion; response has no alpha-slot and J06/J13 discrimination must come from other slots. BOTH typed; NEITHER chosen; the two observations impose nothing (observation, not mechanism)
f_connection_moment (A=dz+f dy; f=A(Y) on the stationary stratum)	VARIED-FIELD (conditional on the stationary-arena presentation)	THEORY	Route C TC1 census (free field f(x)); 07-28 plane-audit registration	varied base datum on stationary strata: response carries R_f; stamp: this row is the stationary-family presentation of coframe data, not an extra universal field (see row 14)
b_qB_transverse_block (bh; q_B = e^{2 lam phi}(dx^2 + bh dy^2) in the toric chart; b = W bh)	VARIED-FIELD (bh), with the e^{2 lam phi} seat factor carried by the lambda modulus row (no double count)	THEORY	Route C TC1 census (bh free field; lambda SYMBOLIC never frozen)	response carries R_bh; the seat factor is NOT part of bh -- writing the seat factor into bh would silently freeze lambda (F-A2 tripwire)
lambda_modulus (isotropic seat scalar, (a+d)/2)	CARRIED-MODULUS (quotient: K4-INVARIANT; all pins conditional: det-one=>lam=0 axis, SO(3)=>(+1,0), SO+(1,2)=>(-1,0), swap-F=>(0,0), 4D-volume-blind<=>lam=0, triad-blind<=>lam=-1/2 -- every one conditional on its cited supplied structure) + OPEN-FORK(constant vs promoted-to-field)	DERIVED-as-modulus (Route B T4/T6: L2 MODULUS-CARRIED, two-scalar)	Route B EXACT_DERIVATION.md T4/T6; STRATUM_SURVIVAL_LEDGER.tsv	FORK (i) constant: one global response component R_lambda per cell (a scalar relation) | FORK (ii) field lambda(x): R_lambda becomes a density and the pointwise E02 class is EXTENDED (X no longer a constant generator -- a class extension beyond the banked footing, typed only). Value NEVER chosen (07-26 rank zero; choosing = L2 imposition)
k_mod_modulus (reciprocal-anisotropy seat scalar, (d-a)/2)	CARRIED-MODULUS (quotient: K4-INVARIANT) + OPEN-FORK(constant vs promoted-to-field)	DERIVED-as-modulus (Route B T4: the seat is the PAIR (lambda,k_mod); MAP "k=lambda" REFUTED)	Route B EXACT_DERIVATION.md T4; checks B1_*, B2_*	same const-vs-field fork as lambda; k_mod is the trace-free screen direction: trace/volume channels are provably blind to it (F-RA2) -- the J06 discriminator direction (J13: E07 content lives here)
k10_modulus (screen shear/lower-triangular generator entry)	CARRIED-MODULUS (quotient: k10 mod SIGN under K4) + OPEN-FORK(constant vs promoted-to-field)	DERIVED-as-modulus (Route B T1)	Route B EXACT_DERIVATION.md T1 (A1-amended); checks A3_*, A4_*	chart-honest response components obey character-matched RELATIVE invariance (A1-amended F-RA1): R_k10 carries the K4 character chi_a of dk10 (legitimate forms: k10*invariant, c_b*c_c*invariant -- counterexample on record: omega = k10*dk10 = (1/2)d(k10^2) is K4-invariant and exact with a bare-k10-linear component, checks A6_*); components along K4-invariant directions factor verbatim through the exact invariants (k10^2; mixed cubics with C; a verifier-proven generating set) -- character-MISMATCHED dependence is not well defined on the quotient; same const-vs-field fork
C_mixing_moduli (c00,c01,c10,c11; base-angular mixing block)	CARRIED-MODULUS (quotient: C mod the K4 signed-flip action; E08 content s mod sign) + OPEN-FORK(constants vs promoted-to-fields)	DERIVED-as-modulus (Route B T1/T3)	Route B EXACT_DERIVATION.md T1/T3; STRATUM_SURVIVAL_LEDGER.tsv rows E08	response components obey character-matched RELATIVE invariance (A1-amended F-RA1): R_C components carry the chi_b/chi_c character of their paired dc-direction (checks A6_*); components along K4-invariant directions factor verbatim through the C invariants (character-class quadratics + mixed cubics, check A4_*; verifier-proven generating set); the E08 cocycle law is the J07/J11 transition-data TYPE (stated, not filled); same const-vs-field fork
