claim_id	load_bearing_inputs	choices_retained	classification	promotion_forbidden
O01	founded reciprocal pair;compact spatial Hodge theorem;unique H1	four monodromies;all smooth descending phi;all full screens	LINE_OWNERSHIP_DERIVED_CONDITIONAL_BOUNDED	universal complete UDT metric ownership
O02	chosen lower-triangular field generalization containing E02;global descent supplied	u_A;b_A arbitrary descending	MIXING_INDEPENDENCE_DERIVED_CONDITIONAL_BOUNDED	field promotion or global mixing cocycle derived
O03	unit base period convention	period normalization only	RESCALED_FORM_DERIVED_CONVENTION_INDEPENDENT_LINE	physical length or absolute scale derived
O04	spatial Hodge co-closure	arbitrary phi and mixing	THETA1_HARMONIC_IFF_AREA_CONSTANT	line ownership equals raw-form harmonicity
O05	registered h0+chi*Delta interpolation	all constant/varying controls retained	NONCONSTANT_PARENT_AREA_VARIATION_DERIVED	all possible screen paths vary area
O06	arbitrary positive coframe functions	all nondegenerate backgrounds retained	NO_KINEMATIC_OWNERSHIP_WINDOW_IN_BOUNDED_FAMILY	no matter-supporting window anywhere
O07	global integral I	no equation requiring I or alpha	NONIDENTITY_GLOBAL_TO_LOCAL_READOUT	bootstrap closure
O08	current premise registry	no rho_tot relation loaded	DENSITY_CURVATURE_BRIDGE_OPEN	density window or source equation
O09	stationary torus-invariant lower-triangular family	upper-right;y-dependent;time-live excluded	BOUNDED_TILE_NOT_FULL_SPACE	whole metric theorem
O10	no carrier/action/source input	all physical labels excluded	NO_MATTER_OR_MASS_CLAIM	matter emergence
