path	role	freeze_status
CURRENT_SCIENTIFIC_PREMISES.md	current_claim_and_premise_authority	FREEZE_AT_PREREG_BASE
CURRENT_SCIENTIFIC_PREMISES.tsv	machine_premise_authority	FREEZE_AT_PREREG_BASE
udt_fc07_cartan_response_return_audit_2026-08-01/PREREGISTRATION.md	parent_scope	FREEZE_AT_PREREG_BASE
udt_fc07_cartan_response_return_audit_2026-08-01/EXACT_DERIVATION.md	parent_hodge_and_response_theorems	FREEZE_AT_PREREG_BASE
udt_fc07_cartan_response_return_audit_2026-08-01/HODGE_RETURN_CHANNEL.tsv	four_unique_H1_rows	FREEZE_AT_PREREG_BASE
udt_fc07_cartan_response_return_audit_2026-08-01/INTRINSIC_SELECTION_ATLAS.tsv	parent_selection_scope	FREEZE_AT_PREREG_BASE
udt_torus_bundle_full_screen_witness_2026-08-01/PREREGISTRATION.md	complete_witness_scope	FREEZE_AT_PREREG_BASE
udt_torus_bundle_full_screen_witness_2026-08-01/EXACT_DERIVATION.md	complete_FC07_metric_family	FREEZE_AT_PREREG_BASE
udt_torus_bundle_full_screen_witness_2026-08-01/MONODROMY_CANDIDATES.tsv	eight_parent_controls	FREEZE_AT_PREREG_BASE
udt_torus_bundle_full_screen_witness_2026-08-01/COMPLETE_WITNESS_CENSUS.tsv	completion_and_orientation	FREEZE_AT_PREREG_BASE
udt_native_global_coframe_definition_audit_2026-07-28/AUDIT_REPORT.md	coframe_extension_scope	FREEZE_AT_PREREG_BASE
udt_native_global_coframe_definition_audit_2026-07-28/EXACT_DERIVATION.md	founded_pair_and_global_counterfamily	FREEZE_AT_PREREG_BASE
udt_p4_routeB_extension_selection_2026-07-28/EXACT_DERIVATION.md	registered_E02_mixing_class	FREEZE_AT_PREREG_BASE
udt_p4_routeB_extension_selection_2026-07-28/STRATUM_SURVIVAL_LEDGER.tsv	mixing_moduli_and_scope	FREEZE_AT_PREREG_BASE
udt_bootstrap_projector_admissibility_interface_2026-08-01/AUDIT_REPORT.md	bootstrap_type_gate	FREEZE_AT_PREREG_BASE
udt_bootstrap_projector_admissibility_interface_2026-08-01/EXACT_DERIVATION.md	same_solution_return_requirements	FREEZE_AT_PREREG_BASE
