id	attempted_claim	must_fail_when	certification_test
F01	universal_bounded_line_ownership	one_valid_member_has_alpha_wedge_theta1_nonzero	symbolic_wedge_plus_independent_numeric_rational_probes
F02	mixing_independence	u_or_b_survives_in_alpha_or_projector_alignment	exact_inverse_determinant_and_Hodge_reconstruction
F03	ruler_itself_harmonic	co-closure_condition_nonzero	derive_exact_necessary_and_sufficient_condition
F04	nontrivial_geometric_window	condition_is_only_positivity_compactness_or_nondegeneracy	separate_open_interior_restriction_from_domain_definition
F05	bootstrap_return	global_normalization_does_not_restrict_same_local_family	semantic_type_gate
F06	density_curvature_bridge	any_density_relation_is_used_without_native_source	provenance_scan_and_semantic_catch
F07	preferred_completion	one_monodromy_is ranked physically	all_four_row_census_and_semantic_catch
F08	matter_source_or_mass	kinematic ownership_is_promoted	semantic_catch
F09	full_UDT_metric_claim	torus_invariance_or_lower_triangular_footing_is_omitted_from_scope	premise_and_completeness_checks
F10	independent_verification	verifier_imports_production_functions	AST_import_guard
