catch_id	corruption_or_overclaim	required_rejection
F01	premise_stamp_deleted_or_promoted	FAIL_G01
F02	object_missing_or_duplicated	FAIL_G02
F03	founding_packet_item_silently_added_or_removed	FAIL_G03
F04	source_silence_used_as_non_entailment_proof	FAIL_G04
F05	local_character_promoted_to_spacetime_solder	FAIL_G05
F06	abstract_pair_operator_called_physical_path_rule	FAIL_G06
F07	stationary_scalar_join_called_full_frame_closure	FAIL_G07
F08	complete_metric_path_transport_called_foundational	FAIL_G08
F09	specified_path_transport_called_endpoint_independent	FAIL_G09
F10	path_independent_lift_called_global_parallel_without_conditions	FAIL_G10
F11	global_parallelism_inserted_into_Reciprocity	FAIL_G11
F12	reciprocal_inversion_called_ordinary_Lorentz_holonomy	FAIL_G12
F13	countermodel_omits_founding_reciprocal_character	FAIL_G13
F14	countermodel_omits_nonidentity_or_composition	FAIL_G14
F15	complete_witness_used_without_foundational_local_countermodel	FAIL_G15
F16	off_shell_countermodel_called_physical_universe	FAIL_G16
F17	path_groupoid_selected_as_physical_ontology	FAIL_G17
F18	downstream_action_or_source_opening_regraded_closed	FAIL_G18
F19	historical_source_rewritten_instead_of_overlay	FAIL_G19
F20	lambda_path_seam_or_quotient_selected	FAIL_G20
F21	action_source_or_carrier_inferred	FAIL_G21
F22	density_bootstrap_mass_or_Xmax_inferred	FAIL_G22
F23	dynamics_signalling_or_observation_fit_inferred	FAIL_G23
F24	copresence_or_operational_access_promoted	FAIL_G24
