catch_id	result	corruption_or_overclaim
F01	PASS	premise_stamp_deleted_or_promoted
F02	PASS	object_missing_or_duplicated
F03	PASS	founding_packet_item_silently_added_or_removed
F04	PASS	source_silence_used_as_non_entailment_proof
F05	PASS	local_character_promoted_to_spacetime_solder
F06	PASS	abstract_pair_operator_called_physical_path_rule
F07	PASS	stationary_scalar_join_called_full_frame_closure
F08	PASS	complete_metric_path_transport_called_foundational
F09	PASS	specified_path_transport_called_endpoint_independent
F10	PASS	path_independent_lift_called_global_parallel_without_conditions
F11	PASS	global_parallelism_inserted_into_Reciprocity
F12	PASS	reciprocal_inversion_called_ordinary_Lorentz_holonomy
F13	PASS	countermodel_omits_founding_reciprocal_character
F14	PASS	countermodel_omits_nonidentity_or_composition
F15	PASS	complete_witness_used_without_foundational_local_countermodel
F16	PASS	off_shell_countermodel_called_physical_universe
F17	PASS	path_groupoid_selected_as_physical_ontology
F18	PASS	downstream_action_or_source_opening_regraded_closed
F19	PASS	historical_source_rewritten_instead_of_overlay
F20	PASS	lambda_path_seam_or_quotient_selected
F21	PASS	action_source_or_carrier_inferred
F22	PASS	density_bootstrap_mass_or_Xmax_inferred
F23	PASS	dynamics_signalling_or_observation_fit_inferred
F24	PASS	copresence_or_operational_access_promoted
