proposition_id	source_path	line_start	line_end	source_sha256	proposition	marker
P01	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	46	50	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	founding pair is (c dt,dr)	Use the dimension-matched temporal/radial coframe pair
P02	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	62	89	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	dual inverse action forces uv=1	Preserving the reciprocal pairing gives
P03	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	91	115	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	continuous additive composition yields the exponential character	Positional composition fixes the exponential
P04	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	117	123	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	declared local readout yields the displayed metric	Using the local metric readout
P05	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	42	42	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	action, profile, and global scale are not derived	does not yet derive a unique action
P06	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	17	41	a7ae3805927d7d8efe1a2daabfd07c0612c0f52375b60e727a6d0d0fabe66c87	abstract pair operator precedes path transport	abstract ordered observer-pair operator
P07	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	45	59	a7ae3805927d7d8efe1a2daabfd07c0612c0f52375b60e727a6d0d0fabe66c87	founded matrix, coordinate transport, and physical-frame comparison differ	Three objects must not be conflated
P08	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	105	132	a7ae3805927d7d8efe1a2daabfd07c0612c0f52375b60e727a6d0d0fabe66c87	physical pair-depth, event pairing, coframe completion, and holonomy remain open	What remains open
P09	udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	84	105	de149d583e63dfd3977a477b4147e24c5bb388421a54cb8e66ff758436a35e5f	scalar depth can be endpoint single-valued while full transport is path-multiple	scalar distance is uniquely
P10	udt_three_reciprocity_delta_k_audit_2026-07-23/AUDIT_REPORT.md	42	50	a7e00f3cdc5b7ee3e26afdd0426ca27b5b663f0b5477977650f9a995f04fa214	frame covariance is conjugation and does not force a unique invariant value	Observer-frame reciprocity
P11	udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	9	34	b338fa5538e54951d3bcea8325b7c3a00940a45b2287805f766bf772ab2713ef	complete local solder needs extra observer/direction data and lambda remains	metric and scalar anchors alone cannot solder
P12	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	11	13	d97ea230affe133e40dcac6374f126b51f5741b5af79749de634a1a41d8aee88	typed path-frame bundle assembles without a global section	No global observer/ruler section is needed
P13	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	25	38	d97ea230affe133e40dcac6374f126b51f5741b5af79749de634a1a41d8aee88	parallel endpoint-only meaning is conditional, not selected	foundations permit typed path-labelled
P14	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/AUDIT_REPORT.md	12	30	7296d4fc3e9a44510f05c0a61a5dce498f894e0d9bf6b9bb6f8e947ef1983398	complete twisted witness has nonparallel X and nonclosing full loops but exact scalar clock join	The obstruction is exact and local
P15	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/AUDIT_REPORT.md	108	118	7296d4fc3e9a44510f05c0a61a5dce498f894e0d9bf6b9bb6f8e947ef1983398	ordinary closure, reciprocal seam, and quotient remain open	No registered current premise
P16	udt_reduced_holonomy_condition_audit_2026-07-27/AUDIT_REPORT.md	75	96	e6d9d41974c540e00ba8f1787576eccd4046b208ff15545cf0604bcfce6f7eab	global parallelism erases nonconstant depth/twist and has no registered premise	stronger than the founding scalar
P17	udt_founding_observer_comparison_semantics_audit_2026-07-27/AUDIT_REPORT.md	11	37	f5b048e1e3055e91933293037f9f3755068d4400ac01bd61ae19e008ebf9a730	founding operator is abstract relational; complete endpoint/path semantics are not selected	SEMANTICS_OPEN
P18	udt_founding_observer_comparison_semantics_audit_2026-07-27/AUDIT_REPORT.md	53	79	f5b048e1e3055e91933293037f9f3755068d4400ac01bd61ae19e008ebf9a730	both endpoint and path routes are conditional realizations	ADMISSIBLE_CONDITIONAL
P19	udt_founding_observer_comparison_semantics_audit_2026-07-27/AUDIT_REPORT.md	91	93	f5b048e1e3055e91933293037f9f3755068d4400ac01bd61ae19e008ebf9a730	action, carrier, source, boundary, density, mass, Xmax, and dynamics are unaffected	remain untouched
