claim_id	claim	status	scope	remaining_open
S01	local reciprocal character D(phi)	DERIVED	founding packet	physical complete-coframe realization
S02	abstract ordered pair comparison once depth is supplied	DERIVED	abstract relational depth space	metric-native physical depth assignment
S03	stationary scalar clock join	CONDITIONAL	registered stationary exact-section realization	universal observer/event interpretation
S04	complete local coframe solder	CONDITIONAL	given metric plus observer/ruler selector	unique metric-native selector
S05	specified-path full transport	CONDITIONAL	given coframe solder metric connection and path	physical path semantics
S06	path-independent full endpoint lift	OPEN	requires holonomy centralization or trivialization	whether UDT selects endpoint semantics
S07	global parallel reciprocal grading	NOT_DERIVED	founding packet countermodelled	could hold on a separately selected reduced-holonomy branch
S08	reciprocal inversion as algebraic normalizer	DERIVED	abstract pair algebra	physical seam or quotient
S09	founding Reciprocity requires global parallelism	REFUTED	frozen founding packet	no founding requirement
S10	founding Reciprocity requires covariant law equivalence	DERIVED	observer-frame law	complete physical comparison map
S11	path groupoid is physical UDT ontology	OPEN	conditional mathematical construction	physical selection
S12	endpoint-only semantics is physical UDT ontology	OPEN	conditional mathematical construction	physical selection
S13	action source carrier boundary density bootstrap mass Xmax dynamics	OPEN	unaffected	native closure
