premise_id	premise	status	use	not_supplied
P01	reciprocal_c_identity	PROPOSED_FOUNDATIONAL_OWNER	local_time_length_conversion	connection_or_action
P02	dual_observer_frame_Reciprocity	FOUNDATIONAL_INTERPRETATION	contragredient_positional_action	global_parallel_frame
P03	continuous_relative_composition	POSIT	additive_phi_and_exponential_character	spacetime_path_rule
P04	nonidentity	OBSERVED_OR_SEPARATE_POSIT	nontrivial_representation	on_shell_profile
P05	local_Lorentzian_readout_and_angular_continuation	DECLARED_READOUT	metric_realization	unique_complete_coframe
P06	copresence	WORKING_INTERPRETIVE_FRAME	carried_only	operational_access
P07	metric_causal_structure	DERIVED_CONDITIONAL	connection_typing_after_metric	signal_ontology
P08	instantaneous_operational_access	NOT_DERIVED	excluded	signalling_theorem
P09	complete_whole_solution_law	OPEN	excluded	on_shell_selection
P10	Levi_Civita_connection	pinned_by_supplied_metric_only	conditional_path_transport	founding_postulate
P11	global_parallelism	OPEN_QUESTION	tested_not_assumed	founding_requirement
P12	action_source_carrier_boundary_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL	excluded	complete_physics
