candidate_id	classification	exact_positive	failed_or_open	extra_inputs	selected_physics
M01	CONDITIONAL_ENDPOINT_SCALAR_MAP	potential difference is exact additive signed cocycle	global founded section physical identification and descent;scalar only	global exact phi section	NO
M02	DERIVED_BOUNDED_COMPLETE_STATIONARY_SCALAR_MAP	intrinsic Killing-line norm ratio supplies phi(q)-phi(p);constant normalization cancels	stationary intrinsic line is branch-specific;scalar only;arbitrary observers not covered	complete stationary branch with intrinsic timelike Killing line	NO
M03	METRIC_NATIVE_MAGNITUDE_NOT_SIGNED_COCYCLE	metric supplies a separation magnitude on a typed complete branch	reversal-even;generic nonadditivity;dimensionless profile and scale absent	causal_or_spatial_distance_type;F;scale	NO
M04	CONDITIONAL_OBSERVER_CHART_MAGNITUDE	centerless observer-indexed distance family exists given F	signed lift overlap law angular composition and scale	base observer;F;chart transitions;orientation	NO
M05	CONDITIONAL_ORIENTED_PATH_ACCUMULATION	signed line integral composes on retained oriented paths	not a universal geodesic-distance law;stationary reduction unproved	oriented path and signed line element or one-form	NO
M06	CONDITIONAL_EXACT_SECTION_PATH_COCYCLE	integral dphi equals endpoint phi difference with zero periods	global founded section and physical identification	global exact phi section	NO
M07	GENERIC_CONDITIONAL__BOUNDED_STATIONARY_ALPHA_K_DERIVED	any alpha gives path cocycle;alpha_K=-d log sqrt(-g(K,K)) is metric-native and exact in intrinsic stationary control	no universal nonstationary alpha;generic alpha unselected	global one-form;or intrinsic stationary Killing line for alpha_K	NO
M08	COVARIANT_FRAME_MOTION_READOUT_NOT_UNIVERSAL_POSITIONAL_DEPTH	signed rapidity is available with observer orientation and path	static spatial control gives zero orthonormal rapidity while founded delta phi is nonzero;generic boosts nonadditive as scalars	observer velocities;path;orientation	NO
M09	STATIC_COORDINATE_REALIZATION_NOT_COVARIANT_OBSERVABLE	coordinate covector transport equals D(delta phi) in static diagonal control	reference and chart dependent;physical orthonormal transport is identity	chart and selected reference coframe	NO
M10	DERIVED_TYPED_CONSTRUCTOR_GIVEN_DEPTH_PAIR_AND_PATH	joint path-groupoid arrow composes and reverses exactly for every supplied additive depth	does not derive depth or select path semantics;full embedding may retain lambda or pair reset	depth cocycle;ordered pair frames;path;connection	NO
M11	CONDITIONAL_ENDPOINT_OPERATOR_GIVEN_COMMON_SECTION	S(phi_p)^-1 S(phi_q) composes exactly	global section event identification and full angular trivialization	common global reciprocal section	NO
M12	FULL_TRANSPORT_CLASS_DATA_NOT_SIGNED_ADDITIVE_DEPTH	conjugacy invariants are frame invariant	D(delta) and D(-delta) are conjugate after pair swap;trace is even;generic class projections do not add	path transport and chosen class function	NO
