premise_id	premise	status	use	not_supplied
P01	founded_reciprocal_character_D	pinned-by-THEORY:founding_object_audit_O01	readout	the_physical_depth_map
P02	abstract_ordered_comparison	pinned-by-THEORY:founding_object_audit_O02	composition_target	complete_event_or_path_semantics
P03	complete_metric	free-and-explored:registered_controls_only	connection_distance_and_coframe	on_shell_selection
P04	ordered_observer_vectors	free-and-explored:input_family	frame_comparison	preferred_observer
P05	paired_events	free-and-explored:input_family	comparison_domain	operational_pairing_rule
P06	connecting_path	free-and-explored:optional_family	path_routes	physical_path_selection
P07	Levi_Civita_connection	pinned-by-THEORY:given_complete_metric	transport	field_equation
P08	local_phi_realization	pinned-by-THEORY:local_reciprocal_coframe	stationary_control	one_global_absolute_scalar
P09	global_exact_phi_section	free-and-explored:candidate_input	endpoint_route	universal_existence
P10	observer_ruler_orientation	free-and-explored:candidate_input	signed_rapidity_or_depth	metric_native_selection
P11	normalized_Killing_field	free-and-explored:stationary_candidate	lapse_ratio	universal_stationarity
P12	one_form_alpha	free-and-explored:candidate_input	path_cocycle	metric_native_selection
P13	dimensionless_depth_scale	free-and-explored:candidate_input	distance_to_depth_conversion	new_observational_anchor
P14	copresence	WORKING_INTERPRETIVE_FRAME	carried_only	operational_access
P15	instantaneous_operational_access	NOT_DERIVED	excluded	signalling_law
P16	action_source_carrier_boundary_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL	excluded	complete_physics
