catch_id	corruption_or_overclaim	required_rejection
F01	premise_stamp_deleted_or_promoted	FAIL_G01
F02	candidate_missing_or_duplicated	FAIL_G02
F03	axiom_missing_or_duplicated	FAIL_G03
F04	candidate_dropped_after_early_failure	FAIL_G04
F05	symmetric_distance_called_signed_reversal_odd	FAIL_G05
F06	distance_made_dimensionless_without_scale_disclosure	FAIL_G06
F07	endpoint_additive_map_not_tested_as_potential_difference	FAIL_G07
F08	path_cocycle_called_endpoint_only_without_period_test	FAIL_G08
F09	closed_one_form_called_globally_exact_without_topology	FAIL_G09
F10	orthonormal_transport_conflated_with_coordinate_transport	FAIL_G10
F11	frame_rapidity_called_positional_depth_without_stationary_control	FAIL_G11
F12	coordinate_factor_called_covariant_observable	FAIL_G12
F13	scalar_cut_locus_uniqueness_called_full_frame_uniqueness	FAIL_G13
F14	joint_groupoid_arrow_called_physical_ontology	FAIL_G14
F15	common_section_assumed_without_disclosure	FAIL_G15
F16	observer_orientation_or_ruler_silently_selected	FAIL_G16
F17	Killing_field_or_normalization_silently_universalized	FAIL_G17
F18	local_phi_called_one_global_pair_depth_scalar	FAIL_G18
F19	lambda_path_seam_or_quotient_selected	FAIL_G19
F20	action_source_or_carrier_inferred	FAIL_G20
F21	boundary_density_bootstrap_mass_or_Xmax_inferred	FAIL_G21
F22	dynamics_signalling_or_observation_fit_inferred	FAIL_G22
F23	comparison_interpreted_as_change_to_local_physics	FAIL_G23
F24	complete_solution_space_claimed_from_semantics_tile	FAIL_G24
F25	stationary_control_omitted	FAIL_G25
F26	cut_locus_control_omitted	FAIL_G26
F27	source_silence_used_as_independence_proof	FAIL_G27
F28	conditional_existence_promoted_to_physical_selection	FAIL_G28
