candidate_id	family	formal_candidate	input_type	known_risk
M01	local_scalar_difference	delta=phi(q)-phi(p)	global_or_local_exact_scalar_section	global_scalar_and_physical_identification
M02	stationary_Killing_lapse	delta=-log(N_q/N_p)	normalized_timelike_Killing_field	stationarity_and_normalization
M03	unsigned_metric_distance	delta=F(d_g(p,q))	metric_and_event_pair	reversal_even_and_scale
M04	observer_indexed_distance_chart	delta_p(q)=F(d_g(p,q))	metric_base_observer_and_chart	transition_and_reversal_rule
M05	oriented_geodesic_length	delta_gamma=integral_gamma s_ds	oriented_geodesic_and_sign_field	path_choice_and_noncollinear_composition
M06	exact_phi_path_integral	delta_gamma=integral_gamma dphi	global_exact_phi_section	inherits_scalar_section_obstruction
M07	generic_path_one_form	delta_gamma=integral_gamma alpha	metric_native_one_form_and_path	alpha_not_currently_selected
M08	orthonormal_frame_rapidity	delta_gamma=signed_rapidity(u_q,U_gamma_u_p)	observers_path_connection_and_orientation	may_measure_frame_motion_not_positional_depth
M09	coordinate_transport_factor	delta_gamma=log_coordinate_covector_factor	chart_connection_and_path	coordinate_gauge_dependence
M10	joint_path_groupoid_arrow	C_gamma=(delta_gamma,U_gamma)	local_pair_path_connection_and_depth_cocycle	mathematical_arrow_not_physical_selection
M11	common_section_endpoint_operator	C_pq=S(phi_p)^-1*S(phi_q)	global_common_reciprocal_section	section_and_holonomy
M12	full_transport_conjugacy_invariant	delta_gamma=class_function(U_gamma_or_C_gamma)	path_transport_and_class_function	sign_loss_and_stationary_reduction
