catch_id	result	corruption_or_overclaim
F01	PASS	premise_stamp_deleted_or_promoted
F02	PASS	candidate_missing_or_duplicated
F03	PASS	axiom_missing_or_duplicated
F04	PASS	candidate_dropped_after_early_failure
F05	PASS	symmetric_distance_called_signed_reversal_odd
F06	PASS	distance_made_dimensionless_without_scale_disclosure
F07	PASS	endpoint_additive_map_not_tested_as_potential_difference
F08	PASS	path_cocycle_called_endpoint_only_without_period_test
F09	PASS	closed_one_form_called_globally_exact_without_topology
F10	PASS	orthonormal_transport_conflated_with_coordinate_transport
F11	PASS	frame_rapidity_called_positional_depth_without_stationary_control
F12	PASS	coordinate_factor_called_covariant_observable
F13	PASS	scalar_cut_locus_uniqueness_called_full_frame_uniqueness
F14	PASS	joint_groupoid_arrow_called_physical_ontology
F15	PASS	common_section_assumed_without_disclosure
F16	PASS	observer_orientation_or_ruler_silently_selected
F17	PASS	Killing_field_or_normalization_silently_universalized
F18	PASS	local_phi_called_one_global_pair_depth_scalar
F19	PASS	lambda_path_seam_or_quotient_selected
F20	PASS	action_source_or_carrier_inferred
F21	PASS	boundary_density_bootstrap_mass_or_Xmax_inferred
F22	PASS	dynamics_signalling_or_observation_fit_inferred
F23	PASS	comparison_interpreted_as_change_to_local_physics
F24	PASS	complete_solution_space_claimed_from_semantics_tile
F25	PASS	stationary_control_omitted
F26	PASS	cut_locus_control_omitted
F27	PASS	source_silence_used_as_independence_proof
F28	PASS	conditional_existence_promoted_to_physical_selection
