source_id	path	line_start	line_end	sha256	claim	marker
S01	udt_founding_reciprocity_object_audit_2026-07-27/AUDIT_REPORT.md	11	20	718878082fd4dc545df29ac626389f957514a6463cbc61ad9a5eff58dd786bb4	founding covariance does not require global rigidity	covariant local relational comparison law
S02	udt_founding_reciprocity_object_audit_2026-07-27/AUDIT_REPORT.md	38	62	718878082fd4dc545df29ac626389f957514a6463cbc61ad9a5eff58dd786bb4	complete physical semantics remain open	complete endpoint-only versus path-labelled
S03	udt_metric_native_signed_depth_availability_audit_2026-07-26/EXACT_DERIVATION.md	30	47	ee62cc854262baddbd1f9187752233caa3a854d5df10f51acd7e04bb1e4a2fae	endpoint-additive real cocycles are potential differences	Endpoint theorem
S04	udt_metric_native_signed_depth_availability_audit_2026-07-26/EXACT_DERIVATION.md	50	79	ee62cc854262baddbd1f9187752233caa3a854d5df10f51acd7e04bb1e4a2fae	Levi-Civita connection has zero reciprocal self-adjoint projection	trace pairing
S05	udt_metric_native_signed_depth_availability_audit_2026-07-26/EXACT_DERIVATION.md	81	108	ee62cc854262baddbd1f9187752233caa3a854d5df10f51acd7e04bb1e4a2fae	raw coframe depth depends on selected reference transition	reference change
S06	udt_metric_native_signed_depth_availability_audit_2026-07-26/EXACT_DERIVATION.md	110	147	ee62cc854262baddbd1f9187752233caa3a854d5df10f51acd7e04bb1e4a2fae	reciprocal subgroup logarithm is additive but generic noncommuting projection is not	Relative coframe logarithm
S07	udt_metric_native_signed_depth_availability_audit_2026-07-26/EXACT_DERIVATION.md	149	187	ee62cc854262baddbd1f9187752233caa3a854d5df10f51acd7e04bb1e4a2fae	symmetric distance is not signed depth; one-form paths need period control	Bilocal magnitude
S08	udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/EXACT_DERIVATION.md	3	21	7e9573e5428bb2d35145adee2ee2113a67409419f0099bed8c368d8a79490dd6	ordered observer/ruler pair defines the local reciprocal endomorphism	correct local object
S09	udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/EXACT_DERIVATION.md	23	64	7e9573e5428bb2d35145adee2ee2113a67409419f0099bed8c368d8a79490dd6	transport and vertical pair changes compose on typed arrows	Path transport
S10	udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/EXACT_DERIVATION.md	66	91	7e9573e5428bb2d35145adee2ee2113a67409419f0099bed8c368d8a79490dd6	full path comparison composes given an additive depth cocycle	Adding reciprocal depth
S11	udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/EXACT_DERIVATION.md	93	138	7e9573e5428bb2d35145adee2ee2113a67409419f0099bed8c368d8a79490dd6	endpoint and path cocycle normal forms and faithful loop periods	Path depth and periods
S12	udt_observer_pair_clock_operator_audit_2026-07-24/EXACT_DERIVATION.md	164	205	7e03ef2631908a1e26c636bb9beb7410bdc534c9fde1e15d37eb9de5efadf29d	coordinate reciprocal scaling and physical-frame transport are different types	physical orthonormal coframe
S13	udt_observer_pair_clock_operator_audit_2026-07-24/EXACT_DERIVATION.md	208	226	7e03ef2631908a1e26c636bb9beb7410bdc534c9fde1e15d37eb9de5efadf29d	stationary lapse gives the conditional endpoint clock ratio	stationary lapse ratio
S14	udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	44	53	de149d583e63dfd3977a477b4147e24c5bb388421a54cb8e66ff758436a35e5f	noncollinear composition requires angular data	angular sector is unavoidable
S15	udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	82	115	de149d583e63dfd3977a477b4147e24c5bb388421a54cb8e66ff758436a35e5f	scalar cut-locus depth and full frame transport have different multiplicity	Cut-locus result
S16	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/EXACT_DERIVATION.md	53	86	36e22610ec03dc4421e005f0a327be288cde000fb5fa63f4d8ea9cec3711875d	intrinsic Killing line supplies normalized metric-native endpoint depth	Stationary clock depth
S17	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/EXACT_DERIVATION.md	88	126	36e22610ec03dc4421e005f0a327be288cde000fb5fa63f4d8ea9cec3711875d	twist conditionally supplies an intrinsic unoriented ruler	angular twist produces the ruler line
S18	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/EXACT_DERIVATION.md	128	201	36e22610ec03dc4421e005f0a327be288cde000fb5fa63f4d8ea9cec3711875d	one complete control has unique intrinsic Killing line but no founded ruler	complete metric-native time-line control
S19	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/AUDIT_REPORT.md	22	30	7296d4fc3e9a44510f05c0a61a5dce498f894e0d9bf6b9bb6f8e947ef1983398	actual full transport is path dependent while scalar clock ratio is endpoint exact	36 fail ordinary
S20	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	30	40	61c0f3301d3b9f1105611efc23d81a8c58cb96f855745757dafaba29c8aba0cd	clock and transverse cocycles currently assemble reducibly; local solder remains obstructed	reducible direct sum
