candidate_id	axiom_id	result
M01	A01	PASS
M01	A02	PASS
M01	A03	PASS
M01	A04	PASS
M01	A05	PASS
M01	A06	PASS
M01	A07	CONDITIONAL_INPUT
M01	A08	PASS
M01	A09	FAIL
M01	A10	PASS
M01	A11	PASS
M01	A12	CONDITIONAL_INPUT
M02	A01	PASS
M02	A02	PASS
M02	A03	PASS
M02	A04	PASS
M02	A05	PASS
M02	A06	PASS
M02	A07	PASS
M02	A08	PASS
M02	A09	FAIL
M02	A10	PASS
M02	A11	PASS
M02	A12	CONDITIONAL_INPUT
M03	A01	FAIL
M03	A02	CONDITIONAL_INPUT
M03	A03	FAIL
M03	A04	FAIL
M03	A05	PASS
M03	A06	FAIL
M03	A07	PASS
M03	A08	CONDITIONAL_INPUT
M03	A09	FAIL
M03	A10	PASS
M03	A11	PASS
M03	A12	CONDITIONAL_INPUT
M04	A01	FAIL
M04	A02	CONDITIONAL_INPUT
M04	A03	FAIL
M04	A04	FAIL
M04	A05	PASS
M04	A06	FAIL
M04	A07	PASS
M04	A08	CONDITIONAL_INPUT
M04	A09	FAIL
M04	A10	PASS
M04	A11	PASS
M04	A12	FAIL
M05	A01	CONDITIONAL_INPUT
M05	A02	PASS
M05	A03	PASS
M05	A04	CONDITIONAL_INPUT
M05	A05	CONDITIONAL_INPUT
M05	A06	FAIL
M05	A07	PASS
M05	A08	CONDITIONAL_INPUT
M05	A09	FAIL
M05	A10	PASS
M05	A11	PASS
M05	A12	CONDITIONAL_INPUT
M06	A01	PASS
M06	A02	PASS
M06	A03	PASS
M06	A04	PASS
M06	A05	PASS
M06	A06	PASS
M06	A07	PASS
M06	A08	PASS
M06	A09	FAIL
M06	A10	PASS
M06	A11	PASS
M06	A12	PASS
M07	A01	CONDITIONAL_INPUT
M07	A02	PASS
M07	A03	PASS
M07	A04	PASS
M07	A05	PASS
M07	A06	CONDITIONAL_INPUT
M07	A07	PASS
M07	A08	CONDITIONAL_INPUT
M07	A09	FAIL
M07	A10	PASS
M07	A11	PASS
M07	A12	CONDITIONAL_INPUT
M08	A01	CONDITIONAL_INPUT
M08	A02	PASS
M08	A03	CONDITIONAL_INPUT
M08	A04	FAIL
M08	A05	PASS
M08	A06	FAIL
M08	A07	PASS
M08	A08	PASS
M08	A09	FAIL
M08	A10	PASS
M08	A11	CONDITIONAL_INPUT
M08	A12	CONDITIONAL_INPUT
M09	A01	CONDITIONAL_INPUT
M09	A02	PASS
M09	A03	CONDITIONAL_INPUT
M09	A04	CONDITIONAL_INPUT
M09	A05	FAIL
M09	A06	PASS
M09	A07	PASS
M09	A08	PASS
M09	A09	FAIL
M09	A10	PASS
M09	A11	CONDITIONAL_INPUT
M09	A12	FAIL
M10	A01	CONDITIONAL_INPUT
M10	A02	PASS
M10	A03	PASS
M10	A04	PASS
M10	A05	PASS
M10	A06	CONDITIONAL_INPUT
M10	A07	PASS
M10	A08	PASS
M10	A09	PASS
M10	A10	PASS
M10	A11	PASS
M10	A12	PASS
M11	A01	PASS
M11	A02	PASS
M11	A03	PASS
M11	A04	PASS
M11	A05	CONDITIONAL_INPUT
M11	A06	PASS
M11	A07	CONDITIONAL_INPUT
M11	A08	PASS
M11	A09	FAIL
M11	A10	PASS
M11	A11	PASS
M11	A12	PASS
M12	A01	FAIL
M12	A02	CONDITIONAL_INPUT
M12	A03	FAIL
M12	A04	FAIL
M12	A05	FAIL
M12	A06	FAIL
M12	A07	PASS
M12	A08	CONDITIONAL_INPUT
M12	A09	FAIL
M12	A10	PASS
M12	A11	CONDITIONAL_INPUT
M12	A12	FAIL
