object	status	result_or_boundary
founded_relation_layers	NEGATIVE_BOUNDED	no_constant_sector_selection
working_G17	WORKING_POSITIVE_CONDITIONAL_DISCRIMINATOR	selects_R0_positive_only_in_primary_static_smooth_center_tracefree_family
positive_R0_center_regular_sector	DERIVED_CONDITIONAL	finite_simple_regular_outer_horizon_finite_proper_infinite_optical
zero_R0_center_regular_sector	DERIVED_CONDITIONAL	no_finite_outer_horizon_infinite_proper_and_optical_reach
negative_R0_center_regular_sector	DERIVED_CONDITIONAL	no_finite_outer_horizon_infinite_proper_and_finite_optical_reach_to_infinity
constant_magnitude	OPEN_ONE_POSITIVE_CONSTANT	G17_does_not_fix_R0_or_radius
dimensionless_endpoint	DERIVED_CONDITIONAL	phi_to_positive_infinity_and_chi_to_one_at_positive_static_horizon
dimensionful_Xmax	OPEN_NOT_IDENTIFIED	algebraic_X_equals_sqrt_12_over_R0_not_yet_physical_all_frame_Xmax
full_WRL_profile	EXACTLY_INCOMPATIBLE_WITH_TRACEFREE_ODE	residual_2r_over_X
old_negative_scope	CONDITIONS_CHANGED_SOURCE_EQUATION_SCOPED	neither_erased_nor_automatically_imported
complete_UDT_history	OPEN_NOT_TESTED	no_selection_claim
field_equation	OPEN_NOT_ADOPTED	neither_G301_class_nor_G17_promoted
metric_and_kernel	UNCHANGED	no_scaffolding_or_fit_added
external_review	EXTERNALLY_VERIFIED_AFTER_PREREGISTERED_REPLAY_PACKAGING_REPAIRS	fresh_gpt54_retained_science_and_repair_followup_returned_REPAIRS_VERIFIED
