item	status	use_in_G304	forbidden_promotion
G301_classes	FREE_AND_EXPLORED_CONDITIONAL_CLASSES	zero_and_tracefree_candidate_residuals	adopted_UDT_field_equation
G302_family	DERIVED_CONDITIONAL_FROM_TRACEFREE_CLASS	static_areal_spherical_exact_solution_family	complete_UDT_history
G303	DERIVED_CONDITIONAL_LOCAL_CLASSIFICATION	constant_sector_and_local_nonselection	global_completion
F1_F4_W1	FOUNDED_OR_WORKING_AS_REGISTERED	reciprocal_metric_and_complete_pair_evaluator	history_or_constant_selector
W5	WORKING_FOUNDATIONAL_CLARIFICATION	projective_pair_position_type	proper_distance_scale_or_history
W6	WORKING_FOUNDATIONAL_CLARIFICATION	nonsignalling_relational_membership_type	global_present_population_or_history
relation_network_closure	DERIVED_RECONSTRUCTIVE	constant-blind_composition_and_compatibility_test	value_evolution_or_selection
G17_finite_cell	ACTIVE_WORKING_PROGRAM_CONDITION	finite_outer_causal_ceiling_test	derived_local_field_equation_or_canonized_owner_bedrock
G14_Xmax	WORKING_GLOBAL_COMPLETION_TARGET	dimensionless_endpoint_scope_guard	numerical_scale_or_kernel_input
smooth_areal_center	DERIVED_REGULARITY_ON_TESTED_STRATUM	forces_b_equals_zero	universal_topology_or_observer_center
b	FREE_AND_EXPLORED	all_static_chart_domains_then_zero_only_on_center_regular_stratum	mass_or_source_label
R0_sign_and_magnitude	FREE_AND_EXPLORED	three_sign_census	cosmological_constant_or_observed_value
WRL_affine_profile	SEPARATE_CONDITIONAL_CANON_SCOPED_ARCHITECTURE	compatibility_control	silent_identification_with_G17_or_G302
mirror_closure	OWNER_RATIFIED_PROPOSAL_INACTIVE_AS_DERIVATION	provenance_only	selection_law
old_dS_negative	HISTORICAL_SOURCE_EQUATION_SCOPED_NEGATIVE	point_of_use_regrade_control	universal_prohibition_under_changed_premises
coordinates_symbolics	CHOSE_CATEGORY_A_METHOD	exact_classification	preferred_physical_chart
source_action_matter_mass_observation_scale_Xmax_value	OMITTED	no_role	selector_or_interpretation
nonspherical_timelive_singular_population	OMITTED	outside_bounded_slice	whole_theory_claim
protected_packages	EXCLUDED	no_input	citation_evidence_or_reconstruction
