layer	grade	exact_role	constant_sector_verdict	remaining_scope
F1_F4_W1	FOUNDED_OR_WORKING_AS_REGISTERED	reciprocal_representation_metric_readout_and_completed_pair_evaluator	accepts_all_supplied_R0_sectors	no_history_or_value_propagation
W5	WORKING_FOUNDATIONAL_CLARIFICATION	complete_projective_pair_position_type	accepts_all_R0_sectors	proper_radar_optical_areal_distance_scale_history_and_Xmax_open
W6	WORKING_FOUNDATIONAL_CLARIFICATION	nonsignalling_relational_membership_type	accepts_all_R0_sectors	nonidentity_network_constraint_update_population_and_history_open
G235	DERIVED_BOUNDED	rank_complete_matched_network_reconstruction	accepts_invariantly_distinct_histories	stronger_nonreconstructive_global_law_open
G292	DERIVED_BOUNDED	orientable_screen_Euler_flux_and_same_class_metric_freedom	does_not_select_continuous_flux_or_history	physical_connection_values_and_dynamics_open
G294	DERIVED_BOUNDED	copresence_architecture_and_regular_metric_nonselection_family	copresence_existence_accepts_distinct_metrics	constraint_update_response_history_and_scale_open
G17	WORKING_ACTIVE_FOUNDATION_SPLIT	finite_cell_as_causal_horizon_with_trapped_region_beyond	conditionally_selects_R0_positive_in_primary_static_smooth_center_tracefree_family	magnitude_all_frame_realization_complete_history_and_law_ownership_open
G14	MIXED_WORKING_GLOBAL_COMPLETION_TARGET	dimensionless_projective_boundary_and_Xmax_scope	chi_to_one_emerges_in_positive_static_patch_but_dimensionful_Xmax_not_yet_owned	physical_separation_domain_all_frame_supremum_value_and_completion_open
G18	WORKING_PROPOSAL	mirror_closure	unused	closure_bridge_partner_glue_open
WRL	CONDITIONAL_ACCEPTED_HISTORICAL_ARCHITECTURE	affine_recentering_plus_wall_regular_conditions	f_equals_1_minus_r_over_X_fails_tracefree_ODE	cannot_be_silently_merged_with_G17_or_G301_tracefree_candidate
old_dS_source_negative	CONDITIONS_CHANGED_SOURCE_EQUATION_SCOPED	fixed_sign_source_cannot_support_required_sign_changing_profile	not_automatically_applicable_to_source_free_candidate_residual	point_of_use_regrade_required
