item	status	use	forbidden_promotion
endpoint_position_owner	CHOSE_PROVISIONAL_WORKING_FOUNDATIONAL_CLARIFICATION	position descends within each declared physical relation family	DERIVED CANON universal pair selector or complete history
positional_route_congruence	SUPPLIED_CONDITIONALLY	composition-and-inversion-compatible equivalence identifies routes with one terminal positional arrow	derived from endpoint constancy alone or selected by G139
G137_position_join	DERIVED_WITH_CAVEATS	xi equals tanh phi_pair and obeys signed Mobius composition	proper length signal distance or Xmax value
G138_network_descent	DERIVED_WITH_CAVEATS	endpoint descent iff matched positional cycles close	selection of network values routes pair realizations or history
path_transport	DERIVED_CONDITIONALLY	route-labelled angular or normal transport composes on supplied compatible paths	unique physical route or universal observer arrow
pair_state	DERIVED_CONDITIONALLY	regular calibrated pair metric owns kappa phi beta coordinates	complete pair embedding or history
complete_history	OPEN	fixed as the bounded arena	selected by this clarification
pair_realization	OPEN	explicitly labelled input	selected or averaged
singular_mismatched_noncomposable_strata	OPEN_EXCLUDED	outside the regular matched composable classification	forced into the terminal-branch dichotomy
X_max	WORKING_FOUNDATIONAL_FRAME	common positive scale only for dimensional display	numerical value wall center diameter or proper length
local_physics	OPEN_NOT_CHANGED	outside endpoint observer-frame relation	preferred frame local time stopping or local signal law
light_EM	OPEN	excluded from this derivation	photon or electron-swap mechanism
