item	outcome_status	bounded_result	still_open_or_forbidden
endpoint_position_owner	CHOSE_PROVISIONAL_WORKING_FOUNDATIONAL_CLARIFICATION	position descends to endpoints within each declared physical relation family	not DERIVED not CANON and does not select the family or history
positional_route_congruence	SUPPLIED_CONDITIONALLY	composition-and-inversion-compatible congruence gives the positional quotient groupoid	endpoint constancy alone does not construct it or prove closure
position_transport_join	DERIVED_CONDITIONALLY	product functor into the Mobius one-object group times endpoint-screen isometry groupoid	categorical product is bookkeeping not physical decomposition; global Cartesian product or literal bundle needs more structure
complete_orchestra_terminal_entry	RETAINED_REQUIRED	complete pair pullback forms phi_pair before positional readout	no postprocessing orchestra or frozen-sector shortcut
route_memory	DERIVED_CONDITIONALLY	same endpoint position may coexist with different transport	physical route and actual holonomy remain open
loop_split	DERIVED_CONDITIONALLY	zero positional loop return does not force identity transport	no universal flatness or connection selection
terminal_branch_guard	DERIVED	nonzero terminal residual means failed endpoint identification or separately labelled pair branch	no silent averaging correction or transport absorption
terminal_branch_guard_scope	BOUNDED_REGULAR_MATCHED_COMPOSABLE_EXACT	dichotomy is exhaustive only in declared arena	singular null calibration-mismatched undefined and noncomposable cases remain outside classification
X_max	NOT_SELECTED	common supplied positive scale converts xi to x	numerical value dimensional owner wall center diameter proper length or signal distance open
complete_history	OPEN	fixed only as the bounded arena	no physical universe selected
local_physics	NOT_ALTERED_BY_THIS_RESULT	observer-pair position only	no preferred frame local clock stopping or local signal-speed claim
light_EM	OPEN_EXCLUDED	no carrier law used	photon or electron-swap speculation not adopted
