item	status	role	guard
G324 compact Taub quotient	DERIVED_CONDITIONAL_BACKGROUND	background metric and fixed quotient	no occupancy or unique universe
Universal Reciprocity / DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	bounded trace-free Ricci equation	not derived or canon
G312 quiet-GR response and Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATES	bounded response constitution	no imported GR equation called native
G323 transverse period	DERIVED_CONDITIONAL	primitive compact Fourier covector	no observed wavelength or scale
primitive transverse Fourier eigenspace	CHOSE	first nonzero y-directed tile	axial oblique and higher modes remain separate
complex exponential notation	CHOSE	encodes cosine and sine phases	physical metric is real
all ten perturbation components	FREE_AND_EXPLORED	complete field content in declared eigenspace	no tensor-only truncation
periodic same-mode gauge functions	FREE_AND_EXPLORED	complete quotient-legal infinitesimal gauge	no affine cover map called gauge
endpoint data	ABSENT	endpoint behavior classified but not filtered	no admissibility or history selection
source action matter observation fit scale Xmax	ABSENT	forbidden physical imports	remain open
