item	status	maximum_conclusion	open_scope
smooth_two_function_coframe	CHOSE_MATHEMATICAL_FUNCTION_FAMILY	bounded_G191_extension	general_complete_metric_and_physical_history
regularity	DERIVED_CONDITIONAL	detE_equals_a4_and_detg_equals_minus_a8_for_a_positive	singular_and_global_strata
affine_ray	DERIVED_CONDITIONAL	k_equals_a_minus2_partial_eta_plus_partial_z_on_supplied_pair	physical_query_population_and_endpoint_intersection
frequency	DERIVED_CONDITIONAL	Z_equals_one_over_a_and_turns_follow_sign_changes_of_a_prime	physical_history_and_global_branch
matrix_tide	DERIVED_CONDITIONAL	mu_prime_and_mu_squared_enter_same_metric_curvature	other_mixing_channels_and_general_complete_coframes
jacobi_factorization	DERIVED_CONDITIONAL	exact_fplus_and_fminus_on_declared_family	other_queries_and_global_topology
caustics	DERIVED_CONDITIONAL__FAMILY_SCOPED	no_nonvertex_caustic_in_declared_family	arbitrary_complete_metrics_may_differ
cross_response	OBSERVED_AND_DERIVED_CONDITIONAL	positive_negative_or_zero_by_live_mu_history	physical_history_selection
dA_of_Z	DERIVED_CONDITIONAL__BRANCH_LABELLED	local_where_a_prime_nonzero	turn_aggregation_and_radiative_interpretation
independent_replay	PASS__266_HISTORIES__2134_ASSERTIONS	max_error_1p10e_minus12	wider_function_and_query_families
hostile_catches	PASS__18_OF_18__STRUCTURAL_REPAIR_REVIEWED	registered_mutations_go_red	wider_unregistered_mutation_space
external_review	G192_ACCEPTED_WITH_STATED_BOUNDS	displayed_family_classification_only	general_complete_metric_and_physical_history
physical_history_transfer_Xmax	OPEN	none	all
