layer	status	covered	not_covered
source universe	BASE_FROZEN_CENSUS	all token-matched tracked sources and 72 load-bearing adjudications	future or untracked sources
finite-cell ontology	COVERED	finite mirrored domain and no spatial infinity	full spacetime topology and global completion
static phi seal	COVERED_EXACTLY	phi=0 delta phi=0 normal derivative free	phi as independent field versus metric coordinate globally
reciprocal metric tangent	BOUNDED_CONDITIONAL	static adapted common/phi/angular rank tile	general off-diagonal coframe and slot map
mirror-isometry challenge	COVERED_NEGATIVE	ordinary K=0 and raw swap routes tested	another derived full coframe involution
induced metric variations	PARTIAL	one reciprocal scalar tangent	remaining five symmetric h components and time-on sectors
normal metric jet	PARTIAL_NEGATIVE	phi-prime explicitly free	other K components and physical normal
electric-Weyl momentum	EXPOSED_NOT_SELECTED	parent formula retained	which projections vanish naturally
induced-metric momentum	EXPOSED_NOT_SELECTED	parent formula retained	which projections vanish naturally
corner	EXPOSED_NOT_SELECTED	parent bare flux retained	topology orientation data and completion
CSN	COVERED	common-scale null direction distinguished from section	physical representative
co-presence and causal semantics	COVERED	no off-shell implication	complete material response
Xmax	COVERED_STATUS	global working posit and open join	native value and local seal map
bootstrap	COVERED_THREE_PLACEMENTS	predicate B and Sigma kept distinct	derived B or Sigma
polarization solution space	COUNTERPAIR	W01 and W02 inequivalent compatible witnesses	all conceivable boundary theories
physical charge/mass	NOT_DERIVED	bare Q status preserved	action coefficient primitive reference source normalization
external adversarial model review	NOT_PERFORMED	independent same-context implementation only	fresh zero-context different-model review
