id	principle_or_clause	source_anchor	boundary_existence_or_location	causal_type	delta_h_rule	delta_K_rule	E_natural_equation	Pi_h_natural_equation	corner_rule	off_shell_status	charge_or_normalization	join_ruling
J01	finite mirrored cell; no spatial infinity	UDT_NATIVE_ACTION_COLD_PACKET.md section 3	BOUNDARY_DOMAIN_EXISTS; numerical location and Xmax join open	OPEN	NONE_FOR_COMPLETE_H	NONE	NONE	NONE	NONE	DOMAIN_ONTOLOGY_ONLY	NONE	PARTIAL_DOMAIN_ONLY
J02	static phi odd at spatial seal; phi=0	CANON.md C-2026-07-04-1 and cold packet section 3	STATIC_SEAL_IDENTIFIED	OPEN	DELTA_PHI_EQUALS_ZERO; one reciprocal-ratio scalar in an adapted static coframe	NONE	NONE	NONE	NONE	OFF_SHELL_STATIC_PHI_DIRICHLET	NONE	PARTIAL_ONE_SCALAR
J03	static normal derivative phi-prime free	CANON.md C-2026-07-04-1 and cold packet section 3	STATIC_SEAL_IDENTIFIED	OPEN	NONE_ADDITIONAL	RECIPROCAL_NORMAL_JET_EXPLICITLY_NOT_FIXED	NONE	NONE	NONE	OFF_SHELL_STATIC_PHI_PERMISSION	NONE	BLOCKS_CLAMPED_JOIN
J04	temporal mirror governs time-on/off-diagonal sector; omega node open	CANON.md C-2026-07-04-1	SECTOR_SPLIT_ONLY	OPEN	TIME_ON_RULE_OPEN	TIME_ON_RULE_OPEN	NONE	NONE	NONE	SECTOR_AUTHORITY_WITHOUT_DATA	NONE	PARTIAL_SECTOR_MAP
J05	dual reciprocity and determinant-one phi direction	UDT_NATIVE_ACTION_COLD_PACKET.md sections 1-2	NONE	NONE	RECIPROCAL_RATIO_STRUCTURE_ONLY	NO_BOUNDARY_JET_RULE	NONE	NONE	NONE	KINEMATIC_NOT_BOUNDARY_VARIATION	NONE	NO_POLARIZATION
J06	Common-Scale Neutrality	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	NONE	POSITIVE_COMMON_SCALE_PRESERVES_CONES	COMMON_SCALE_DIRECTION_NULL_NOT_FIXED	COMMON_SCALE_JET_NOT_SECTIONED	NONE	NONE	COMMON_SCALE_CORNER_VARIATION_BARE_NULL	OFF_SHELL_EQUIVALENCE_NOT_SECTION	NONE	NULL_DIRECTION_NOT_POLARIZATION
J07	co-presence as whole-solution domain membership	copresence_causal_accessibility_selector_2026-07-19/DERIVATION_REPORT.md	SAME_SOLUTION_DOMAIN_SEMANTICS	NONE	NONE	NONE	NONE	NONE	NONE	ON_SHELL_SEMANTICS	NONE	NO_POLARIZATION
J08	causal accessibility belongs to conformal metric	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv C03-C05	NONE	CONE_CLASS_ONLY; not wall causal character	NONE	NONE	NONE	NONE	NONE	KINEMATIC_CONFORMAL_CLASS	NONE	NO_WALL_DATA
J09	one universal unattainable Xmax	UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	PROSPECTIVE_GLOBAL_LIMIT; equality to this seal open	ASYMPTOTIC_CHARACTER_OPEN	NONE	NONE	NONE	NONE	NONE	WORKING_POSIT_NOT_LOCAL_VARIATION	NONE	NO_EXECUTABLE_LOCAL_JOIN
J10	Xmax origin/value from complete closure open	premise-reset OWNER_MEANING_LEDGER O06-O12	LOCATION_JOIN_OPEN	CAUSAL_TYPE_OPEN	NONE	NONE	NONE	NONE	NONE	DERIVATION_TARGET	NO_NATIVE_MASS	NO_EXECUTABLE_LOCAL_JOIN
J11	bootstrap primary after-solution admissibility	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	COMPLETE_SOLUTION_PLACEHOLDER	NONE	NONE	NONE	NONE	NONE	NONE	AFTER_SOLUTION_NOT_OFF_SHELL	NONE	NO_POLARIZATION
J12	varied global bootstrap constraint possibility	bootstrap_csn_phi_angular_selector_2026-07-19/STATUS_LEDGER.tsv R10	OPEN	OPEN	OPEN_UNTIL_B_DERIVED	OPEN_UNTIL_B_DERIVED	OPEN_UNTIL_DELTA_B	OPEN_UNTIL_DELTA_B	OPEN_UNTIL_BOUNDARY_VARIATION	CONDITIONAL_FORM_B_ABSENT	OPEN	MISSING_OBJECT_NOT_JOIN
J13	bootstrap representative map possibility	bootstrap_csn_phi_angular_selector_2026-07-19/STATUS_LEDGER.tsv R11	OPEN	OPEN	OPEN_UNTIL_SIGMA_DERIVED	OPEN_UNTIL_SIGMA_DERIVED	NONE	NONE	OPEN	CONDITIONAL_FORM_SIGMA_ABSENT	OPEN	MISSING_OBJECT_NOT_JOIN
J14	bare conditional C2 boundary phase space	c2_finite_cell_boundary_variation_2026-07-20/EQUATION_LEDGER.tsv E05-E18	NON_NULL_FIXED_WALL_DIAGNOSTIC	NON_NULL_CHOSEN_FOR_DECOMPOSITION	EXPOSED_NOT_SELECTED	EXPOSED_NOT_SELECTED	ARISES_ONLY_AFTER_ALLOWED_DELTA_K_DECLARED	ARISES_ONLY_AFTER_ALLOWED_DELTA_H_DECLARED	EXPOSED_NOT_SELECTED	CONDITIONAL_ACTION_VARIATION	BARE_Q_UNNORMALIZED	PHASE_SPACE_NOT_POLARIZATION
J15	frozen native-action adjudication of parity and boundary functional	native_action_final_adjudication_2026-07-18/MECHANICAL_AGREEMENT_DISAGREEMENT.tsv M06 M19	FINITE_SEAL	OPEN	STATIC_PHI_ONLY	PHI_NORMAL_DERIVATIVE_FREE	NONE_SELECTED	NONE_SELECTED	OPEN	POST_JULY_ADJUDICATED	PRIMITIVE_AND_CHARGE_OPEN	CONFIRMS_PARTIAL_ONLY
