catch	result
B_overclaim_rejected	PASS
CSN-section_overclaim_rejected	PASS
CSN_overclaim_rejected	PASS
E-slot_overclaim_rejected	PASS
Pi-slot_overclaim_rejected	PASS
Sigma_overclaim_rejected	PASS
Xmax-slot_overclaim_rejected	PASS
Xmax-status_overclaim_rejected	PASS
Xmax_overclaim_rejected	PASS
bare-Q_overclaim_rejected	PASS
bootstrap-join_overclaim_rejected	PASS
bootstrap-slot_overclaim_rejected	PASS
bootstrap_overclaim_rejected	PASS
canon_mutation_rejected	PASS
carrier_import_rejected	PASS
charge-slot_overclaim_rejected	PASS
co-presence_overclaim_rejected	PASS
copresence-boundary_overclaim_rejected	PASS
copresence_overclaim_rejected	PASS
corner-slot_overclaim_rejected	PASS
counterpair_overclaim_rejected	PASS
derivation_outcome_mutation_rejected	PASS
evidence-grade_overclaim_rejected	PASS
free-jet_overclaim_rejected	PASS
jet-slot_overclaim_rejected	PASS
join-slot_overclaim_rejected	PASS
mass_overclaim_rejected	PASS
maximum_overreach_rejected	PASS
metric-reflection_overclaim_rejected	PASS
mirror-K_overclaim_rejected	PASS
missing_census_rejected	PASS
missing_challenge_rejected	PASS
missing_clause_rejected	PASS
missing_outcome_rejected	PASS
missing_scope_rejected	PASS
missing_slot_rejected	PASS
missing_source_rejected	PASS
missing_status_rejected	PASS
missing_witness_rejected	PASS
parent_overclaim_rejected	PASS
phi-full-h_overclaim_rejected	PASS
phi-prime_overclaim_rejected	PASS
physics-closure_overclaim_rejected	PASS
primary-grade_overclaim_rejected	PASS
reciprocity_overclaim_rejected	PASS
scale-slot_overclaim_rejected	PASS
swap-isometry_overclaim_rejected	PASS
swap_obstruction_loss_rejected	PASS
swap_overclaim_rejected	PASS
temporal-mirror_overclaim_rejected	PASS
unique_outcome_promotion_rejected	PASS
witness_inequivalence_loss_rejected	PASS
