id	candidate_join	strongest_argument	audit_test	ruling	decisive_limit
Q01	odd phi seal becomes one metric Dirichlet datum	phi=0 implies delta phi=0 for parity-preserving static variations	logarithmic reciprocal/common/angular tangent rank and source syntax	PARTIAL_DERIVED_CONDITIONAL	one scalar in an adapted static coframe; complete h not fixed
Q02	mirror fold makes K_ij=0	fixed hypersurface of an ordinary metric reflection is totally geodesic	compare ordinary even tangential metric with explicit canonized free odd-phi slope	NOT_DERIVED_AND_INCOMPATIBLE_WITH_GENERIC_FREE_PHI_PRIME	complete metric isometry/involution is not supplied; generic nonzero phi-prime gives nonzero reciprocal metric jet
Q03	no spatial infinity selects a finite-wall polarization	charges must be finite-cell objects	test every parent bare boundary class	REFUTED_AS_SUFFICIENT	clamped, natural, conformal, and mixed families remain
Q04	reciprocity fills h and K	determinant-one clock/ruler ratio is geometric	separate common-scale phi angular and normal-jet tangents	REFUTED_AS_SUFFICIENT	ratio kinematics supplies neither transverse data nor normal-jet rule
Q05	CSN supplies a boundary section	common scale is gauge/calibration	apply parent pure-Weyl potential identity	REFUTED_AS_SECTION_SELECTOR	common-scale direction is null, not fixed
Q06	co-presence makes wall data globally simultaneous	whole solution is specified at once	replay membership-versus-response and constraint regrade	REJECTED_AS_INFERENCE	global semantics is not off-shell allowed variation
Q07	Xmax unattainability identifies and types the seal	one universal global limit exists	apply premise-reset boundary-lineage conflict	NOT_DERIVED	equality, location, causal type, and metric data remain open
Q08	bootstrap selects the wall	complete matter-bearing solution is globally self-consistent	separate predicate, varied-B, and Sigma placements	UNDERDETERMINED	primary predicate is on-shell; B and Sigma are absent
Q09	bare conformally-flat Q gives physical zero charge	C=0 makes bare C2 Q vanish	check action coefficient, primitive, reference, source, and normalization	REJECTED_AS_INFERENCE	bare conditional object is not normalized physical mass
Q10	static phi Dirichlet selects the full C2 polarization	one coordinate of the reciprocal sector is fixed	construct W01 and W02 with identical exact clause compliance	REFUTED_BY_COMPATIBLE_POLARIZATION_PAIR	transverse h, most K, momenta, and corner rule unselected
Q11	dual reciprocity swap is the physical seal involution	K D(phi) K=D(-phi) exactly	test K against the Lorentzian two-channel metric and positive CSN	ALGEBRAIC_INVERSION_WITNESS_NOT_PHYSICAL_ISOMETRY	K^T eta K=-eta; positive common scaling cannot absorb the sign and angular/time-on action is absent
