id	candidate_data_or_rule	status	exact_basis	failure_or_limit	sources
SC01	abstract reciprocal representation V_rec with D(phi)	DERIVED_ABSTRACT_REPRESENTATION	dual pairing and regular additive composition	physical tangent/coframe embedding absent	S01;S04
SC02	abstract Reciprocity itself selects E and soldering s	NOT_DERIVED_TYPE_GAP	V_rec and tangent bundle are distinct typed objects	no registered map from abstract pair to complete geometry	S01;S04;S15
SC03	Lorentzian metric or conformal metric alone	NOT_A_RANK_TWO_SELECTOR_EXACT	metric stabilizer acts transitively on candidate Lorentzian two-planes	no distinguished fixed rank-two plane	S08;S09
SC04	metric plus spacetime orientation	NOT_A_REAL_RECIPROCAL_SELECTOR_EXACT	orientation-preserving stabilizer still moves candidate planes; screen Hodge squares to minus identity	orientation is also not universally supplied	S08
SC05	metric plus time orientation	NOT_A_RANK_TWO_SELECTOR_EXACT	proper orthochronous boost maps two valid planes while preserving all supplied data	time orientation is a cone choice not a clock vector	S08
SC06	spacelike dphi; including dphi parallel to the seal normal	NOT_A_RANK_TWO_SELECTOR_EXACT	SO-plus(1,2) stabilizer commutant has projector ranks only 0;1;3;4	one normal/spacelike direction does not select its clock partner	S01;S08;S14
SC07	timelike dphi	NOT_A_RANK_TWO_SELECTOR_EXACT	SO(3) stabilizer commutant has projector ranks only 0;1;3;4	one clock direction does not select a spatial partner	S08
SC08	null dphi	NOT_A_RANK_TWO_SELECTOR_EXACT	null little-group commutant has idempotent ranks only 0 and 4	no canonical nondegenerate complement	S08
SC09	zero dphi or phi=0 seal stratum	NOT_A_RANK_TWO_SELECTOR_EXACT	admitted symmetric seal germ has no stabilizer-invariant rank-two projector	static seal fixes value and leaves normal derivative free	S01;S14
SC10	simple-spectrum Ricci Hessian or trace-free screen tensor	CONDITIONAL_STRATUM_MULTIPLE_OR_UNDEFINED	exact simple diagonal endomorphism retains three Lorentzian time-plus-spatial spectral pairings; prior normalized trace-free constructions fail at zero/repeated spectra	no registered tensor priority or pairing rule	S08;S10;S12
SC11	common invariant plane of complete curvature orchestra	ABSENT_IN_REGISTERED_METRIC_ACTIVE_ENSEMBLE	full M4 real algebra in 5376 of 6144 registered configurations	bounded atlas; not an arbitrary-metric theorem	S10;S12
SC12	flat metric and phi-only registered rows	MAXIMALLY_AMBIGUOUS_IN_REGISTERED_ENSEMBLE	zero curvature in 768 rows preserves every subspace and selects none	phi and metric were independently controlled in this atlas	S10;S12
SC13	labeled complete coframe rows	FRAME_DEPENDENT_UNSELECTED	local Lorentz changes mix labels without changing metric	physical frame reduction/soldering would be extra structure	S05;S09;S12
SC14	Common-Scale Neutrality	NEUTRAL_NOT_DIRECTION_SELECTING	scaling g by positive Omega squared leaves every metric-orthogonal candidate projector unchanged	CSN quotients common scale; it does not choose direction or representative	S02;S04;S12
SC15	registered complete seal lifts	MULTIPLE_COMPLETIONS	angular plus-I; minus-I; axis-reflection; and conditional Hopf-exchange classes survive	complete lift and physical readout remain unselected	S05;S06;S08
SC16	reflection-type angular seal plus positive screen metric	DERIVED_CONDITIONAL_AT_SEAL	M=J_q R gives the complementary reciprocal reflection up to sign; plus-I and minus-I lifts have zero anticommutant	reflection lift and orientation are supplied premises; bulk continuation absent	S08
SC17	reciprocal transition cocycle	CONSTRAINS_BUT_DOES_NOT_SELECT	Z2-graded transition algebra and even inversion parity	cover incidence caps modulus and soldering remain open	S06;S11
SC18	projector-compatible Weyl transport	UNIQUE_IF_A_SUPPLIED_REDUCTION_EXISTS	torsion-free compatible connection exists exactly for an integrable umbilical supplied split	UDT does not currently force the split twist/shear removal or connection class	S07;S11
SC19	curvature-holonomy preservation	CONDITIONAL_REDUCED_BRANCH_ONLY	parallel E requires holonomy centralizer; full-algebra rows have no proper invariant subspace	flat rows select none and global closed loops remain open	S08;S10;S12
SC20	registered bootstrap	NO_OPERATIONAL_SELECTOR_PRESENT	owner wording supplies global admissibility and no domain/codomain/operator/uniqueness rule	future simultaneous realization could add such a rule but cannot be inferred	S03;S04;S11;S15
SC21	combined current registered premises	RECIPROCAL_SUBBUNDLE_AND_SOLDERING_NOT_DERIVED	boundary stabilizer obstruction plus multiple seal/readout/global branches and absent bootstrap operator	future action higher-jet nonlocal topology or owner premise may select; none is ruled out	S01;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15
