id	claim	status	exact_scope_or_limit
S01	reciprocal kinematics and dimensionless logarithmic phi	DERIVED_WITH_REGISTERED_PREMISES	abstract positive two-channel representation; sign/unit and regularity premises explicit
S02	abstract reciprocal representation is already a physical spacetime subbundle	NOT_DERIVED	requires a soldering/slot map
S03	metric orientation time orientation seal normal and static dphi select one reciprocal plane	REFUTED_AS_CURRENT_PREMISE_ENTAILMENT	exact admitted symmetric seal germ has no stabilizer-invariant rank-two projector
S04	nonzero dphi universally closes the plane	REFUTED_AS_CURRENT_PREMISE_ENTAILMENT	timelike spacelike and null stabilizers each leave no rank-two invariant projector; zero stratum also admitted
S05	curvature supplies a universal rank-two plane	NOT_DERIVED_IN_REGISTERED_ENSEMBLE	simple families are multiple/degenerate; full orchestra is irreducible in 5376 and flat-ambiguous in 768
S06	complete coframe labels supply a physical plane	NOT_DERIVED	labels move under registered local Lorentz freedom
S07	CSN selects the reciprocal subbundle	REFUTED_AS_SELECTOR	common scaling leaves every supplied projector unchanged
S08	static seal selects complete reciprocal lift	NOT_DERIVED	multiple registered angular/coframe lifts survive
S09	reflection-type angular seal supplies complementary pair	DERIVED_CONDITIONAL_AT_SEAL	unique up to sign only after reflection lift positive screen metric and orientation are supplied
S10	global cocycle and finite-cell completion select one branch	NOT_DERIVED	transition algebra constrains supplied covers while multiple completions remain
S11	projector transport supplies projector existence	REFUTED_LOGICAL_REVERSAL	transport is exact after a projector is supplied; it does not manufacture E
S12	registered bootstrap selects E s or transport	NOT_PRESENT	working principle is on-shell admissibility without operational selector
S13	current complete registered premises select reciprocal subbundle E	NOT_DERIVED	one exact admitted boundary stabilizer obstruction is sufficient against universal entailment
S14	current complete registered premises select soldering s	NOT_DERIVED	multiple candidate embeddings/readouts remain and coframe reduction is open
S15	current complete registered premises select cell-wide transport T	NOT_DERIVED	connection holonomy cover seam and bulk reduction remain open
S16	phi can now be declared a metric-derived eigenvalue ratio universally	NOT_DERIVED	valid only inside a supplied distinguished reciprocal distortion/readout
S17	complete action source carrier boundary charge mass or scale follows	NOT_DERIVED	outside this kinematic configuration-ownership audit
S18	a future UDT completion cannot select a reciprocal subbundle	NOT_CLAIMED	higher jets nonlocal rules action dynamics topology or an owner premise remain possible
S19	banking grade	VERIFIED_WITH_CAVEATS	preregistered bounded exact algebra and independent mechanical implementation; no fresh external-model semantic review
