witness_id	data_held_fixed	candidate_or_control	exact_result	logical_use	limit
W01_BOUNDARY_PLANE_0	Minkowski anchor metric; orientation; time orientation; seal normal e1; spatial reflection seal; dphi parallel e1	E0=span(e0,e1)	rank-two metric-self-adjoint Lorentzian projector; seal intertwining diag(1,-1)	first admissible reciprocal soldering at one admitted symmetric seal germ	not a global metric/action solution
W02_BOUNDARY_PLANE_BOOSTED	same data as W01; exact proper orthochronous boost in the tangent e0-e2 plane leaves the seal and e1 fixed	E1=span((5e0+4e2)/3,e1)	rank-two metric-self-adjoint Lorentzian projector; same induced metric and seal action; E1 differs from E0	stabilizer maps W01 to W02 while all supplied data stay fixed	not a second universe; this is an automorphism obstruction to intrinsic selection
W03_BOUNDARY_STABILIZER	metric; orientation; time orientation; seal normal/reflection; spacelike dphi direction	commutant of boosts in e0-e2/e0-e3 and rotation e2-e3	all invariant idempotents have ranks 0;1;3;4	proves no intrinsic rank-two selector exists from these boundary data	symmetric admitted boundary germ only; sufficient against universal current-premise selection
W04_TIMELIKE_DPHI	metric; orientation; time orientation; timelike dphi	spatial SO(3) stabilizer	all invariant idempotents have ranks 0;1;3;4	timelike gradient marks no spatial partner	pointwise exact control
W05_NULL_DPHI	null-basis Lorentz metric; orientation/time component; fixed null dphi	full connected null little algebra	commutant idempotents have ranks 0 and 4 only	null gradient supplies no canonical nondegenerate reciprocal plane	pointwise exact control
W06_SIMPLE_RICCI	Lorentz metric and simple diagonal Ricci endomorphism	three projectors pairing the timelike eigenline with one of three spatial eigenlines	all three rank-two projectors commute with Ricci	favorable simple spectrum still needs a pairing/priority rule	curvature candidate control; not arbitrary concomitant exhaustion
W07_FULL_ALGEBRA	two exact rational generators diag(1,2,3,4) and all-ones matrix	associative word algebra	dimension 16 with scalar commutant	independent algebraic control for why full M4 holonomy preserves no proper subspace	control model; registered UDT count comes from prior frozen atlas
W08_FLAT	zero curvature generators	E0 and E1 and every other plane	all commute with zero curvature	flatness preserves all candidates and selects none	control model
W09_SEAL_PLUS_IDENTITY	positive angular screen and angular seal lift +I	anticommuting angular reciprocal endomorphism	linear anticommutant dimension 0	this registered lift cannot seed the complementary pair	seal-local only
W10_SEAL_MINUS_IDENTITY	positive angular screen and angular seal lift -I	anticommuting angular reciprocal endomorphism	linear anticommutant dimension 0	this registered lift cannot seed the complementary pair	seal-local only
W11_SEAL_REFLECTION	positive oriented angular screen and R=diag(1,-1)	M=J_q R	M squared=I; trace zero; self-adjoint; RMR=-M	conditional exact complementary angular pair up to sign	reflection lift and orientation supplied; no bulk/global law
W12_CSN	positive common rescaling g to Omega squared g	metric-orthogonal projector onto supplied E	projector is exactly unchanged	CSN neither removes nor selects the E ambiguity	does not address post-scale material representative
