catch_id	result	caught_by
C01_MISSING_SELECTOR	PASS_REJECTED	selector_21_unique
C02_DUPLICATE_SELECTOR	PASS_REJECTED	selector_21_unique
C03_PROMOTE_COMPLETE_SELECTION	PASS_REJECTED	selector_status:SC21
C04_PROMOTE_SPACELIKE_DPHI	PASS_REJECTED	selector_status:SC06
C05_DROP_NULL_STRATUM	PASS_REJECTED	selector_21_unique
C06_PROMOTE_REFLECTION_UNIVERSALLY	PASS_REJECTED	selector_status:SC16
C07_INVENT_BOOTSTRAP_SELECTOR	PASS_REJECTED	selector_status:SC20
C08_DROP_IDENTITY_LIFT_WITNESS	PASS_REJECTED	witness_12_unique
C09_DROP_REFLECTION_WITNESS	PASS_REJECTED	witness_12_unique
C10_PROMOTE_GLOBAL_CONTINUATION	PASS_REJECTED	global_continuation_conditional
C11_PROMOTE_METRIC_DERIVED_PHI	PASS_REJECTED	status_value:S16
C12_CLAIM_FUTURE_NO_GO	PASS_REJECTED	status_value:S18
C13_PROMOTE_ACTION	PASS_REJECTED	status_value:S17
C14_DROP_SOURCE	PASS_REJECTED	lineage_15
C15_BAD_SELECTOR_SOURCE	PASS_REJECTED	selector_sources:SC01
C16_SOURCE_HASH_MUTATION	PASS_REJECTED	lineage_sha:UDT_NATIVE_ACTION_COLD_PACKET.md
C17_FULL_ALGEBRA_MUTATION	PASS_REJECTED	full_algebra_agreement
C18_FAKE_RANK_TWO_STABILIZER_PROJECTOR	PASS_REJECTED	boundary_rank_agreement
