claim	status	scope	forbidden_promotion
screen_holonomy_and_curvature_form_a_differential_character	WHITEBOARD_THEOREM_CANDIDATE	oriented_regular_rank_two_screen_bundle_over_supplied_base	verified_exact_package
closed_cycle_flux_represents_euler_class	WHITEBOARD_THEOREM_CANDIDATE	oriented_closed_two_cycles_with_frozen_sign_convention	physical_charge_or_history_selector
smooth_regular_continuation_preserves_characteristic_class	WHITEBOARD_THEOREM_CANDIDATE	fixed_rank_bundle_over_supplied_worldtube	dynamical_conservation_law
g225_full_sky_screen_has_euler_number_two	DERIVED_CONDITIONAL_REFRAME	supplied_observer_event_and_full_celestial_direction_sphere	general_g290_worldtube_law
connection_difference_D_plus_bJ_preserves_class	WHITEBOARD_THEOREM_CANDIDATE	fixed_oriented_screen_bundle	physical_evolution_law
global_g_epsilon_family_preserves_total_flux_and_changes_distribution	WHITEBOARD_WITNESS_CANDIDATE	R_t_times_R_z_times_S2_product_family	independently_verified_counterfamily
completed_pair_depth_does_not_fix_screen_flux	SUPPORTED_BY_EXISTING_EXACT_WITNESS	G226_G270_G290_bounded_scopes	proof_for_every_future_udt_completion
nonorientable_reflection_and_twisted_euler_stratum	OPEN	general_O2_screen_bundles	closed_by_orientable_formula
continuous_screen_flux_propagation	OPEN	complete_time_live_history	identity_or_topological_persistence
physical_metric_history_selection	OPEN	complete_udt_theory	claimed_from_whiteboard_topology
