object	status	role	open_or_forbidden_promotion
complete Lorentzian metric history	SUPPLIED	Defines Levi-Civita curvature and screens	Not selected by G291
complete pair network or congruence base	SUPPLIED_REGULAR	Provides relation base overlaps and path labels	Physical population remains open
positive rank-two metric screen subbundle projection and carry	DERIVED_CONDITIONAL_ON_SUPPLIED_PAIR_CARRY	Defines projected screen connection	Bare null line remains insufficient
closed loops and loop worldtubes	SUPPLIED_OR_RANGED_OVER	Domains for holonomy and transgression	No preferred physical loop population
screen holonomy and curvature flux	DERIVED_CONDITIONAL	Metric-native discriminator and evaluator	Not automatically conserved or selected
SO2 orientation	FREE_AND_EXPLORED	Gives signed local phase and curvature	Orientation-free data loses sign
nonorientable reflection holonomy	OPEN_STRATUM	May enlarge O2 conjugacy data	Not classified by G290 inverse pair
global screen characteristic class	DERIVED_CONDITIONAL_WHEN_BUNDLE_EXISTS	May quantize sector data	Does not automatically fix continuous curvature
Cartan Bianchi metricity Stokes and Ambrose-Singer methods	MATHEMATICAL_IDENTITIES_OR_RECONSTRUCTION_TOOLS	Relate supplied connection curvature and holonomy	Must pass nonidentity test before called restriction
reciprocity and completed-pair composition	FOUNDED_OR_DERIVED_CONDITIONAL	May couple relation data across a network	Whether it restricts flux is the G291 question
action field equation source boundary observation mass scale Planck cutoff X_max	FORBIDDEN	None	Must not enter as owned structure
physical history propagation or selection law	OPEN	Would restrict admitted complete histories	Cannot be inferred from discrimination alone
