source_id	path	role
S01	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	historical carrier-versus-metric topology authority
S02	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	historical topology premise ledger
S03	startup_surface_g310_universal_reciprocity_refresh_2026-08-31/ADOPTION_RECORD.md	owner-provisional Universal Reciprocity adoption
S04	startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md	owner-provisional quiet-GR and locality adoption
S05	udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/AUDIT_REPORT.md	conditional response provenance
S06	udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/AUDIT_REPORT.md	bounded response constitution provenance
S07	udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/AUDIT_REPORT.md	Berger data admission and multibranch boundary
S08	udt_g321_g320_local_cauchy_development_uniqueness_2026-09-01/AUDIT_REPORT.md	imported local Cauchy theorem interface
S09	udt_g330_berger_hopf_eigenline_local_persistence_2026-09-02/AUDIT_REPORT.md	immediate accepted predecessor
S10	udt_g330_berger_hopf_eigenline_local_persistence_2026-09-02/EXACT_DERIVATION.md	base Ricci gap and Hopf normalization
S11	udt_g330_berger_hopf_eigenline_local_persistence_2026-09-02/PREMISE_LEDGER.tsv	predecessor premise boundary
S12	udt_g330_berger_hopf_eigenline_local_persistence_2026-09-02/PREREGISTRATION.md	predecessor frozen gates
