source_id	sha256	path	role
S01	cd8540ea4b163d44fb3ed6d8cf55de4e35e81869e5bec009bea69b9603acde99	AGENTS.md	binding method and UDT premise rules
S02	1bc9b4edbe37e425baa2e2f0eaf719205a531286086b00c08e84292b67f5ad90	CURRENT_RESEARCH_PROGRAM.md	current dependency spine and next gate
S03	e5da1a05dfee3471c4ccee9695c5224d68b41aac1a63f838535814691ea7e4cd	CURRENT_SCIENTIFIC_PREMISES.tsv	exact premise authority
S04	b80a199eedc6aff41484dbaa1aac07fe328fb44dfa5d58638267c3e3bb808318	udt_g238_bao_heldout_query_typing_2026-08-23/AUDIT_REPORT.md	open bridge and outcome-blind boundary
S05	237092ab5d9b4419ef27a5ec2898033d70fffd391967224cdee3ad41fc2f3150	udt_g238_bao_heldout_query_typing_2026-08-23/EXACT_DERIVATION.md	two-source and reference type boundary
S06	ae4ffb3c85ed7607ed8b3f22da961956d1c632ec72ab41452a1d7640ae2dba05	udt_g126_angular_lane_same_query_bridge_2026-08-16/AUDIT_REPORT.md	pure radial reference cancellation
S07	0bb858a6cd164ef7bd03768af6bc820d706c6417d0b98127f8dd0ca69fd50afb	udt_g127_same_history_radial_displaced_screen_emergence_2026-08-16/AUDIT_REPORT.md	metric-native angular response
S08	89040e228f68d3e6cd3b3c8dad33c9feadd41cff244451f1c582edac5606b381	udt_g188_complete_coframe_null_jacobi_extension_2026-08-20/AUDIT_REPORT.md	complete metric screen evaluator
S09	f2bec21b49fd90460b319fa694a94f10d6ac23caebc8b553cc955956430f8c98	udt_g221_complete_coframe_null_clock_chord_2026-08-22/AUDIT_REPORT.md	complete metric clock evaluator
S10	1b57ff55688a8e5f1b17827a56c1a66df90e356a6f9d1352099d8fa09fbafc97	udt_g226_null_chain_conformal_symplectic_assembly_2026-08-22/AUDIT_REPORT.md	clock-screen phase interlock
S11	bc225f380088568c445e6e637a35fbc5fdb0e511d08e989abd7fe4c964e2c29d	udt_observed_angular_pattern_raw_restart_2026-08-12/PREREGISTRATION.md	outcome-blind estimator and reference contract
S12	317c56b531dc2f97167c929f69eb4d8a2f424adea8a83282e75166553e65588a	udt_boss_primary_method_crosswalk_2026-08-13/METHOD_CROSSWALK.tsv	borrowed primary estimator semantics
