key	tensor	eigenvalue_error	spectral_block_projector_defect	candidate_2plane_projector_defect	production_structure	independent_structure	discrete_diagnostics_agree	pass
G63|R17_M1_N|p	k_riem	2.3589798835543796e-05	8.2474357964114944e-06	6.1723201623141233e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_N|p	k_ric	1.3004455593212949e-05	7.5556295887523663e-06	6.7361373323909913e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_N|p	k_weyl	3.1962052576994804e-05	1.3822830212500054e-05	9.8069349393870609e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_N|q	k_riem	4.4136437936545066e-05	7.2054776044714462e-06	5.815878391855226e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_N|q	k_ric	2.229504374012814e-05	1.5014130288026861e-06	1.1172166822900313e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_N|q	k_weyl	5.2750075251184469e-06	1.2997176344087632e-05	1.019019866544757e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_N|r	k_riem	2.9023950154911615e-05	2.8299275352933341e-06	2.0251503899591594e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_N|r	k_ric	1.0001214165944461e-05	3.9610174160525782e-06	3.3727891902329405e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_N|r	k_weyl	3.3578577325998893e-05	4.9063924924527734e-06	3.4662319327328933e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_Z|p	k_riem	1.855955284826849e-05	6.61716976627067e-05	4.6847594316531115e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_Z|p	k_ric	3.6423984992015039e-06	1.4647341781013217e-05	1.0366574600803804e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_Z|p	k_weyl	8.0668971443217383e-06	5.8848627628578551e-06	2.2222869239762076e-06	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_M1_Z|q	k_riem	4.776303127951298e-06	2.0488607431145796e-05	1.4558617505321457e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_Z|q	k_ric	6.0574462001361518e-06	5.3797332960520747e-06	3.963023060236917e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_Z|q	k_weyl	6.1686725909074203e-06	3.2120688237616411e-05	2.2753583300826989e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_Z|r	k_riem	1.9130810142225052e-05	7.8714669315944233e-07	5.5422639444287335e-07	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_Z|r	k_ric	7.8144984525518879e-06	2.4575842403620765e-06	1.7075490861842262e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_Z|r	k_weyl	1.8959943398344503e-05	3.1314223091832794e-06	2.1692255250337378e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_P|p	k_riem	7.3959656672635933e-06	4.2471820364605719e-06	9.2681802737460575e-07	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_M1_P|p	k_ric	4.1301570444168684e-06	6.3638164938902938e-06	5.1727738676225599e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_P|p	k_weyl	7.2172658572604419e-06	2.7570474166969786e-06	9.0217394547896203e-07	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_M1_P|q	k_riem	6.2607837653995917e-06	3.9746925471348786e-06	5.2937331342317717e-07	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_M1_P|q	k_ric	3.3185516367939538e-06	6.091838521769483e-06	4.3271547985957356e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_P|q	k_weyl	4.430697699883856e-06	3.237433862494175e-06	1.0356609133887552e-06	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_M1_P|r	k_riem	6.5356176964237456e-05	6.7005701241469419e-05	4.7393914081366681e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_P|r	k_ric	2.5142055058606371e-06	7.2689734679482201e-06	5.1877804848317809e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_M1_P|r	k_weyl	2.1121109132293852e-05	1.563957792710906e-06	6.6435207359582356e-07	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_0_N|p	k_riem	3.8672642183071238e-06	3.7117915224116531e-06	1.4577809208123085e-06	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_0_N|p	k_ric	2.1208462226696145e-06	8.0427948180031365e-05	5.7118431034958036e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_N|p	k_weyl	5.7004155096102016e-06	0.00010929818078083219	7.7290671050732329e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_N|q	k_riem	1.7751977092444743e-06	4.8771482173828785e-06	3.529985810055665e-06	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_0_N|q	k_ric	5.3074539359884433e-06	3.8521680827451368e-05	2.7906741055273054e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_N|q	k_weyl	6.7471818252305607e-06	9.1262351632806167e-06	4.6979105935361906e-06	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_0_N|r	k_riem	6.0332603578941301e-06	1.9318336643411634e-05	1.3976647818704221e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_N|r	k_ric	7.7915409458580728e-06	1.766129761648599e-05	1.3614895201713702e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_N|r	k_weyl	3.3734845239339117e-06	4.5820382828429876e-06	3.1269470660776013e-06	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_0_Z|p	k_riem	9.6530159315918872e-06	4.6590890903716391e-06	2.83978262884703e-06	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_0_Z|p	k_ric	1.0317083281544734e-05	6.4310540007341126e-06	4.815917799071414e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_Z|p	k_weyl	7.9736800423890183e-06	0.00010225864659209846	7.2568799779936031e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_Z|q	k_riem	4.3721176590605796e-06	3.9751766997998828e-06	2.0109206769613707e-06	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_0_Z|q	k_ric	8.8889678638019707e-06	1.2079109543005171e-05	8.5561074286635694e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_Z|q	k_weyl	8.1092761186757345e-06	0.00012339277825146929	8.7265051244848465e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_Z|r	k_riem	4.6245710566561064e-06	1.6261380521870543e-06	1.084572788836708e-06	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_0_Z|r	k_ric	4.4562442572136519e-06	5.9989132743594426e-06	4.4283385556756026e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_Z|r	k_weyl	1.1874368798355778e-05	6.8726514070772732e-05	4.8630412287038006e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
