catch	status
drop_jet	CAUGHT
duplicate_key	CAUGHT
drop_G63	CAUGHT
invent_registered_SPI	CAUGHT
hide_unresolved	CAUGHT
promote_misaligned_owner	CAUGHT
drop_independent_row	CAUGHT
false_independent_pass	CAUGHT
Gram_route_disagreement	CAUGHT
loosen_tensor_gate	CAUGHT
loosen_ladder_gate	CAUGHT
wrong_primary_landing	CAUGHT
promote_history	CAUGHT
promote_query	CAUGHT
identity_gate_broken	CAUGHT
source_hash_corrupt	CAUGHT
raw_artifact_hash_corrupt	CAUGHT
drop_Gram_spectral_row	CAUGHT
erase_Gram_spectral_blocks	CAUGHT
promote_spectral_unresolved	CAUGHT
corrupt_spectral_comparison	CAUGHT
inflate_derivative_owners	CAUGHT
erase_misaligned_ownership_uncertainty	CAUGHT
erase_package_caveat	CAUGHT
