id	statement	status	role	forbidden_promotion
P01	c_E is the clock/ruler conversion L=c_E T and T=L/c_E	OBSERVED_FOUNDATIONAL_INTERPRETATION	dimensional calibration	c_E alone called a distance scale or field equation
P02	Dual Reciprocity and composition give D(delta)=diag(exp(-delta),exp(delta)) on supplied depth	DERIVED_FOUNDED	directed reciprocal kernel	supplied depth called a derived history
P03	All finite observed causal delay is generated by the completed metric rather than a second bare-speed field	WORKING_INFINITE_BARE_C_INTERPRETATION	metric-only delay frame	infinite c called physical superluminal signalling or value law
P04	One completed metric supplies clocks rulers free fall null cones and screen transport with local c_E	WORKING_POSIT_W4	universal metric coupling	local Lorentz form called a history selector
P05	Physical normalized pair position is the metric complete projective relation state	WORKING_FOUNDATIONAL_CLARIFICATION_W5	projective tape state	projective state called proper optical or areal distance
P06	One supplied regular null branch and endpoint clocks derive frequency depth and metric mutual-clock scalar	DERIVED_CONDITIONAL_G220_G269	null clock evaluator	null protocol branch or clocks called populated by theory
P07	One primary metric first jet splits into longitudinal depth and transverse transported-screen channels	DERIVED_CONDITIONAL_G271	first-jet interlock	local first-jet relation called finite-path history
P08	Full path-labelled frame morphisms reverse compose and overlap-descend with screen carry	DERIVED_CONDITIONAL_G274	network compatibility	path labels or screen carry erased
P09	A same-object independent proper-clock datum plus c_E can attach one scale	DERIVED_CONDITIONAL_G276	tape-scale reconciliation	c_E or metric self-evaluation alone called absolute scale
P10	Endpoint projective state alone does not determine Jacobi area or areal radius	DERIVED_BOUNDED_G280	optical separator	phi or W5 alone called complete optical history
P11	Neighboring-relation curvature values are the missing joint history information	DERIVED_BOUNDED_G282	law-type discriminator	second-order metric equation called uniquely required
P12	Arbitrary smooth symmetric T(u) survives owned metric Cartan Bianchi Jacobi and network identities	DERIVED_BOUNDED_G283	fixed value-law witness	bounded witness generalized to every future principle
P13	Every smooth Lorentz metric has local causally convex normal neighborhoods	STANDARD_GEOMETRIC_METHOD	local causal regularity	local existence called global history selection
P14	A full local cone field determines a conformal metric class	STANDARD_GEOMETRIC_METHOD	reconstruction classifier	reconstruction called value selection or absolute scale
P15	Endpoint-only delay path independence zero holonomy all-germ isotropy and curvature residuals are not active premises	OPEN_OR_NEW_PREMISE	stronger candidate boundary	stronger conditions silently inserted into tested conjunction
P16	Observations field equations actions sources matter radiative transfer scale and X_max are absent	EXCLUDED_BY_SCOPE	purity boundary	any excluded object used to reject T
