path	role
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founding_clock_ruler_reciprocity
founding.md	working_foundational_and_value_law_boundary
udt_g205_primary_metric_geodesic_causal_completion_2026-08-21/AUDIT_REPORT.md	causal_regular_completion_control
udt_g220_covariant_null_clock_arrow_timelive_lift_2026-08-22/AUDIT_REPORT.md	covariant_null_clock_evaluator
udt_g265_infinite_bare_c_mutual_pair_null_closure_2026-08-26/AUDIT_REPORT.md	infinite_bare_c_interpretation_boundary
udt_g268_sech_relation_space_equivalence_and_operational_constraint_2026-08-26/AUDIT_REPORT.md	mutual_projective_relation_equivalence
udt_g269_null_transport_mutual_clock_screen_interlock_2026-08-26/AUDIT_REPORT.md	metric_mutual_clock_screen_interlock
udt_g271_primary_metric_null_screen_first_jet_interlock_2026-08-26/AUDIT_REPORT.md	primary_depth_screen_first_jet
udt_g273_projective_pair_distance_foundational_ownership_2026-08-26/AUDIT_REPORT.md	projective_position_candidate_scope
udt_g274_projective_pair_position_network_descent_2026-08-26/AUDIT_REPORT.md	path_labelled_frame_network_carry
udt_g276_proper_clock_ce_scale_anchor_reconciliation_2026-08-26/AUDIT_REPORT.md	ce_tape_scale_reconciliation
udt_g280_projective_position_optical_area_bridge_audit_2026-08-27/AUDIT_REPORT.md	projective_optical_separator
udt_g282_complete_history_depth_jacobi_minimal_law_type_2026-08-27/AUDIT_REPORT.md	neighbor_curvature_law_type
udt_g283_neighbor_relation_curvature_identity_nonselection_2026-08-27/AUDIT_REPORT.md	current_arbitrary_tidal_landing
udt_g283_neighbor_relation_curvature_identity_nonselection_2026-08-27/EXACT_DERIVATION.md	fixed_arbitrary_tidal_witness
