source_id	path	role	source_ref	git_blob	sha256	size
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	current G41-G46 precedence and exclusions	c79881d298f033c08c21c9b485172c69fcbc0e7c:CURRENT_SCIENTIFIC_PREMISES.tsv	0d2f95c8e6da9bd2efcbbca9ef708f5599a19f3e	707ae0f1e1a0f477be3d25509e1b85f3f3ec12e7ceb706fcf1d97e3f5da2b3cd	31699
S02	udt_r17_magnitude_to_grading_selection_audit_2026-08-10/AUDIT_REPORT.md	controlling G46 result	c79881d298f033c08c21c9b485172c69fcbc0e7c:udt_r17_magnitude_to_grading_selection_audit_2026-08-10/AUDIT_REPORT.md	90d7aef15ad61a56647e5289c69c3f8692627b3f	4b0997a2cc124bdd223b9806e66a920510417169fa94176351a70e0e00400e6d	2685
S03	udt_r17_magnitude_to_grading_selection_audit_2026-08-10/EXACT_DERIVATION.md	vertical metric class and open arrow seam	c79881d298f033c08c21c9b485172c69fcbc0e7c:udt_r17_magnitude_to_grading_selection_audit_2026-08-10/EXACT_DERIVATION.md	ff51b1a7e8b91fa6a87c0c67f7751cb977b95f12	fd140c5452faa49021f748e8a27384ba07dabb83dda0c4166ffb3f931cbf9d80	7900
S04	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/EXACT_DERIVATION.md	complete coframe intrinsic pair and global topology	c79881d298f033c08c21c9b485172c69fcbc0e7c:udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/EXACT_DERIVATION.md	7c97260e92963d78861122a5b8174595106427be	330e05e098b8de26b53803db200252d287d151f70d5fc87c5355a737f7151b18	6622
S05	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/CANDIDATE_UNIVERSE.tsv	C01-C06 parameter identities	c79881d298f033c08c21c9b485172c69fcbc0e7c:udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/CANDIDATE_UNIVERSE.tsv	5028e027756c3299db9b7443dac82a4f63e81cf2	284b39437d484df81eb990651d7910eb48f4dda71820683d1a9c3f3da4c46ae3	358
S06	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/EXACT_DERIVATION.md	projectors connections contact and holonomy	c79881d298f033c08c21c9b485172c69fcbc0e7c:udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/EXACT_DERIVATION.md	9f6e9b3b1227e71c707d6ff5606aec83efcce943	ee019298dda60e8d98da6a4e439be397c0b77ed796ed5f3070501445956922a4	8535
S07	udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/EXACT_DERIVATION.md	full holonomy and path-labelled grading	c79881d298f033c08c21c9b485172c69fcbc0e7c:udt_intrinsic_reciprocal_holonomy_audit_2026-07-27/EXACT_DERIVATION.md	87c65b8ae7de2ff8928882970d5662adfc158d57	8e3de52c571b953ca878c6459235ff1487fb4d16029a33e7cb279cead980170b	4912
S08	udt_calibrated_pair_map_owner_atlas_2026-08-09/EXACT_DERIVATION.md	pair-surface types Frobenius and Killing controls	c79881d298f033c08c21c9b485172c69fcbc0e7c:udt_calibrated_pair_map_owner_atlas_2026-08-09/EXACT_DERIVATION.md	b39ec05c7db7cc99dc492d469bc8aba9212eb77d	b965112f2e8250a4a11721102f7edae5b1636be2d836241e1c3e1f482f3e9422	10851
S09	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	terminal pair-metric evaluator	c79881d298f033c08c21c9b485172c69fcbc0e7c:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	aa58f76fa4758e961e133f283894a4d6414b1495	fa0e31b16df98c3af3cf4aec878c4369642945ce35de20ab8e13b91eaf135e7a	15088
S10	udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv	R17 relation-family status	c79881d298f033c08c21c9b485172c69fcbc0e7c:udt_global_relation_family_branch_classification_2026-08-10/GLOBAL_RELATION_FAMILY_CLASSIFICATION.tsv	d5b1c920f116d5b0f56478fc489909e53e3dbdcc	5ea123f9bb7407b840270dfb51aa4fc080f85a9a17b0538dfd1abf8960d5dc15	13106
S11	udt_branch_nonisometric_calibration_transition_audit_2026-08-10/EXACT_DERIVATION.md	conditional complete arrow and surface seam	c79881d298f033c08c21c9b485172c69fcbc0e7c:udt_branch_nonisometric_calibration_transition_audit_2026-08-10/EXACT_DERIVATION.md	4a52ada768c25257641e01cfdc3c67b436e8ed82	30b563b30e4ab6ac2af11c77cf28d627fa8dd400f854617cb55be1177e2f723b	9329
S12	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	alignment bitorsor and reset	c79881d298f033c08c21c9b485172c69fcbc0e7c:udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	688656b59fd2d2883a8c5edd30ef4f2c9d895259	925ca9fce8872392240fe390f2c10ec81685fea7e289d2286b1b8d3fa49dba87	11131
S13	udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/EXACT_DERIVATION.md	scalar descent and screen gauge	c79881d298f033c08c21c9b485172c69fcbc0e7c:udt_reciprocal_scalar_calibration_bitorsor_descent_audit_2026-08-10/EXACT_DERIVATION.md	fed12c71b30a3a1a1bb412e882643ef3135eca9d	6fd2a2d4167b92ac62b060479fa8d6e5faf0f080a1f6a63b861cfff8f095b412	7055
S14	udt_nonisometric_calibration_magnitude_owner_audit_2026-08-10/EXACT_DERIVATION.md	branch magnitude ownership	c79881d298f033c08c21c9b485172c69fcbc0e7c:udt_nonisometric_calibration_magnitude_owner_audit_2026-08-10/EXACT_DERIVATION.md	2e7068d783bbf7ee0856668d1f1a65603bda4621	0cc77c203e28f7a24618c58d6edd6f4469eaac5fe05ec5b3aa9ea256e77844b4	8066
S15	udt_three_observer_overlap_calibration_carry_audit_2026-08-10/EXACT_DERIVATION.md	composition and path/descent distinction	c79881d298f033c08c21c9b485172c69fcbc0e7c:udt_three_observer_overlap_calibration_carry_audit_2026-08-10/EXACT_DERIVATION.md	3867fe6bbe43bf3df5f1d5887a2719da6af889d1	c691c14076f179c8765f9261521a4f9e2c21ab1e1c3817dfb199085098d13d1c	10789
