path	sha256_at_preregistered_base	role	immutability
LIVE.md	eb3b859c7e736221d9c261a7b933729216babd8d66b193f09810ee05349adb0a	current_status_input	MUTABLE_NAVIGATION_CONTROL
HANDOFF.md	1f97f5b8e9ee09ca6620a8e1062ad3ad09d915d4f16ff3292e2086f61807a029	current_handoff_input	MUTABLE_NAVIGATION_CONTROL
CURRENT_SCIENTIFIC_PREMISES.md	4962841f868b6b86de525a91ad2534041c32cee8c27379d9567e7c903a14608f	current_premise_index	IMMUTABLE_SOURCE
CURRENT_SCIENTIFIC_PREMISES.tsv	0fa377cb50b775875dd8f2de95acb840f3d38183c71b54caef242a89cfc1fa13	current_premise_registry	IMMUTABLE_SOURCE
udt_conceptual_object_type_dependency_audit_2026-08-05/AUDIT_REPORT.md	dd3c3adc245083bf25d9f41e7e8eaea73379fed5cb569f64f24698d44c3332df	three_joint_parent	IMMUTABLE_SOURCE
udt_founding_phi_ownership_morphism_audit_2026-08-05/AUDIT_REPORT.md	65905b6b2718fd9c1057143a7148104bb14d7e65eeee3bdc7a7010af8cbe90eb	relational_foundation	IMMUTABLE_SOURCE
udt_xmax_asymptotic_limit_frame_correction_2026-08-05/STATUS_AND_WORKFLOW.md	8860dbefd6e99f4f9de966497f56022b268d2e0d1299383354b457d60480c638	xmax_gate	IMMUTABLE_SOURCE
udt_full_coframe_response_selection_audit_2026-08-04/AUDIT_REPORT.md	aefdacb0527e965298d7f0404fef32b1854145686ad139da8d127ae0ba5dbe0d	response_plurality	IMMUTABLE_SOURCE
udt_global_local_reconstruction_audit_2026-08-04/AUDIT_REPORT.md	e867bf678ec421ab60d33548b3ad34e6f3224b7b41f718ccf401dc66f372cfee	partial_correspondence	IMMUTABLE_SOURCE
udt_complete_coframe_extension_solvability_audit_2026-08-04/AUDIT_REPORT.md	14a936317d1559d55494717fddde408e2c8c334dc793879e579db6a0987eced9	extension_nonselection	IMMUTABLE_SOURCE
udt_native_law_home_codomain_ownership_audit_2026-08-04/AUDIT_REPORT.md	c77b8db2cd0737bfde8f7fa1bfe2672068202ef2cabba6dcfcd5cb7cc9e55a70	law_type_variation	IMMUTABLE_SOURCE
udt_bootstrap_closure_ownership_audit_2026-08-01/AUDIT_REPORT.md	25e98f0d6c8022045b9b6b8aceb33bbbe7910c0f411ee094b5a1f033e2e914bd	return_absence	IMMUTABLE_SOURCE
udt_whole_configuration_reciprocity_audit_2026-08-01/AUDIT_REPORT.md	e6022ae04eb9e12a7a87b5ddcd28c89d138c997511872b7b4b554f987baa4d87	reciprocity_gate	IMMUTABLE_SOURCE
udt_native_stability_configuration_space_audit_2026-08-01/AUDIT_REPORT.md	657c68e73a374adb61da285f79135c39de4264c1ff31ca8b8bfabaee0bc10972	stability_parent_arena	IMMUTABLE_SOURCE
udt_scientific_arc_recovery_checkpoint_2026-08-04/SCIENTIFIC_ARC_CHECKPOINT.md	70b7dcb1d43fc7425b6687dff74ee6d5f11205253021ae0bc19cd47f6a3c7b89	arc_synthesis	IMMUTABLE_SOURCE
udt_scientific_arc_recovery_checkpoint_2026-08-04/BANKABLE_STRUCTURE_AND_OPEN_JOINTS.tsv	d2907814952ebad57539f36e005b0e9ba4331b278c4df41f5901b10619dd8903	joint_ledger	IMMUTABLE_SOURCE
udt_scientific_arc_recovery_checkpoint_2026-08-04/MASS_BRANCH_AUTHORITY_MAP.tsv	1483331ab0e00bc6f800589edaaf56fff7c670a75292e49a05adc9935a063bdf	family_ledger	IMMUTABLE_SOURCE
native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	71ed06c21c3ef683d0579f2a883584b4f612de4f1b09e16300702b204d437eda	action_status	IMMUTABLE_SOURCE
udt_post_july_mass_branch_reconciliation_2026-08-01/AUDIT_REPORT.md	c6774704531a0b22a859e2e7ad4e295b7750ead4823404ffc01bb289e8c7ff2f	F01_F02_reconciliation	IMMUTABLE_SOURCE
udt_f02_global_completion_admissibility_2026-08-01/AUDIT_REPORT.md	f16739d47a073db84ce7db4f43d587663db6bb217cc6763fb376ca3724804ff0	F02_completion	IMMUTABLE_SOURCE
native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	F04_topology_stability	IMMUTABLE_SOURCE
udt_reciprocal_closure_joint_selector_audit_2026-08-01/AUDIT_REPORT.md	10971f28345c27e88299bc49b0f38fece9d7899701c5d5c24a8c66eeeb4370a1	conditional_projector_bridge	IMMUTABLE_SOURCE
P4_ARC_SUMMARY_2026-07-31.md	85f5b9e7ce6619ba0b286c71291a3eaee61779fcdb81980c0241d0e24a3b2bb8	P4_route_context	IMMUTABLE_SOURCE
