order	object	current_type	depends_on	does_not_mean	status	controlling_reason
1	complete metric/coframe arena	configuration architecture	founded reciprocal character; angular/mixing geometry	selected on-shell universe	DEFINED_CONFIGURATION_ARCHITECTURE	full coframe represents all metric responses but selects none
2	general observer-pair depth realization	query/branch realization	complete observer/event/path data; c_E calibration; X_max asymptotic gate	universal point scalar or chosen profile	OPEN	founding source derives character only after depth is supplied
3	native global/local law	possibly multibranch nonidentity relation	complete configurations; global data; readout; Reciprocity naturality	bootstrap slogan, identity readout, density optimizer or action by definition	OPEN	partial completion correspondence exists but complete return is absent
4	variation and boundary ownership	structural part of the law	law home; fields; query quantifier; global moduli; boundary data	independent hidden field	OPEN_WITH_LAW	different law homes have different legitimate tangents
5	admitted complete solution	on-shell object	native law plus complete boundary/global closure	any coframe, local witness or conditional branch	OPEN	ordinary extension and reconstruction are nonselecting
6	native source	response/current role	complete law; coupling/projection; owned variation	a required cosmic substance or conditional stress identity	OPEN	no native coupling and response ownership are selected
7	physical mass	normalized global/solution readout	admitted solution; generator/reference; boundary; normalization	any energy-like integral or candidate mass reading	OPEN	F01/F02/F04 lack the complete parent ownership chain
8	stability/persistence	property of an admitted dynamics or complete certificate	variation domain; boundary; response/evolution; solution	static finite-box positivity without premise stamps	OPEN_NATIVE__F04_CONDITIONAL	conditional Hopf stability does not supply carrier emergence or native dynamics
9	action under R_FIRST	possible integrable generator	closed/integrable owned response plus boundary data	mandatory first selector	OPEN_DOWNSTREAM_OPTION	no theorem requires every native return to be variational
9	action under A_FIRST	primary functional	foundation-derived functional class and owned complete variation/boundary domain	EH or C2 selected by familiarity	OPEN_CONDITIONAL_OPTION	known action routes require unselected extra premises
