completion_id	supplies_angular_bundle	supplies_q_profile	matched_witness	unmatched_counterprofile	pattern_forced	natural_selection	supplies_global_T_phi_one	supplies_fiber_identification	regular_interior_result	endpoint_or_glue_result	pattern_persists_regular	extends_degeneracy	branch_ruling
FC01_BOUNDARY_BOUNDARY	ORBIT_BUNDLE_ONLY_IF_ORBIT_DATA_SUPPLIED	NO__PARAMETRIC_COMPATIBLE_PROFILES	RECIPROCAL_TORIC_PROFILE_ON_REGULAR_STRATUM	COMPACTLY_SUPPORTED_INTERIOR_SHEAR_OR_SPECTATOR_PROFILE	NO	NO	ONLY_IF_MONOTONE_PHI_PROFILE_SUPPLIED	NO	MATCHED_AND_UNMATCHED_PROFILES_BOTH_EXIST	BOUNDARY_DATA_DO_NOT_FIX_INTERIOR_SIGMA	ONLY_IN_CHOSEN_MATCHED_SUBPROFILE	NOT_APPLICABLE_IF_BOUNDARY_Q_NONDEGENERATE	ALLOWED_NOT_FORCED
FC02_ONE_CAP_BOUNDARY	TORIC_ORBIT_BUNDLE_ON_REGULAR_INTERIOR	NO__PARAMETRIC_COMPATIBLE_PROFILES	RECIPROCAL_TORIC_PROFILE_ON_REGULAR_STRATUM	COMPACTLY_SUPPORTED_INTERIOR_SHEAR_OR_SPECTATOR_PROFILE	NO	NO	PROFILE_DEPENDENT	CAP_CYCLE_ONLY__NO_BULK_TRANSPORT	MATCHED_AND_UNMATCHED_PROFILES_BOTH_EXIST	Q_RANK_DROPS_AT_CAP	ONLY_IN_CHOSEN_MATCHED_SUBPROFILE	NO_RANK_TWO_GENERATOR_AT_CAP	UNDEFINED_AT_REQUIRED_STRATUM
FC03_TWO_CAP_P0	TORIC_ORBIT_BUNDLE_ON_REGULAR_INTERIOR	NO__PARAMETRIC_COMPATIBLE_PROFILES	RECIPROCAL_TORIC_PROFILE_ON_REGULAR_STRATUM	COMPACTLY_SUPPORTED_INTERIOR_SHEAR_OR_SPECTATOR_PROFILE	NO	NO	PROFILE_DEPENDENT	CAP_CYCLES_ONLY__NO_BULK_TRANSPORT	MATCHED_AND_UNMATCHED_PROFILES_BOTH_EXIST	Q_RANK_DROPS_AT_BOTH_CAPS	ONLY_IN_CHOSEN_MATCHED_SUBPROFILE	NO_RANK_TWO_GENERATOR_AT_CAPS	UNDEFINED_AT_REQUIRED_STRATUM
FC04_TWO_CAP_P1	TORIC_ORBIT_BUNDLE_ON_REGULAR_INTERIOR	NO__PARAMETRIC_COMPATIBLE_PROFILES	RECIPROCAL_TORIC_PROFILE_ON_REGULAR_STRATUM	COMPACTLY_SUPPORTED_INTERIOR_SHEAR_OR_SPECTATOR_PROFILE	NO	NO	PROFILE_DEPENDENT	UNIMODULAR_CAP_CYCLES_ONLY__NO_BULK_TRANSPORT	MATCHED_AND_UNMATCHED_PROFILES_BOTH_EXIST	S3_TOPOLOGY_DOES_NOT_FIX_SIGMA	ONLY_IN_CHOSEN_MATCHED_SUBPROFILE	NO_RANK_TWO_GENERATOR_AT_CAPS	UNDEFINED_AT_REQUIRED_STRATUM
FC05_TWO_CAP_P_GT1	TORIC_ORBIT_BUNDLE_ON_REGULAR_INTERIOR	NO__PARAMETRIC_COMPATIBLE_PROFILES	RECIPROCAL_TORIC_PROFILE_ON_REGULAR_STRATUM	COMPACTLY_SUPPORTED_INTERIOR_SHEAR_OR_SPECTATOR_PROFILE	NO	NO	PROFILE_DEPENDENT	LENS_CAP_CYCLES_ONLY__NO_BULK_TRANSPORT	MATCHED_AND_UNMATCHED_PROFILES_BOTH_EXIST	LENS_TOPOLOGY_DOES_NOT_FIX_SIGMA	ONLY_IN_CHOSEN_MATCHED_SUBPROFILE	NO_RANK_TWO_GENERATOR_AT_CAPS	UNDEFINED_AT_REQUIRED_STRATUM
FC06_NONPRIMITIVE_CAP	REGULAR_COMPLEMENT_ONLY	NO__PARAMETRIC_COMPATIBLE_PROFILES	RECIPROCAL_TORIC_PROFILE_ON_REGULAR_STRATUM	COMPACTLY_SUPPORTED_INTERIOR_SHEAR_OR_SPECTATOR_PROFILE	NO	NO	PROFILE_DEPENDENT_REGULAR_COMPLEMENT	NO_THROUGH_SINGULARITY_DATA	MATCHED_AND_UNMATCHED_PROFILES_BOTH_EXIST	ORBIFOLD_OR_SINGULAR_RANK_FAILURE	ONLY_IN_CHOSEN_MATCHED_SUBPROFILE	NO	UNDEFINED_AT_REQUIRED_STRATUM
FC07_PERIODIC_TORUS_BUNDLE	YES_WITH_SUPPLIED_GL2Z_GLUE	NO__PARAMETRIC_COMPATIBLE_PROFILES	RECIPROCAL_TORIC_PROFILE_ON_REGULAR_STRATUM	COMPACTLY_SUPPORTED_INTERIOR_SHEAR_OR_SPECTATOR_PROFILE	NO	NO	NO_FOR_SINGLE_VALUED_REAL_PHI_ON_S1__CRITICAL_POINT_REQUIRED	MONODROMY_ONLY__LOCAL_CONNECTION_FREE	RECIPROCAL_ARCS_ALLOWED_WHERE_DPHI_NONZERO	GENERAL_GL2Z_DOES_NOT_NORMALIZE_RECIPROCAL_EIGENLINES	ONLY_ON_NORMALIZER_SUBFAMILY_AND_REGULAR_PHI_ARCS	NO_ACROSS_REQUIRED_PHI_CRITICAL_POINT	UNDEFINED_AT_REQUIRED_STRATUM
FC08_MIRROR_DOUBLE	ONLY_AFTER_ONE_REGISTERED_LIFT_CHOSEN	NO__MIRROR_COMPATIBILITY_ONLY	EXCHANGE_LIFT_WITH_Q_P=DIAG(-2,2)	PLUS_I_OR_MINUS_I_LIFT_FORCES_Q_P_ZERO	NO	NO	LIFT_AND_PHI_PARITY_DEPENDENT	MULTIPLE_INEQUIVALENT_LIFTS	MATCHED_AND_UNMATCHED_PROFILES_BOTH_EXIST	EXCHANGE_ALLOWS_PATTERN__PLUS_MINUS_I_BLOCK_IT_AT_FIXED_SEAL	ONLY_AFTER_MATCHED_LIFT_AND_PROFILE	LIFT_DEPENDENT	ALLOWED_NOT_FORCED
FC09_NONORIENTABLE_GLUE	YES_WITH_SUPPLIED_DET_MINUS1_GLUE	NO__PARAMETRIC_COMPATIBLE_PROFILES	RECIPROCAL_TORIC_PROFILE_ON_REGULAR_STRATUM	COMPACTLY_SUPPORTED_INTERIOR_SHEAR_OR_SPECTATOR_PROFILE	NO	NO	BASE_AND_PHI_PROFILE_DEPENDENT	MONODROMY_ONLY__LOCAL_CONNECTION_FREE	MATCHED_AND_UNMATCHED_PROFILES_BOTH_EXIST	ONLY_SIGNED_MONOMIAL_NORMALIZER_SUBFAMILY_PRESERVES_EIGENLINES	ONLY_IN_COMPATIBLE_SUBFAMILY	NOT_GENERALLY	ALLOWED_NOT_FORCED
FC10_STRATIFIED_PROJECTOR	ONLY_ON_FIXED_RANK_STRATA	STRATUM_DEPENDENT	POSSIBLE_ON_ONE_REGULAR_STRATUM	GENERIC_STRATUM_OR_RANK_MERGER	NO	NO	NOT_ACROSS_ALL_TRANSITIONS	FINE_BUNDLE_FAILS_AT_TRANSITION	STRATUM_LOCAL_ONLY	PROJECTOR_RANK_MERGER_OR_SPLIT	NOT_THROUGH_FULL_STRATIFIED_BRANCH	NO	UNDEFINED_AT_REQUIRED_STRATUM
FC11_NONINTEGRABLE_DISTRIBUTION	PLANE_DISTRIBUTION_ONLY__NO_ANGULAR_ORBIT_SURFACE	INDUCED_Q_POSSIBLE_LOCALLY	NOT_GLOBAL_WITHOUT_T_AND_CONNECTION	ARBITRARY_LOCAL_DISTRIBUTION_STRAIN	NO	NO	NO	NO	LOCAL_STRAIN_DEPENDS_ON_UNSUPPLIED_FLOW_IDENTIFICATION	NONZERO_FROBENIUS_OBSTRUCTION_RETAINED	UNDETERMINED	NOT_APPLICABLE	INSUFFICIENT_METRIC_DATA
FC12_RECIPROCAL_TORIC_DIAGONAL	YES_CONDITIONALLY_IN_FIXED_INTEGRAL_T2_BASIS	YES_CONDITIONALLY__Q=OMEGA^2_DIAG(EXP(-2PHI),EXP(2PHI))	FC12_WITH_CONSTANT_RELATIVE_OMEGA	FC12_WITH_OMEGA=EXP(A*PHI)_AND_NONZERO_A	NO	NO__FC12_IS_CONDITIONAL_AND_UNSELECTED	YES_WHERE_DPHI_NONZERO	YES_IN_SUPPLIED_FIXED_INTEGRAL_T2_BASIS	SHAPE_J=L_FOR_ALL_OMEGA__FULL_H=W_P_I_PLUS_L__MATCH_ONLY_W_P_ZERO	BOUNDARY_OK_IF_Q_POSITIVE__CAP_RANK_DROP_UNDEFINED	ONLY_CONSTANT_RELATIVE_OMEGA_SUBFAMILY_WHERE_DPHI_NONZERO	NO_GENERAL_RANK_TWO_EXTENSION_THROUGH_CAP	ALLOWED_NOT_FORCED
